review_tag,hotel_star,address,services,price_range,hotel_name,review_score
"All reviews,convention center,red's deli,international drive,everglades restaurant,self parking,red lobster,orange county,attending a conference,pointe orlando,huge hotel,high floor,lobby bar,convenience store,mini fridge,large pool,pool area is,walgreens,valet,trolley,tubs",4 star — Rosen Centre Hotel 4*,"9840 International Dr,Orlando,FL,32819-8111","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Spa,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Accessible rooms,
Family Rooms ,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi,
Paid Internet,
Public Wifi ,
Room Service,
Business Center with Internet Access,
Dry Cleaning,
Meeting Rooms,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities,
Shuttle Bus Service,
Airport Transportation ","
$107 - $277 (Based on Average Rates for a Standard Room)
","
,
Rosen Centre Hotel
",4
"All reviews,bowling alley,lazy river,bayliner diner,city walk,family suite,retro theme,zest soap,continental building,retro feel,galaxy bowl,universal studios,early admission,the bus,inner tubes,water slide,harry potter,fun hotel,cafeteria style,themed hotel,early access",3 star — Universal's Cabana Bay Beach Resort 3*,"6550 Adventure Way,Orlando,FL,32819-7610","
Wheelchair access,
Non-Smoking Hotel ,
Fitness Center with Gym / Workout Room,
Pool,
Bar/Lounge,
Restaurant,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Kitchenette,
Family Rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Dry Cleaning,
Meeting Rooms,
Laundry Service,
Concierge,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities ","
$111 - $249 (Based on Average Rates for a Standard Room)
","
,
Universal's Cabana Bay Beach Resort
",4.5
"All reviews,universal studios,international drive,mon thurs,complimentary dinner,free shuttle,free breakfast,manager's reception,garden inn,full size refrigerator,separate bedroom,hot breakfast,every morning,wet n wild,red lobster,great stay,games room,kitchen area,shuttle service,basketball court,yogurt",3 star — Homewood Suites Orlando-Nearest to Universal Studios 3*,"5893 American Way,Orlando,FL,32819-8201","
Wheelchair access ,
Pool,
Fitness Center with Gym / Workout Room,
Restaurant,
Hot Tub ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms,
Smoking rooms available,
Accessible rooms ,
Air Conditioning,
Microwave,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Public Wifi ,
Business Center with Internet Access,
Free Breakfast,
Meeting Rooms,
Laundry Service,
Multilingual Staff,
Self-Serve Laundry,
Shuttle Bus Service,
Room Service,
Free Parking,
Dry Cleaning,
Concierge,
Banquet Room,
Conference Facilities ","
$122 - $267 (Based on Average Rates for a Standard Room)
","
,
Homewood Suites Orlando-Nearest to Universal Studios
",4.5
"All reviews,hollywood studios,flying fish,club level,espn club,quiet pool,pizza window,innkeepers club,beach club,the bus,dance hall,world showcase,walking distance to epcot,magic kingdom,espn zone,crescent lake,funnel cake,international gateway,disney world,piano bar,swan dolphin",4 star — Disney's BoardWalk Inn 4*,"2101 North Epcot Resorts Boulevard,Orlando,FL,32830-8442","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Hot Tub,
Restaurant,
Tennis Court ,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Room Service,
Shuttle Bus Service,
Children Activities (Kid / Family Friendly),
Airport Transportation,
Dry Cleaning,
Meeting Rooms,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Free Parking,
Business Center with Internet Access ","
$455 - $729 (Based on Average Rates for a Standard Room)
","
,
Disney's BoardWalk Inn
",4.5
"All reviews,whispering canyon,artist point,roaring fork,bedroom villa,magic kingdom,dvc members,main wilderness,hidden springs,the bus,favorite dvc resort,territory lounge,pacific room,rocking chairs,main pool,full kitchen,covered walkway,bay lake,the main hotel,boat ride,separate building",4 star — Villas at Disney's Wilderness Lodge 4*,"901 Timberline Drive,Orlando,FL,32830-8426","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Bar/Lounge,
Hot Tub,
Spa,
Fitness Center with Gym / Workout Room ,
Kitchenette,
Suites,
Family Rooms,
Non-Smoking Rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Room Service,
Shuttle Bus Service,
Children Activities (Kid / Family Friendly),
Airport Transportation,
Dry Cleaning,
Meeting Rooms,
Concierge,
Multilingual Staff,
Self-Serve Laundry,
Free Parking,
Business Center with Internet Access,
Laundry Service,
Babysitting ","
$361 - $826 (Based on Average Rates for a Standard Room)
","
,
Villas at Disney's Wilderness Lodge
",4.5
"All reviews,pee wee,evening reception,splash pad,lake buena vista,cook to order,resort fee,splash park,pool area,free breakfast,parking fee,basketball court,kids pool,disney parks,kids activities,hot tub,ping pong,family vacation,near disney,outlet mall,gift shop",4 star — Embassy Suites by Hilton Orlando Lake Buena Vista Resort 4*,"8100 Lake Street,Orlando,FL,32836-6401","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Hot Tub,
Tennis Court ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Business Center with Internet Access,
Room Service,
Free Breakfast,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Dry Cleaning,
Meeting Rooms,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities ","
$128 - $274 (Based on Average Rates for a Standard Room)
","
,
Embassy Suites by Hilton Orlando Lake Buena Vista Resort
",4.5
"All reviews,nice apartment building,pull out couches,nice linens,light bulbs,storage space,room was spotless,a king size bed,great stay,apartments,towels,bedroom",2.5 star — Club Orlando 2.5*,"5305 San Antonio Ave,Orlando,FL,32839-2219","
Wheelchair access,
Non-Smoking Hotel ,
Restaurant,
Spa,
Pool,
Tennis Court,
Fitness Center with Gym / Workout Room ,
Non-Smoking Rooms,
Suites ,
Free Parking,
Shuttle Bus Service,
Self-Serve Laundry ","
$84 - $137 (Based on Average Rates for a Standard Room)
","
,
Club Orlando
",2.5
,2 star — Orlando UCF Extended Stay Hotel 2*,"11424 University Blvd,Orlando,FL,32817-2109","
Wheelchair access,
Pets Allowed ( Dog / Pet Friendly ) ,
Kitchenette,
Non-Smoking Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi,
Paid Internet ,
Free Parking,
Self-Serve Laundry ","
$43 - $91 (Based on Average Rates for a Standard Room)
","
,
Orlando UCF Extended Stay Hotel
",4
"All reviews,orlando eye,rooms are clean,one night stay,the breakfast area,hotel rooms,guest services,international drive,yogurt,every morning,shuttle service,great place to stay,walking distance,evelyn,wawa,starbucks,microwave",2 star — Grand Hotel Orlando 2*,"7825 Universal Blvd,Orlando,FL,32819-8943","
Wheelchair access,
Pets Allowed ( Dog / Pet Friendly ) ,
Pool,
Fitness Center with Gym / Workout Room ,
Non-Smoking Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Free Breakfast,
Shuttle Bus Service,
Meeting Rooms,
Business Center with Internet Access ","
$57 - $158 (Based on Average Rates for a Standard Room)
","
,
Grand Hotel Orlando
",3.5
"All reviews,international drive,free continental breakfast,budget hotel,universal studios,breakfast area,fridge and microwave,comfort inn,do not disturb sign,free shuttle,beds were comfortable,cereal,perkins,ihop,idrive",2 star — The Floridian Hotel and Suites 2*,"7531 Canada Ave,Orlando,FL,32819-8274","
Wheelchair access ,
Pool ,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Free Breakfast,
Shuttle Bus Service,
Multilingual Staff ","
$58 - $165 (Based on Average Rates for a Standard Room)
","
,
The Floridian Hotel and Suites
",3.5
"All reviews,best westerns,asbury theological seminary,breakfast staff,breakfast was excellent,the breakfast area,king suite,room was clean,continental breakfast,easy access,front desk clerk,enjoyed my stay,wonderful stay,convenient location,ucf,bw,maintenance,microwave",2.5 star — BEST WESTERN Orlando East Inn & Suites 2.5*,"8750 E Colonial Dr,Orlando,FL,32817-4004","
Wheelchair access,
Pets Allowed ( Dog / Pet Friendly ),
Non-Smoking Hotel ,
Fitness Center with Gym / Workout Room,
Pool ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Free Breakfast,
Self-Serve Laundry,
Meeting Rooms,
Business Center with Internet Access,
Multilingual Staff ","
$77 - $137 (Based on Average Rates for a Standard Room)
","
,
BEST WESTERN Orlando East Inn & Suites
",3.5
"All reviews,front desk,shuttle driver,warm cookies,nice hotel,short stay,long flight,stayed one night,port canaveral,very nice stay,business trip,rooms are clean,convenient location,upon check,rental car,free shuttle,would definitely stay here again,mco,conference,valet,proximity",3.5 star — DoubleTree by Hilton Orlando Airport Hotel 3.5*,"5555 Hazeltine National Dr,Orlando,FL,32812-9008","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge ,
Non-Smoking Rooms,
Family Rooms,
Accessible rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ),
Public Wifi,
Paid Wifi ,
Shuttle Bus Service,
Room Service,
Business Center with Internet Access,
Airport Transportation,
Meeting Rooms,
Banquet Room,
Multilingual Staff,
Conference Facilities,
Dry Cleaning,
Breakfast Available ","
$107 - $217 (Based on Average Rates for a Standard Room)
","
,
DoubleTree by Hilton Orlando Airport Hotel
",4
"All reviews,golden corral,international drive,sand lake rd,front desk,hard boiled eggs,breakfast area,universal studios,free breakfast,make your own waffles,hot breakfast,yogurt,comfortable stay,nice breakfast,small pool,rooms were clean,very nice hotel,housekeeping staff,convenient location,visiting orlando,flat screen tv",2.5 star — Comfort Inn International 2.5*,"8134 International Dr,Orlando,FL,32819-9323","
Wheelchair access,
Non-Smoking Hotel,
Pets Allowed ( Dog / Pet Friendly ) ,
Pool,
Fitness Center with Gym / Workout Room ,
Suites,
Non-Smoking Rooms,
Accessible rooms,
Family Rooms,
Smoking rooms available ,
Microwave,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Free Breakfast,
Breakfast Available,
Business Center with Internet Access,
Concierge,
Multilingual Staff,
Self-Serve Laundry ","
$75 - $185 (Based on Average Rates for a Standard Room)
","
,
Comfort Inn International
",4
"All reviews,falls pool,high velocity,east tower,lobby bar,solaris restaurant,hawks landing,laser light show,bell stand,pool area,huge hotel,self parking,convention center,food court,business conference,huge pool,disney fireworks,meeting rooms,concierge desk,family vacation,spring break",4 star — Orlando World Center Marriott 4*,"8701 World Center Drive,Orlando,FL,32821-6358","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Spa,
Golf course,
Hot Tub,
Tennis Court ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi,
Paid Internet ,
Room Service,
Business Center with Internet Access,
Meeting Rooms,
Shuttle Bus Service,
Airport Transportation,
Dry Cleaning,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities,
Babysitting ","
$169 - $371 (Based on Average Rates for a Standard Room)
","
,
Orlando World Center Marriott
",4.5
