GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
8600000US06390,06390,ZCTA5 06390,236
8600000US10001,10001,ZCTA5 10001,21102
8600000US10002,10002,ZCTA5 10002,81410
8600000US10003,10003,ZCTA5 10003,56024
8600000US10004,10004,ZCTA5 10004,3089
8600000US10005,10005,ZCTA5 10005,7135
8600000US10006,10006,ZCTA5 10006,3011
8600000US10007,10007,ZCTA5 10007,6988
8600000US10009,10009,ZCTA5 10009,61347
8600000US10010,10010,ZCTA5 10010,31834
8600000US10011,10011,ZCTA5 10011,50984
8600000US10012,10012,ZCTA5 10012,24090
8600000US10013,10013,ZCTA5 10013,27700
8600000US10014,10014,ZCTA5 10014,31959
8600000US10016,10016,ZCTA5 10016,54183
8600000US10017,10017,ZCTA5 10017,16575
8600000US10018,10018,ZCTA5 10018,5229
8600000US10019,10019,ZCTA5 10019,42870
8600000US10020,10020,ZCTA5 10020,0
8600000US10021,10021,ZCTA5 10021,43631
8600000US10022,10022,ZCTA5 10022,31924
8600000US10023,10023,ZCTA5 10023,60998
8600000US10024,10024,ZCTA5 10024,59283
8600000US10025,10025,ZCTA5 10025,94600
8600000US10026,10026,ZCTA5 10026,34003
8600000US10027,10027,ZCTA5 10027,59707
8600000US10028,10028,ZCTA5 10028,45141
8600000US10029,10029,ZCTA5 10029,76003
8600000US10030,10030,ZCTA5 10030,26999
8600000US10031,10031,ZCTA5 10031,56438
8600000US10032,10032,ZCTA5 10032,57331
8600000US10033,10033,ZCTA5 10033,53926
8600000US10034,10034,ZCTA5 10034,38908
8600000US10035,10035,ZCTA5 10035,33969
8600000US10036,10036,ZCTA5 10036,24711
8600000US10037,10037,ZCTA5 10037,17416
8600000US10038,10038,ZCTA5 10038,20300
8600000US10039,10039,ZCTA5 10039,24527
8600000US10040,10040,ZCTA5 10040,41905
8600000US10044,10044,ZCTA5 10044,11661
8600000US10065,10065,ZCTA5 10065,32270
8600000US10069,10069,ZCTA5 10069,5199
8600000US10075,10075,ZCTA5 10075,26121
8600000US10103,10103,ZCTA5 10103,3
8600000US10110,10110,ZCTA5 10110,0
8600000US10111,10111,ZCTA5 10111,0
8600000US10112,10112,ZCTA5 10112,0
8600000US10115,10115,ZCTA5 10115,0
8600000US10119,10119,ZCTA5 10119,92
8600000US10128,10128,ZCTA5 10128,60453
8600000US10152,10152,ZCTA5 10152,0
8600000US10153,10153,ZCTA5 10153,0
8600000US10154,10154,ZCTA5 10154,0
8600000US10162,10162,ZCTA5 10162,1685
8600000US10165,10165,ZCTA5 10165,2
8600000US10167,10167,ZCTA5 10167,0
8600000US10168,10168,ZCTA5 10168,0
8600000US10169,10169,ZCTA5 10169,0
8600000US10170,10170,ZCTA5 10170,2
8600000US10171,10171,ZCTA5 10171,0
8600000US10172,10172,ZCTA5 10172,0
8600000US10173,10173,ZCTA5 10173,2
8600000US10174,10174,ZCTA5 10174,0
8600000US10177,10177,ZCTA5 10177,0
8600000US10199,10199,ZCTA5 10199,9
8600000US10271,10271,ZCTA5 10271,0
8600000US10278,10278,ZCTA5 10278,0
8600000US10279,10279,ZCTA5 10279,0
8600000US10280,10280,ZCTA5 10280,7853
8600000US10282,10282,ZCTA5 10282,4783
8600000US10301,10301,ZCTA5 10301,39706
8600000US10302,10302,ZCTA5 10302,19088
8600000US10303,10303,ZCTA5 10303,26337
8600000US10304,10304,ZCTA5 10304,42193
8600000US10305,10305,ZCTA5 10305,41749
8600000US10306,10306,ZCTA5 10306,55909
8600000US10307,10307,ZCTA5 10307,14096
8600000US10308,10308,ZCTA5 10308,27357
8600000US10309,10309,ZCTA5 10309,32519
8600000US10310,10310,ZCTA5 10310,24962
8600000US10311,10311,ZCTA5 10311,0
8600000US10312,10312,ZCTA5 10312,59304
8600000US10314,10314,ZCTA5 10314,85510
8600000US10451,10451,ZCTA5 10451,45713
8600000US10452,10452,ZCTA5 10452,75371
8600000US10453,10453,ZCTA5 10453,78309
8600000US10454,10454,ZCTA5 10454,37337
8600000US10455,10455,ZCTA5 10455,39665
8600000US10456,10456,ZCTA5 10456,86547
8600000US10457,10457,ZCTA5 10457,70496
8600000US10458,10458,ZCTA5 10458,79492
8600000US10459,10459,ZCTA5 10459,47308
8600000US10460,10460,ZCTA5 10460,57311
8600000US10461,10461,ZCTA5 10461,50502
8600000US10462,10462,ZCTA5 10462,75784
8600000US10463,10463,ZCTA5 10463,67970
8600000US10464,10464,ZCTA5 10464,4534
8600000US10465,10465,ZCTA5 10465,42230
8600000US10466,10466,ZCTA5 10466,67813
8600000US10467,10467,ZCTA5 10467,97060
8600000US10468,10468,ZCTA5 10468,76103
8600000US10469,10469,ZCTA5 10469,66631
8600000US10470,10470,ZCTA5 10470,15293
8600000US10471,10471,ZCTA5 10471,22922
8600000US10472,10472,ZCTA5 10472,66358
8600000US10473,10473,ZCTA5 10473,58519
8600000US10474,10474,ZCTA5 10474,12281
8600000US10475,10475,ZCTA5 10475,40931
8600000US10501,10501,ZCTA5 10501,1219
8600000US10502,10502,ZCTA5 10502,5487
8600000US10503,10503,ZCTA5 10503,108
8600000US10504,10504,ZCTA5 10504,7987
8600000US10505,10505,ZCTA5 10505,851
8600000US10506,10506,ZCTA5 10506,5790
8600000US10507,10507,ZCTA5 10507,6408
8600000US10509,10509,ZCTA5 10509,19507
8600000US10510,10510,ZCTA5 10510,9988
8600000US10511,10511,ZCTA5 10511,2246
8600000US10512,10512,ZCTA5 10512,25590
8600000US10514,10514,ZCTA5 10514,11946
8600000US10516,10516,ZCTA5 10516,5289
8600000US10517,10517,ZCTA5 10517,539
8600000US10518,10518,ZCTA5 10518,1268
8600000US10519,10519,ZCTA5 10519,316
8600000US10520,10520,ZCTA5 10520,12810
8600000US10522,10522,ZCTA5 10522,10875
8600000US10523,10523,ZCTA5 10523,7444
8600000US10524,10524,ZCTA5 10524,4421
8600000US10526,10526,ZCTA5 10526,1809
8600000US10527,10527,ZCTA5 10527,908
8600000US10528,10528,ZCTA5 10528,12280
8600000US10530,10530,ZCTA5 10530,12604
8600000US10532,10532,ZCTA5 10532,4931
8600000US10533,10533,ZCTA5 10533,7322
8600000US10535,10535,ZCTA5 10535,555
8600000US10536,10536,ZCTA5 10536,10739
8600000US10537,10537,ZCTA5 10537,2416
8600000US10538,10538,ZCTA5 10538,16597
8600000US10541,10541,ZCTA5 10541,26339
8600000US10543,10543,ZCTA5 10543,20135
8600000US10545,10545,ZCTA5 10545,141
8600000US10546,10546,ZCTA5 10546,1277
8600000US10547,10547,ZCTA5 10547,7647
8600000US10548,10548,ZCTA5 10548,3487
8600000US10549,10549,ZCTA5 10549,16638
8600000US10550,10550,ZCTA5 10550,37144
8600000US10552,10552,ZCTA5 10552,19786
8600000US10553,10553,ZCTA5 10553,10170
8600000US10560,10560,ZCTA5 10560,4737
8600000US10562,10562,ZCTA5 10562,31796
8600000US10566,10566,ZCTA5 10566,23570
8600000US10567,10567,ZCTA5 10567,19929
8600000US10570,10570,ZCTA5 10570,12680
8600000US10573,10573,ZCTA5 10573,38352
