City,Year,Category_staff,Number_staff,Category_of_beds,%_bed_occupied,Number_of_beds,Category_patient,Number_Patient
Taipei City,2006,Total,26740,Total,,19992,Clinic,162699
Taichung City,2006,Total,15527,Total,,16840,Clinic,80302
Tainan City,2006,Total,9013,Total,,9872,Clinic,50603
Kaohsiung City,2006,Total,16324,Total,,17356,Clinic,77863
Keelung City,2006,Total,1979,Total,,2170,Clinic,13271
Hsinchu City,2006,Total,2041,Total,,2076,Clinic,19369
Chiayi City,2006,Total,3139,Total,,3260,Clinic,18849
New Taipei City,2006,Total,9698,Total,,11138,Clinic,67357
Taoyuan City,2006,Total,11122,Total,,12549,Clinic,57337
Hsinchu County,2006,Total,1316,Total,,2044,Clinic,6004
Yilan County,2006,Total,2616,Total,,3701,Clinic,19976
Miaoli County,2006,Total,1898,Total,,2969,Clinic,13396
Changhua County,2006,Total,6244,Total,,6714,Clinic,39325
Nantou County,2006,Total,1917,Total,,2968,Clinic,20281
Yunlin County,2006,Total,2023,Total,,2649,Clinic,13194
Chiayi County,2006,Total,2662,Total,,3225,Clinic,10490
Pingtung County,2006,Total,4156,Total,,5397,Clinic,18153
Penghu County,2006,Total,318,Total,,452,Clinic,986
Hualien County,2006,Total,3146,Total,,4234,Clinic,8211
Taitung County,2006,Total,1021,Total,,1223,Clinic,7453
Kinmen County,2006,Total,152,Total,,285,Clinic,499
Lienchiang County,2006,Total,38,Total,,38,Clinic,41
Taipei City,2006,Doctor,5666,General,75.5,14880,Emergency,1028541
Taichung City,2006,Doctor,2682,General,63.6,12093,Emergency,739422
Tainan City,2006,Doctor,1562,General,66.8,7101,Emergency,496615
Kaohsiung City,2006,Doctor,2995,General,64.3,12858,Emergency,784290
Keelung City,2006,Doctor,365,General,66.7,1594,Emergency,142532
Hsinchu City,2006,Doctor,316,General,63.6,1367,Emergency,218394
Chiayi City,2006,Doctor,435,General,68.7,2247,Emergency,162728
New Taipei City,2006,Doctor,1621,General,73.7,8184,Emergency,682494
Taoyuan City,2006,Doctor,2046,General,67.4,9333,Emergency,634518
Hsinchu County,2006,Doctor,171,General,53.1,1445,Emergency,110170
Yilan County,2006,Doctor,344,General,72.6,2854,Emergency,163698
Miaoli County,2006,Doctor,254,General,61.7,2114,Emergency,124844
Changhua County,2006,Doctor,1008,General,59.5,4782,Emergency,320129
Nantou County,2006,Doctor,262,General,69.5,2332,Emergency,129747
Yunlin County,2006,Doctor,300,General,61.1,1872,Emergency,149262
Chiayi County,2006,Doctor,421,General,65.8,2488,Emergency,127924
Pingtung County,2006,Doctor,535,General,64.8,4089,Emergency,273702
Penghu County,2006,Doctor,54,General,57.4,343,Emergency,36258
Hualien County,2006,Doctor,560,General,84,3511,Emergency,138334
Taitung County,2006,Doctor,132,General,62.7,840,Emergency,84561
Kinmen County,2006,Doctor,18,General,35.1,234,Emergency,16146
Lienchiang County,2006,Doctor,9,General,19.4,34,Emergency,4938
Taipei City,2006,RN/LPN,16062,Specialty,60.6,5112,Surgery ,377020
Taichung City,2006,RN/LPN,9889,Specialty,64.4,4747,Surgery ,214397
Tainan City,2006,RN/LPN,5687,Specialty,63.9,2771,Surgery ,116921
Kaohsiung City,2006,RN/LPN,10336,Specialty,58.2,4498,Surgery ,204403
Keelung City,2006,RN/LPN,1240,Specialty,62,576,Surgery ,25306
Hsinchu City,2006,RN/LPN,1349,Specialty,57.6,709,Surgery ,36370
Chiayi City,2006,RN/LPN,2115,Specialty,58.3,1013,Surgery ,41936
New Taipei City,2006,RN/LPN,6332,Specialty,62.5,2954,Surgery ,136304
Taoyuan City,2006,RN/LPN,7251,Specialty,58.7,3216,Surgery ,149337
Hsinchu County,2006,RN/LPN,907,Specialty,64.6,599,Surgery ,12506
