text,userId,stars,restaurant
Good quality fresh produce for cheap! I'll be bathing suit ready in no time!,RtqvyG-gXSnHAID81BQVyA,5,To The World Farm
"The only place to get the freshest, cheapest produce in the area.  I did a price comparison with Key Foods, which is down the street, and the same amount of fruits and vegetables were nearly half the price at To the World Farm!  Everyone there is incredibly nice and helpful. Not to mention, their selection of fruits and vegetables is fantastic.  Poblano peppers, fresh herbs, even mustard greens!  Two different types of mangoes!  Italian eggplants! Tomatillos! woot.",swjMOyGRALYs_rJLoi4qng,5,To The World Farm
"I just returned from this delightful place, and I am officially never getting produce anywhere else. I love that I can get all my necessities for the next two weeks, splurge on delicious peaches and nectarines, and the total is still only 22 dollars. We're talking a lot of produce here, people. Dropping all these extra pounds is going to be so much easier with this place in the neighborhood, thank you!!",XnMKnhwYADo01Y6DzaLpOQ,5,To The World Farm
"Yeah, I don't really want to shop anywhere else for produce ever again. So much love for this little healthy heaven.",Rm6BAksEwkQEZD_f1_6dpg,5,To The World Farm
This place rules! The produce is fresh and the prices are mad reasonable. I think it's a family run operation and everybody that works here is very friendly. The selection of fruits and herbs are off the chain. This place is a godsend for someone that cooks as much as I do.,CYd9M0nM9V8GGX3b48jAMA,5,To The World Farm
"I just moved to NYC, and I stumbled upon this market online, decided to try it out on a whim because I didn't feel like slitting open my pocketbook at Whole Foods. <br>This place is awesome! For under 30 dollars I bought: Fennel bulb, green leaf lettuce head, 1 bunch beets,  thyme, parsley, mint, 16 oz can of Kimchi, Sushinori, bag of radishes, 3 eggplant, 1 bunch carrots, 3 lemon, 6 lime, seven peppers asst. and a box o' concord grapes. Everything was fresh and beautiful. The only downfall is they don't have any meats or fish - just beautiful veggies, goya canned goods, and a small selection of beer and juices.",PCtl2znQ2-EB6utB4ypJTA,5,To The World Farm
"everything is so fresh and so cheap!<br>fantastic selection of fruit, vegetables, and fresh herbs.<br>they've also got a great selection of harder to find specific produce.<br>(jamaica peppers, italian plums, lychee, etc.)<br>they always have fresh made kim chi in the back fridge section.<br>everybody here is super nice and it's soooo easy on your wallet.<br>i buy all of my produce here as long as i can catch them before they close at 7.",GGNEgde_k55oyzKNcBHMAw,5,To The World Farm
"I LOVE this place. I wish it was closer to my apartment! It is the only place I ever want to buy produce from anymore. The prices and quality are unbeatable, and like everyone else here mentioned, the staff is also incredibly friendly.",A9AR-vKvFecg6sX4eLoR8Q,5,To The World Farm
"Unfortunately, I think prices have gone up to equal or just under some local Williamsburg supermarkets.  I hope not since it is/was such a pleasure to shop here.  I recall it being a greater bargain as others have noted.   It's a little trek for me on my bike but I will definitely go back one more time. They are very friendly and hope it was an aberration based on the produce I got.  Will amend after I go back, if necessary.  Regardless, the produce is very good.",IJthSIoHO9pN-rIKWThCOA,3,To The World Farm
Great prices. Nothing compares to it in the area,tPCF1DhAiWFldNYJecwpyg,4,To The World Farm
"Great produce at amazing prices. Every interaction I've had with the staff has been really pleasant, too. <br><br>I feel very fortunate to live nearby!",U3reM_vdKn7smzSxx-zS6Q,5,To The World Farm
"Really good produce place. Low prices and a nice selection of produce. They've got your standard fruits and veggies as well as some harder to find exotics? Tropicals? Anyway, good staff, good produce, good prices.",CI26nb8VxbA5iwQGKs8Iww,5,To The World Farm
"My friend I was living with introduced me to this green grocer my first week of living here, and honestly it doesn't get any better than this. The produce is SO FREAKING CHEAP, cheaper than Publix produce ($1.25 for a huge head of red leaf lettuce?!?!?! You gotta be kidding me!) and its super cheap and delicious. I don't go anywhere else for produce.",oyRJbRWT70Cy4t7qGGG1gQ,5,To The World Farm
This place is great... I bought an on the vine tomato from here today that was so perfect it was enlightening... oh and $1/lb instead of the usual 3-4.  I mean if you like getting better produce for cheaper this is your spot.  I just can't wait for some jacka$$ to give this place a 4-star review saying he really like it so I can send him a message about how he doesn't know the meaning of life.,WRSedlpmhA-9ZqVMUFtPMQ,5,To The World Farm
"Such a gem in Williamsburg and NYC in general, where usually the produce is expensive and the staff rude, this store is staffed with really helpful and kind staff with amazing prices.",k8Ota_VDHtNe38pnMaYTww,5,To The World Farm
Lots of fresh produce &amp; cheap!,ZL-bhS3p1bnKqfR2-YtadQ,5,To The World Farm
"This place is good enough that I will cite it in ads trying to find roommates. The people who work there are nice. The produce is good, the prices are better. Especially on herbs.",odSdXIXaeEZepF0e5lR54w,5,To The World Farm
"This place is great! The food is really cheap and good. Everyone that works there is so pleasant and accommodating, I go out of my way to go here for produce.",4ptVtPgEDDTPuSpp2J66fw,5,To The World Farm
"I love this place. Great prices, selection, and probably the coolest and friendliest store owners around. You have to find what's freshest like any market, whether it be whole foods or key foods, but this place takes the win. They've even done shopping for me when I needed a case of ripe avocados. They regularly have blood oranges, and they have the best hot Italian peppers. And I get out every time for under 20 bucks and a ton of veggies. Love this place.",lZ3EzQypsUlF0ce_S58wqg,5,To The World Farm
"Awesome prices, awesome variety! So glad I came across this place and I can't even get over it!",joQ-ug_lBkfAbAsejQN8eg,5,To The World Farm
"The produce is fresh and cheap. The staff, including the black and white<br> kitty sleeping in the basket under the tofu, are all friendly and sweet. I've heard the guy who works in the evening speaks seven languages and I believe it. <br>It's the only place I go to in the neighborhood for fruits and veggies.",-uqnlNWprOZJNxe9kDGm-Q,5,To The World Farm
"Having moved to East Williamsburg from Greenpoint, I found myself sorely missing the various low cost farms competing with each other on Manhattan Ave. and Nassau. Finally, having found To The World Farm, I have been able to free myself from the tyranny of lackluster produce at Ctown and the criminal gouging at Khim's Millenium Market.",jC-QErzSv9-nsysetS1n9w,5,To The World Farm
