,Increased,Stayed the same,Decreased,Categorization
United States,66,25,4,Advanced
Canada,76,18,2,Advanced
Britain,72,21,3,Advanced
France,81,16,3,Advanced
Germany,88,11,1,Advanced
Italy,88,8,3,Advanced
Greece,88,8,3,Advanced
Poland,71,12,12,Advanced
Czech Republic,82,15,2,Advanced
Russia,74,16,8,Advanced
Turkey,70,9,18,Emerging
Egypt,53,32,9,Emerging
Jordan,54,33,7,Developing
Lebanon,87,11,2,Developing
Palest. ter.,73,16,7,Developing
Tunisia,71,15,12,Developing
Israel,81,13,2,Developing
Australia,64,25,4,Advanced
China,69,9,17,Advanced
Indonesia,60,29,10,Emerging
Japan,58,32,7,Emerging
Malaysia,32,38,22,Advanced
Pakistan,83,7,3,Emerging
Philippines,66,24,9,Developing
South Korea,79,16,5,Developing
Argentina,57,24,15,Advanced
Bolivia,32,37,26,Emerging
Brazil,50,24,25,Developing
Chile,51,34,13,Emerging
El Salvador,38,43,17,Emerging
Mexico,59,22,13,Developing
Venezuela,40,35,22,Emerging
Ghana,69,17,10,Emerging
Kenya,80,7,13,Developing
Nigeria,80,10,7,Developing
Senegal,69,16,12,Developing
South Africa,66,18,14,Developing
Uganda,75,5,13,Emerging
,,,,Developing
