,Improve,Remain the same,Worsen,Categorization
United States,44,22,33,Advanced
Canada,29,47,21,Advanced
Britain,22,40,37,Advanced
France,11,28,61,Advanced
Germany,27,49,23,Advanced
Italy,19,31,48,Advanced
Greece,14,20,64,Advanced
Poland,14,51,30,Advanced
Czech Republic,15,47,35,Advanced
Russia,24,53,18,Advanced
Turkey,39,24,32,Emerging
Egypt,29,26,42,Emerging
Jordan,28,33,37,Developing
Lebanon,19,33,48,Developing
Palest. ter.,27,33,35,Developing
Tunisia,50,19,25,Developing
Israel,27,39,30,Developing
Australia,31,41,24,Advanced
China,80,13,2,Advanced
Indonesia,37,48,10,Emerging
Japan,40,47,11,Emerging
Malaysia,64,25,6,Advanced
Pakistan,26,26,29,Emerging
Philippines,55,34,8,Developing
South Korea,40,40,18,Developing
Argentina,29,41,26,Advanced
Bolivia,37,42,15,Emerging
Brazil,79,15,6,Developing
Chile,42,47,6,Emerging
El Salvador,44,38,17,Emerging
Mexico,56,22,20,Developing
Venezuela,64,14,17,Emerging
Ghana,60,14,19,Emerging
Kenya,59,18,16,Developing
Nigeria,66,17,11,Developing
Senegal,69,17,9,Developing
South Africa,48,26,23,Developing
Uganda,42,23,23,Emerging
,,,,Developing
