,Very big problem,Categorization
United States,47,Advanced
Canada,45,Advanced
Britain,50,Advanced
France,65,Advanced
Germany,51,Advanced
Italy,75,Advanced
Greece,84,Advanced
Poland,54,Advanced
Czech Republic,54,Advanced
Russia,59,Advanced
Turkey,68,Emerging
Egypt,49,Emerging
Jordan,44,Developing
Lebanon,86,Developing
Palest. ter.,60,Developing
Tunisia,82,Developing
Israel,51,Developing
Australia,33,Advanced
China,52,Advanced
Indonesia,46,Emerging
Japan,34,Emerging
Malaysia,41,Advanced
Pakistan,85,Emerging
Philippines,53,Developing
South Korea,66,Developing
Argentina,33,Advanced
Bolivia,58,Emerging
Brazil,75,Developing
Chile,79,Emerging
El Salvador,68,Emerging
Mexico,67,Developing
Venezuela,61,Emerging
Ghana,81,Emerging
Kenya,73,Developing
Nigeria,78,Developing
Senegal,78,Developing
South Africa,70,Developing
Uganda,74,Emerging
,,Developing
