,Worse off,Better off,Categorization
United States,62,33,Advanced
Canada,64,27,Advanced
Britain,74,17,Advanced
France,90,9,Advanced
Germany,4,28,Advanced
Italy,73,14,Advanced
Greece,67,21,Advanced
Poland,61,26,Advanced
Czech Republic,58,28,Advanced
Russia,24,40,Advanced
Turkey,43,39,Emerging
Egypt,42,22,Emerging
Jordan,43,31,Developing
Lebanon,47,26,Developing
Palest. ter.,38,23,Developing
Tunisia,39,49,Developing
Israel,27,41,Developing
Australia,53,39,Advanced
China,7,82,Advanced
Indonesia,25,58,Emerging
Japan,76,15,Emerging
Malaysia,12,72,Advanced
Pakistan,30,40,Emerging
Philippines,29,63,Developing
South Korea,37,56,Developing
Argentina,38,44,Advanced
Bolivia,19,51,Emerging
Brazil,18,79,Developing
Chile,13,76,Emerging
El Salvador,42,40,Emerging
Mexico,39,44,Developing
Venezuela,21,66,Emerging
Ghana,22,65,Emerging
Kenya,32,55,Developing
Nigeria,18,65,Developing
Senegal,36,51,Developing
South Africa,40,39,Developing
Uganda,37,39,Emerging
,,,Developing
