title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Phoenix Wright: Ace Attorney - Dual Destinies;26;34;34.5;29.5;3DO
Gex;5;6;7.5;5.5;3DO
Primal Rage;0.8333333333333334;1;1.5;0.9666666666666667;3DO
The Secret of Monkey Island;6.5;7;7.5;6.5;Amiga
Monkey Island 2: LeChuck's Revenge;7;7.5;7.5;7;Amiga
Another World;2;2.5;2.5;2.5;Amiga
Indiana Jones and the Fate of Atlantis;7.5;7;9.5;8;Amiga
Indiana Jones and the Last Crusade: The Graphic Adventure;5.5;6;5;5.5;Amiga
Beneath a Steel Sky;6;5.5;7.5;6;Amiga
Eye of the Beholder II: The Legend of Darkmoon;16;;21;19;Amiga
Flashback;7;;6.5;7;Amiga
Golden Axe;0.7833333333333333;0.7333333333333333;1.5;0.8333333333333334;Amiga
Lemmings;22.5;24.5;13.5;22.5;Amiga
Maniac Mansion;2.5;2;6.5;3;Amiga
Alien Breed;8;;;8;Amiga
Bionic Commando (1988);2.5;3;1.5;2.5;Amiga
Desert Strike: Return to the Gulf;6;7;6.5;6.5;Amiga
Marble Madness;0.3333333333333333;;3.5;0.8833333333333333;Amiga
Syndicate;12;;21;13;Amiga
Apidya;0.75;;;0.75;Amiga
Arkanoid;2;;;2;Amiga
Back to the Future Part III;0.35;;0.75;0.5166666666666667;Amiga
California Games;8;2;2;4.5;Amiga
Cannon Fodder;3.5;;18;9.5;Amiga
Chuck Rock;2;;0.75;1.5;Amiga
D/Generation;;;6;6;Amiga
Double Dragon II: The Revenge;1.5;;2;1.5;Amiga
Dungeon Master;30;;16;20;Amiga
Dynamite Dux;0.75;;;0.75;Amiga
Final Fight;1.5;0.8333333333333334;1;1.5;Amiga
It Came From the Desert;2.5;;;2.5;Amiga
Moonstone: A Hard Days Knight;1.5;;;1.5;Amiga
North & South;2;;;2;Amiga
Oh No! More Lemmings;;;;;Amiga
Rainbow Islands: The Story of Bubble Bobble 2;7.5;;;7.5;Amiga
Shadow of the Beast;0.35;;2.5;1.5;Amiga
Speedball 2: Brutal Deluxe;2.5;10;13.5;9.5;Amiga
The NewZealand Story;2;;2;2;Amiga
Zak McKracken and the Alien Mindbenders;4;;50;27;Amiga
Rick Dangerous 2;2;;;2;Amiga
Black Tiger;0.85;;0.6166666666666667;0.7833333333333333;Amiga
Turrican;1.5;;;1.5;Amiga
Champions of Krynn;18;;;18;Amiga
Batman: The Movie;0.6833333333333333;;1;0.7666666666666667;Amiga
Bubble Bobble;3;2;;3;Amiga
Defender of the Crown;3.5;;;3.5;Amiga
Eye of the Beholder;11.5;12.5;21;14;Amiga
The Walking Dead;13.5;;;;Android
Limbo;3.5;4;6.5;4;Android
Thomas Was Alone;3.5;3.5;4;3.5;Android
VVVVVV;2.5;3.5;4.5;3;Android
Shadowrun Returns;12;13.5;17;13.5;Android
World of Goo;6;8;12.5;7;Android
Machinarium;5;5.5;6;5;Android
Superbrothers: Sword & Sworcery EP;4.5;4.5;5;4.5;Android
Little Inferno;3;4;4;3.5;Android
Anomaly: Warzone Earth;6;8.5;19;8;Android
Max Payne;8.5;9;10.5;9;Android
Sonic & All-Stars Racing Transformed;7;14;40;13;Android
Plants vs. Zombies;7.5;19.5;45;17.5;Android
Super Hexagon;22.5;;;;Android
Osmos;5.5;8;10;7.5;Android
McPixel;1.5;2.5;3;2;Android
Anodyne;6;6.5;9.5;6.5;Android
Eufloria;12;17.5;24;14.5;Android
Syberia;10;11.5;12;10.5;Android
Gemini Rue;6.5;7;9;7;Android
Waking Mars;6.5;8;8.5;8;Android
Broken Sword II: The Smoking Mirror - Remastered;6.5;6.5;10;7;Android
Organ Trail;2.5;4.5;16;3;Android
Knights of Pen and Paper +1 Edition;10;16;26.5;16;Android
Chrono Trigger;23.5;26;46;27;Android
Edge;3.5;8;11.5;7;Android
Final Fantasy VI (Final Fantasy III NA);34;41;66.5;42;Android
Broken Sword: The Shadow of the Templars - Director's Cut;10;10;11;10;Android
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;3;5.5;;5;Android
Deus Ex: The Fall;4.5;6;7;6;Android
Type:Rider;2.5;2.5;4;3;Android
Splice;2;3.5;5.5;3.5;Android
EarthBound;27.5;28.5;37;28.5;Android
Final Fantasy IV (3D);32.5;39.5;55;38;Android
Kingdom Rush;7.5;17;30.5;13.5;Android
Final Fantasy III (3D);31;34.5;48.5;34;Android
The Bard's Tale (2004);14;18;25.5;17;Android
Final Fantasy V;35;36.5;65;38;Android
Ittle Dew;3;4;7.5;4;Android
Five Nights at Freddy's;2;3.5;11;3.5;Android
Final Fantasy IV: The After Years;33.5;43.5;58.5;42;Android
10000000;6;7;8;7;Android
Anomaly: Korea;3;5.5;8.5;3.5;Android
Final Fantasy;17.5;24;35.5;21.5;Android
Sonic the Hedgehog 4: Episode 1;2.5;4;6;3.5;Android
The Room (2012);2.5;1.5;2.5;2.5;Android
The Tiny Bang Story;3.5;3.5;3.5;3.5;Android
Plague Inc: Evolved;0.65;4.5;5;2;Android
Neverending Nightmares;1.5;2;2.5;2;Android
Anomaly: Warzone Earth - Mobile Campaign;4;2.5;9;4.5;Android
Sonic the Hedgehog (1991);1.5;2;2;2;Android
Sonic CD;2;4;7;2.5;Android
Ravensword: Shadowlands;5.5;6.5;9;6;Android
Final Fantasy II;26;32;42.5;30.5;Android
Minecraft;114.5;153.5;164;;Android
Yesterday;4;4;5;4;Android
Detective Grimoire;2.5;2.5;3;2.5;Android
Pokémon Emerald;30;61.5;157.5;46.5;Android
Sonic the Hedgehog 2 (16-bit);2.5;3;3;2.5;Android
Galaxy on Fire 2 HD;10.5;16;36;19.5;Android
Sonic the Hedgehog 4: Episode 2;3;4;4.5;3.5;Android
The Silent Age;3;3;3.5;3;Android
Final Fantasy Dimensions;53;56;109;53.5;Android
Back to Bed;1;2;3;1.5;Android
Clockwork Tales: Of Glass and Ink;3;3.5;4;3.5;Android
You Must Build A Boat;7;10;12;7.5;Android
Lara Croft Go;3.5;3;3.5;3;Android
Five Nights at Freddy's 2;2;3;;2.5;Android
Monument Valley;1.5;2;1.5;1.5;Android
Choice of Robots;2;;6.5;2.5;Android
Final Fantasy VI Advance;34;42;50;40.5;Android
Grand Theft Auto: Chinatown Wars;9;13;13.5;10.5;Android
Gunman Clive;1;2;2.5;1.5;Android
Dead Effect;3.5;7.5;;3.5;Android
Dragon Quest II: Luminaries of the Legendary Line (2014);20;16;16.5;17.5;Android
80 Days;3;9.5;;3.5;Android
Vector;4;7;9.5;5.5;Android
Thomas Was Alone: Benjamin's Flight DLC;0.5666666666666667;0.48333333333333334;0.6333333333333333;0.6166666666666667;Android
Canabalt;0.5166666666666667;1;;0.7;Android
Dragon Warrior;10;15.5;21;13.5;Android
Prince of Persia Classic;2;3;;2;Android
Scribblenauts Remix;2.5;2.5;4;2.5;Android
Spider: The Secret of Bryce Manor;;3.5;;3.5;Android
Layton Brothers: Mystery Room;;;8;8;Android
The Wolf Among Us: Episode 1 - Faith;2;2.5;2.5;2;Android
King Oddball;;;13;13;Android
2048;0.25;;;0.25;Android
Hitman Go;5.5;5;6;5.5;Android
Dragon Quest (2014);10.5;9;16;10.5;Android
FRAMED;1.5;1.5;;1.5;Android
Geometry Dash;;;20;20;Android
Fallout Shelter;20;22;;21.5;Android
Angry Birds Star Wars;4;6;30;6;Android
Carmageddon;11.5;16;21;14;Android
Chaos Rings;10;21.5;35;23;Android
Doom & Destiny;15.5;17.5;30.5;17.5;Android
Mass Effect: Infiltrator;4.5;;;4.5;Android
Plague Inc.;4;7;;4.5;Android
Kingdom Rush Frontiers;;12;;12;Android
Doodle God;10.5;;5.5;5.5;Android
Sorcery!;2;2.5;;2;Android
Out There;2.5;;;2.5;Android
Adventure Bar Story;71;58;70;68;Android
Age of Zombies;2.5;;;2.5;Android
Angry Birds;6.5;13.5;9.5;10;Android
Angry Birds Rio;6.5;6;10;7;Android
Angry Birds Seasons;6.5;11.5;8;7.5;Android
Angry Birds Space;4.5;5;4;4.5;Android
Asphalt 7: Heat;7.5;7.5;;7.5;Android
Chaos Rings II;23.5;29.5;;25;Android
Chaos Rings Omega;8;30.5;20.5;20;Android
Cut the Rope;2;3.5;11;5.5;Android
Dead Space (Mobile);4;4.5;5;4;Android
Dead Trigger;5;6;;5.5;Android
Devil's Attorney;2.5;4.5;5.5;4.5;Android
Don't Look Back;0.31666666666666665;;12;1;Android
Epoch;1;;;1;Android
Fairune;2.5;3.5;45;4.5;Android
Final Fantasy: All The Bravest;3;4.5;;4;Android
Fruit Ninja;2.5;8.5;47.5;12;Android
Game Dev Story;7;9;21.5;11;Android
N.O.V.A. 2: The Hero Rises Again;7.5;;;7.5;Android
N.O.V.A. 3;5;;;5;Android
N.O.V.A. Near Orbit Vanguard Alliance;4.5;5;;4.5;Android
Plants vs. Zombies 2: It's About Time;6.5;16;17;14;Android
Pudding Monsters;2.5;;4;3;Android
Rayman Jungle Run;2.5;4;4.5;4;Android
Swordigo;4.5;4;4.5;4.5;Android
Symphony of Eternity;16.5;;27;19;Android
The Dark Knight Rises (Mobile);10;;;10;Android
Trainyard;3;;10;6.5;Android
Zenonia;17;22;36;19.5;Android
Sleepwalker's Journey;2.5;;5;3;Android
Rymdkapsel;2;3;4.5;3.5;Android
BADLAND;5;5;;5;Android
Alchemy (2010);;;3.5;3.5;Android
Angry Birds Star Wars II;3.5;5;;4;Android
End of Aspiration;8;;;8;Android
The Room Two;3.5;;4;3.5;Android
Threes!;;;;;Android
Don't Move;1;;0.6833333333333333;0.85;Android
Asphalt 8: Airborne;15;40;;27.5;Android
Alice Trapped in Wonderland;2.5;;;2.5;Android
Enigmatis: The Ghosts of Maple Creek;4.5;5;5;5;Android
Sparkle 2;5;;;5;Android
Sorcery! 2;5;8.5;;6;Android
Duet;2.5;5;;3;Android
Dark Guardians;;;;;Android
The World Ends With You: Solo Remix;26.5;;;26.5;Android
Monument Valley: Forgotten Shores;1.5;;0.9166666666666666;1;Android
Earn to Die;1.5;;;1.5;Android
Jetpack Joyride;22;;;;Android
Tiny Thief;4;;5;4.5;Android
Bad Piggies;7.5;7.5;9;7.5;Android
Blazing Star;2;;;2;Android
DoDonPachi Resurrection;0.7833333333333333;;;0.7833333333333333;Android
Dungeon Village;;15.5;;15.5;Android
Inotia 3: Children of Carnia;;30;26;28;Android
Knights of Pen & Paper;9;13;22;12;Android
Paper Monsters;1;8;;2.5;Android
Ridiculous Fishing;2.5;3;10.5;5;Android
Serious Sam: Kamikaze Attack!;1.5;;;1.5;Android
Shadowgun;3;4;;3.5;Android
Super Jumping Finn;2;2.5;;2.5;Android
Machine Knight;;14.5;38;26.5;Android
Modern Combat 4: Zero Hour;4;;;4;Android
Leo's Fortune;2;3.5;1;2;Android
Zork I: The Great Underground Empire;7;;2;5.5;Apple II
Akalabeth: World of Doom;3;;2.5;3;Apple II
Metal Slug 3;1.5;4;2.5;2;Arcade
Crazy Taxi;3;4;5;4;Arcade
Gauntlet;0.8333333333333334;2;;1;Arcade
Metal Slug X;1;2.5;2;1;Arcade
Metal Slug;1;2;2;1.5;Arcade
Street Fighter Alpha 3;2.5;4;24;4;Arcade
Altered Beast;1.5;1;2;1.5;Arcade
Shinobi (1987);0.5166666666666667;3;1.5;1;Arcade
Street Fighter III 3rd Strike: Fight for the Future;1;5.5;10.5;2.5;Arcade
Super Street Fighter II Turbo;2.5;4.5;3;3;Arcade
