,UserID,ISBN,BookRating
11,276746,0449006522,0
13,276746,055356451X,0
34,276762,0451167317,0
173,276847,0446364193,0
426,276925,0316666343,0
457,276925,0971880107,0
532,276929,0060964049,0
534,276929,0439064864,0
622,276939,059035342X,0
625,276939,0971880107,0
650,276954,0971880107,0
689,276964,0425172546,0
747,276989,0312244266,0
796,277042,0061097101,0
799,277042,0312983271,0
800,277042,0380731851,0
803,277042,0451188454,0
806,277042,0671003755,0
824,277051,0805062971,0
879,277114,0385503822,0
896,277143,0061097101,0
899,277143,0345446860,0
915,277157,034541389X,0
919,277157,0380731851,0
951,277157,0449221512,0
965,277157,0971880107,0
972,277168,0425175405,0
974,277168,0440225701,0
980,277168,0553263226,0
983,277168,067102423X,0
995,277170,0446609404,0
996,277170,0446610038,0
1005,277171,0385479565,0
1049,277187,0440224705,0
1056,277187,0671042858,0
1084,277195,0060502258,0
1089,277195,0060987561,0
1098,277195,0316666343,0
1103,277195,0345413881,0
1113,277195,0394569652,0
1120,277195,0440236673,0
1121,277195,0446604801,0
1122,277195,0446605484,0
1123,277195,0446606189,0
1126,277195,0449134482,0
1132,277195,0553268880,0
1136,277195,0553572997,0
1142,277195,0671510053,0
1150,277195,0679746048,0
1170,277195,1558743669,0
1200,277197,0743206045,0
1272,277231,014023313X,0
1282,277244,0345443284,0
1290,277245,0316601950,0
1307,277272,0552998486,0
1329,277288,0425154092,0
1391,277378,0380731851,0
1397,277378,0451137965,0
1400,277378,0553279378,0
1409,277378,0684872153,0
1411,277378,0689817851,0
1429,277378,0971880107,0
1451,277411,044023722X,0
1452,277413,0316666343,0
1468,277427,006092988X,0
1469,277427,0060930535,0
1471,277427,0060934417,0
1484,277427,0140067477,0
1489,277427,014029628X,0
1493,277427,014100018X,0
1495,277427,0142001740,0
1513,277427,0312966091,0
1514,277427,031298328X,0
1516,277427,0316096199,0
1517,277427,0316168688,0
1520,277427,0316602051,0
1521,277427,0316666343,0
1533,277427,0345339681,0
1538,277427,0345404769,0
1551,277427,0373484232,0
1553,277427,0374199698,0
1557,277427,0375703764,0
1559,277427,0375727132,0
1580,277427,0385484518,0
1596,277427,0399144463,0
1618,277427,0425154092,0
1624,277427,0425174271,0
1625,277427,0425175405,0
1630,277427,0439136369,0
1649,277427,0440225701,0
1653,277427,0440241073,0
1658,277427,0441172717,0
1665,277427,0446602620,0
1667,277427,0446604801,0
1672,277427,0446611212,0
1675,277427,0449221482,0
1676,277427,0449221504,0
1684,277427,0451169522,0
1685,277427,0451177096,0
1701,277427,0515132020,0
1702,277427,0515133302,0
1713,277427,0553268880,0
1714,277427,0553271636,0
1715,277427,0553274295,0
1727,277427,0553572997,0
1737,277427,0553582755,0
1738,277427,0553586122,0
1748,277427,0671001795,0
1786,277427,0684872153,0
1818,277427,080410753X,0
1916,277427,0971880107,0
1917,277427,1400031354,0
