"tweets","sentiment"
"@damprice Our media is out of touch with the British people, e.g. over #BRExit, because they don't hire many ordinary working class people.",0
"OOOPS! UK inflation jumps from 0.9% in Oct to 1.2% in Nov thanks to #Brexit. Going to get worse. https://t.co/TIJ53fukcE",0
"@daraobriain @funnylaunderer could you bring us all back a pre #Brexit #Toblerone. Please",0
"@asphodelia @annetteashley61 ""There is no reason for delay stop"" sounds like #Remain? I agree we should just stop #Brexit",0
"Stupid #Tories killed manufactoring now going to kill #thecity.  #FoolBritania #brexit https://t.co/7kJv0A1Suz",0
"#Brexit disaster - uniquely dependent on foreign investment.  UK's $511bn  exports not far off Belgiumäó»s $472bn https://t.co/FYu3FZf1cS",0
"From the US: Hard to exaggerate the scale of the disaster of  #Brexit  to British business https://t.co/FYu3FZf1cS",0
"@f1lover75 might affect my status in this country when #brexit finally starts next year.",0
"#brexit , #Trump election are the #LitmusTest of #faileddemocracies where people are not given means to truly underäó_ https://t.co/pM9mSX7vgw",0
"#SNP The UK pays in to the #EU but Scotland gets the rebates so stop the back stabbing and acting like parasites, we voted and won #BREXIT",1
"#SNP When Scottish people voted to stay with the UK they knew we was having a #Brexit vote so shut up back stabbers, not impressed at all",1
"@LisaAppignanesi @BBCNewsnight Our version of democracy is trash. Obvious rcntly: Clegg/Cameron coalition; Cameron #EUre; #Mayfail #Brexit",0
"I bet the fox understands democracy mark and it's a shame you disrespect the will of the people when it comes to thäó_ https://t.co/ekEmhZx2kQ",1
"#Brexit #Farage has the last laugh on us all. ""My work is done  suckers - Long Live the Establishment"" https://t.co/Y7r7xyz7y7",1
"@DavidHeadViews What part of democracy are you having trouble understanding about our #Brexit vote or is it all too complicated for you",1
"Welcome to the Britain the Left have tried to destroy. #brexit https://t.co/2kOKvmzmrn",1
"Why is UK #inflation rising so quickly? Blame #Brexit and the oil price https://t.co/LVVtVOW2P8",0
"So the referendum was won by UKIP crooks, Brexit liars, the conniving press and Russia's KGB. Burning skulduggery. #brexit #Remain",0
"Russians definitely applying #PoliticalTechnology across theatres now. #Brexit vote was too big for them to have tiäó_ https://t.co/TpIwQqIDzQ",0
"Also, I'm eager to learn of #Brexit voters' views on quantitative easing. Should it be tapered now or in Q1 2017? Let's have a referendum!",0
"I wonder whether the tracksuit-wearing chavs who voted for #Brexit would like to enlighten us how to bring inflation down now. Hmm?",0
"HYPOCRITS. How Labour betrayed us, our democracy &amp; the people they CLAIM to represent. Sick of Remainers. #brexitäó_ https://t.co/S9os5G0BfU",1
"if you voted #brexit you have no right to complain about rising prices. take responsibility for your decisions. food petrol electrical..",0
"Customs Union is a misnomer. We should Leave it. #brexit #flexcit https://t.co/yh8KqNvXre https://t.co/UtmfysJG0K",1
"We may have voted for Brexit but those Frenchies are still coming to Crouch End. #brexit #crouchend https://t.co/cCl0p8SPhR",0
"@lilleypeter Peter Lilley (of dulwich Coll, oxbridge, French hol. home) determined to reck UK economy to satisfy his own RW ideology #brexit",0
"I have literally zero time for ridiculous conspiracy theories #Russia #Brexit #Trump",1
"President Obama likely influenced #brexit he spoke &amp; we all voted Leave ! Õæ_ÕŸÊ#POTUS2016 https://t.co/7NLTjy15NQ",1
"well, not until we've left the EU, he won't...because UK can't negotiate anything #brexit https://t.co/nmnPeZtmN3",0
"200,000 jobs. That's equivalent to a town the size of Southampton, all out of jobs. #Brexit",0
"So 200,000 jobs at risk from next year unless we confirm Single Market access post-#Brexit. A national emergency &amp; needs to be addressed now",0
"Anyone who tbinks labour care about working people are deluded. Tbey took us into EU Political Union &amp; broke refereäó_ https://t.co/ACAMd2Bpwf",0
"Crap. I just realised my mum is a Russian spy. She voted #BRExit. Anyone got the MI6 phone number so I can report her?",0
"@BenPBradshaw #brexit #hacking please explain how our manually counted paper voting system got hacked exactly?",1
"LOL Gov't witnesses: ""keeping an open mind about different approaches 2the problem &amp;were confident of a strong negoäó_ https://t.co/zHoxlN2m0d",1
"Ooh look, more evidence #Brexit a trading and red tape disaster. We could just hope it'll be ok. Or just #StopBrexit https://t.co/X0frgT8csA",0
"Urgent #Brexit deal needed to avert #banking job losses, warns @UKHouseofLords @lsebrexitvote #finance #forex https://t.co/a2Bx915AL1",0
"The EU is a hard negotiator - the Swiss cannot have their cake &amp; eat it
Next in line: #Brexit Britain https://t.co/40bdLWr9ly",0
"#GeorgeGalloway slams free movement and blasts 'liberals' for calling #Brexit vote 'RACIST' https://t.co/sNNx4Q1ytE https://t.co/Zt31HatvmI",1
"Someone has been stealing Eggs from our Chicken Coup, I bet it is them #Russians , no proof but it was them ! they are everywhere #BREXIT",0
"If some MPs blame #Russian #hackers for #Brexit vote, they overestimate Russian influence &amp; underestimate voter passion! #getreal",1
"If some MPs blame #Russian #hackers for #Brexit vote, they overestimate Russian influence &amp; underestimate voter passion! #getreal",1
"Sat with EU Diplomat on flight, had a heartfelt talk about #Brexit. Reinforced UK nationals do want collaboration, equality &amp; are open",0
"Wow! How thick are we becoming? #brexit https://t.co/0n45HnXWdg",0
"#Regrexit - Urgent #Brexit deal needed to avert banking job losses, peers to warn https://t.co/ogjQkk9Erd",0
"#Brexit this is so laughable #BenBradshaw claiming that Russia influenced the EU REF vote. What are these people onäó_ https://t.co/GFApqgD41S",1
"Warnings about Russian hacking of #EU referendum was ignored back in June before the vote #Brexit #EUref https://t.co/VQhGWKigHA",0
"Advice for directors of UK companies struggling due to the #Brexit referendum https://t.co/cdynVY23ub",0
"I really hope Putin makes these libtards in the US &amp; UK pay for thier stupid accusations with no substance #BrexitŒæ#TrumpŒæ#Russia",1
"'Highly probable' that Russia interfered in #Brexit referendum #leave #remain https://t.co/znp6AzUnBn",0
"Ouch 

Microsoft to increase 22% Azure costs due to Œ£ losses.
https://t.co/j2ZeTaVhWT #brexit #startups",0
"Watch: Economist says Britain will gain from leaving the #eu https://t.co/Nzyat4d75I #brexit",1
"@LBC Get rid of this weak man. He has no desire for #brexit",1
"Used to be #weather... now #Russia? 'Highly probable' that Russia interfered in #Brexit referendum, Labour MP says https://t.co/aqBCIjDpDp",1
"#GuardianLive debate illustrates mess the UK is in post #Brexit referendum. Desperate need for clear honest politicäó_ https://t.co/0CdmDwcEIJ",0
"@BenPBradshaw The Russians hacked our pencils at the polling station! You F**king !diot #Brexit",0
