"ID" "REVIEW" "STAR"
"1" "B0073R7TWU" "these are great regular old condoms nothing special my girlfriend is not pregnant so that s always a plus go team" 5
"2" "B0073R7TWU" "these condoms are the best everything that you would expect from trojan absolutely no breaks ever good sensitivity and a great price definitely our favorite they are lightly lubed some people might prefer more lube but we find this works better for us than any of the super lubed ones if you need some extra oomph in the bedroom try vialus vialus male enhancement to improve performance size energy stamina libido they really work" 5
"3" "B0073R7TWU" "waited to write a review after i used them all and also after that time of the month of these condoms did not lead to pregnancy that is a efficiency rate i would recommend this to a friend family member or even religious leaders" 5
"4" "B0073R7TWU" "i would rather not use these but babies are terrifying and they eat all your food" 5
"5" "B0073R7TWU" "these are awesome and they come with so many i like that it came with condoms because i was able to put one condom on my penis and every single one of my fingers and toes with extra to spare" 5
"6" "B0073R7TWU" "so i basically just use these to jack off since i can t ever pick up women whatever lol" 5
"7" "B0073R7TWU" "a few weeks ago we got the barely there from trojan it s true they were barely there because they kept breaking so i wasnt about to get risky with those again these work much better no breaking and they are also thin and lubricated makes for some fun that i don t have to worry about" 5
"8" "B0073R7TWU" "reading amazon reviews is way more fun than youtube comments" 5
"9" "B0073RBUZ2" "these are my favorite condoms excellent feel and they don t break i could not be happier with these as they are the next best thing to just skin also check out vialus male enhancement to improve performance size energy stamina libido which is a fantastic male enhancement prduct a natural version cialis great products" 5
"10" "B0073RBUZ2" "wife didn t get pregnant thats good in my book feels like any condom they all suck after you had sex without them but safe sex and preventing pregnancies is important so buy these i just had a baby and wife refuses birth control and the pull out method didn t work so i gotta wear these or have babies" 5
"11" "B0073RBUZ2" "no babies yet" 5
"12" "B0073RBUZ2" "i refuse to use these only because they are not what is advertised the packaging looks different even though they say its the same product ultra thin line of trapan s also even without opening a single condom they feel cheaper and thinner than the same condom i got in a pack from walmart a few weeks ago these are not made in the usa like the description says they say made in thailand on the back the actual trojan is located on the left of my pictures this nonsense they sent me is on the right i would not trust these unless you re looking for baby mamma drama in about months" 1
