"REVIEW" "Observed_Label"
"1" "i refuse to use these only because they are not what is advertised the packaging looks different even though they say its the same product ultra thin line of trapan s also even without opening a single condom they feel cheaper and thinner than the same condom i got in a pack from walmart a few weeks ago these are not made in the usa like the description says they say made in thailand on the back the actual trojan is located on the left of my pictures this nonsense they sent me is on the right i would not trust these unless you re looking for baby mamma drama in about months" "negative"
"2" "first of all these are not real us trojan condoms they are a knockoff made in thailand when my husband and i got married we bought the variety pack from amazon which has different kind of condoms in them he liked the ultra thin ones so i decided to buy the big pack instead of wasting my money at cvs where they are like each if you look at the photo where there s two condoms the packaging is completely different the one on the right side of the photo is the real trojan condom that came in the variety pack and the one on the left is the one made in thailand so not only is the packaging different but they feel completely different as well these thailand ones are so much thinner so out of break which i ve never had a real trojan condom break so just a warning to all these are fake unless you want a baby do not purchase these" "negative"
"3" "do not buy these are thai knock off condoms and not genuine trojans they are not made in the usa they are made in thailand in addition to that they are smaller than the average condom prone to breaking and the material is not the same quality as a real trojan they are clear as glass and feel stiff compared to a real trojan unless you want to uncomfortably conceive a baby during a one night stand just go to the pharmacy so you know what you re buying" "negative"
"4" "this product definitely does what it s supposed to do the real question is do you need it in my younger years i definitely had a problem with premature ejaculation sex was great for me but i doubt that my partners got the same amount of enjoyment out of their three minutes so i regularly used condoms like these only a different brand fortunately i m much older now and much more experienced with sex including how to control my body and not get too excited too fast unfortunately i didn t consider that before purchasing these to say that these condoms reduced sensitivity is a bit of an understatement in my case between the thickness of the condom itself and the benzocaine anesthetic i couldn t feel a thing i started to get a little bit worried about the condom working too well and worry is the last thing that you want in the bedroom anxiety plus delay lubricant put me on a one way ticket to flaccid town embarrassing to say the least but my girlfriend is awesome and we both had a laugh about it after i switched to a different condom and finished the job for guys who get a little too excited are inexperienced or are just very sensitive this is probably a great product but if you don t already have a problem with staying power i wouldn t recommend that you use these you might find out the hard way that you don t really need any extra help" "negative"
"5" "never had condoms break before i ve tried this one everything was done the same way the same procedure preparation and all as with other condoms but after i saw the big rip on its side i had pretty uneasy several weeks" "negative"
"6" "every condom in this box has a weird solid stuff inside it i have to remove that hard solid stuff to make sure i would not get hurt by this silly condom" "negative"
"7" "yes they are definitely extremely thin and they do indeed feel like bare skin but i ve never had an issue with a condom tearing until i got these i ve used two of them and both have torn at the tip and i almost didn t notice it in time because it already felt like i wasn t wearing anything i don t know if there was a quality control issue or what but i m not going to be using these ever again no unwanted babies for this guy i almost didn t write a review but i felt like i should warn everyone of the tearing issue" "negative"
"8" "i ve used different types of confoms and have never had a problem with one breaking until this type and it s not just a little split his penis breaks completely through so at least we knew we ve tried it different times and they were a brand new box would not recommend" "negative"
"9" "excellent in terms of higher degree of feeling however be careful had them break twice you can t make them thinner without sacrificing strength a serious concern if you re trying to avoid std or pregnancy" "negative"
"10" "i ve been buying trojan condoms for years and have always been satisfied but this are super bad i have had only condom tearing in the last years maybe but this i had tearing in the last month i still like trojan but this model is super bad dont risk it" "negative"
"11" "totally fine condom if your partner likes ribbed condoms this is one of the more intensely ribbed options the thicker ribs make the entire condom feel thicker though and when coupled with the very annoying lubricant gets everywhere and tastes absolutely terrible it results in a condom that is kinda meh but no breaks or children so it does its job" "negative"
"12" "this box is ok if you want to try lifestyles variety in non laytex i am allergic to laytex so these are great and actually feel better than regular laytext condoms however within this variety box me and my bf found that the extra lubricated inside and outside condom ones where just a pain in the ass no pun intended heheheh they just slip around and almost come right off if your not careful we felt we had to constantly check it to make sure it didn t come off and it was more of a mood killer the other condoms in the box are great and stay put" "negative"
"13" "great product except my vagina is very sensitive to the lubricant on the condoms which caused me to get a yeast infection so i have to use your non lubricant ones which are great" "negative"
"14" "much thinner then previous magnums it s annoying though that i can t seem to find the magnum xl anymore these ones fit very tight and left a deep purple ring on my penis and as in sure most of you reading this are aware these don t cover the entire length of the penis either if they made these a little longer wider i feel like they would be my go to condom hopefully they ll see enough of us complaining and make the magnum xl in a bare skin style" "negative"
