,ID,REVIEW,STAR
0,B0073R7TWU,"These are great. Regular old condoms, nothing special. My girlfriend is not pregnant, so that's always a plus. Go team!",5.0
1,B0073R7TWU,"These condoms are the best, everything that you would expect from Trojan. Absolutely no breaks, ever! Good sensitivity. And a great price. Definitely our favorite! They are lightly lubed--some people might prefer more lube, but we find this works better for us than any of the super lubed ones. If you need some extra oomph in the bedroom, try Vialus Vialus –Male Enhancement to Improve Performance, Size, Energy, Stamina, & Libido they really work!",5.0
2,B0073R7TWU,"waited to write a review after I used them all, and also after ""that time of the month."" 36/36 of these condoms did not lead to pregnancy. That is a 100% efficiency rate. I would recommend this to a friend, family member, or even religious leaders.",5.0
3,B0073R7TWU,I would rather not use these but babies are terrifying and they eat all your food.,5.0
4,B0073R7TWU,these are awesome and they come with so many. I like that it came with 36 condoms because I was able to put one condom on my penis and every single one of my fingers and toes with extra to spare,5.0
5,B0073R7TWU,So I basically just use these to jack off since I can't ever pick up women. Whatever lol,5.0
6,B0073R7TWU,"A few weeks ago we got the ""barely there"" from trojan...it's true, they were barely there...because they kept breaking! So I wasnt about to get risky with those again. These work much better, no breaking! And they are also thin and lubricated. Makes for some fun that I don't have to worry about! :)",5.0
7,B0073R7TWU,Reading Amazon reviews is way more fun than Youtube comments.,5.0
8,B0073RBUZ2,"These are my favorite condoms. Excellent feel and they don't break. I could not be happier with these as they are the next best thing to just skin! Also check out Vialus –Male Enhancement to Improve Performance, Size, Energy, Stamina, & Libido which is a fantastic “male enhancement” prduct, a natural version Cialis. Great products.",5.0
9,B0073RBUZ2,"Wife didn't get pregnant....thats good in my book. Feels like any condom, they all suck after you had sex without them. But safe sex and preventing pregnancies is important so buy these. I just had a baby and wife refuses birth control and the pull out method didn't work so, I gotta wear these or have 10 babies",5.0
10,B0073RBUZ2,no babies yet.,5.0
11,B0073RBUZ2,"I refuse to use these only because they are not what is advertised.  The packaging looks different even though they say its the same product (ultra thin line of trapan's).  also, even without opening a single condom they feel cheaper and thinner than the same condom I got in a 3 pack from walmart a few weeks ago.  These are not made in the USA like the description says, they say made in Thailand on the back. The actual trojan is located on the left of my pictures, this nonsense they sent me is on the right.  I would not trust these, unless you're looking for baby mamma drama in about 9 months....",1.0
12,B0073RBUZ2,"First of all, these are not real US Trojan condoms. They are a knockoff, made in Thailand. When my husband and I got married we bought the variety pack from Amazon, which has 5 different kind of condoms in them. He liked the ultra thin ones so I decided to buy the big pack instead of wasting my money at cvs where they are like $3-5 each. If you look at the photo where there's two condoms, the packaging is completely different. The one on the right side of the photo is the real, Trojan condom that came in the variety pack and the one on the left is the one made in Thailand. So, not only is the packaging different, but they feel completely different as well. These Thailand ones are SO MUCH thinner, so 9 out of 10 break. Which, I've never had a real Trojan condom break. So, just a warning to all. THESE ARE FAKE. Unless you want a baby, do not purchase these.",1.0
13,B0073RBUZ2,"Excellent product. After 3 weeks of using them my husband and I have never had one break, but like any condom sometimes a little extra lube is necessary. Overall when you have to use protection I'd never buy a different condom.",5.0
14,B0073RBUZ2,"If you have to have them (and you know that you do, just do it!), go with the pros in the business. I haven't experimented with a lot of different brands or variations, but I'm as happy as I can be wearing these ultra thins. They are still the thinnest I've tried from Trojan and meet all expectations.",5.0
15,B0073RBUZ2,"DO NOT BUY.These are Thai knock-off condoms and not genuine Trojans. They are NOT made in the USA, they are made in Thailand. In addition to that, they are smaller than the average condom, prone to breaking, and the material is not the same quality as a real Trojan. They are clear as glass and feel 'stiff' compared to a real Trojan.Unless you want to uncomfortably conceive a baby during a one night stand, just go to the pharmacy so you know what you're buying.",1.0
