DATE,USSLIND
1982-01-01,-0.61
1982-02-01,-0.37
1982-03-01,-0.34
1982-04-01,-0.13
1982-05-01,-0.27
1982-06-01,-0.60
1982-07-01,-0.85
1982-08-01,-0.44
1982-09-01,-0.02
1982-10-01,0.67
1982-11-01,1.15
1982-12-01,1.82
1983-01-01,1.93
1983-02-01,2.33
1983-03-01,2.68
1983-04-01,2.92
1983-05-01,3.01
1983-06-01,3.14
1983-07-01,3.28
1983-08-01,3.52
1983-09-01,3.19
1983-10-01,2.83
1983-11-01,2.82
1983-12-01,3.14
1984-01-01,2.95
1984-02-01,2.69
1984-03-01,2.61
1984-04-01,2.51
1984-05-01,2.38
1984-06-01,2.30
1984-07-01,1.99
1984-08-01,2.03
1984-09-01,2.02
1984-10-01,2.02
1984-11-01,1.95
1984-12-01,1.71
1985-01-01,1.71
1985-02-01,1.66
1985-03-01,1.76
1985-04-01,1.85
1985-05-01,1.81
1985-06-01,1.81
1985-07-01,2.08
1985-08-01,2.04
1985-09-01,1.99
1985-10-01,2.02
1985-11-01,1.92
1985-12-01,1.60
1986-01-01,1.45
1986-02-01,1.42
1986-03-01,1.48
1986-04-01,1.45
1986-05-01,1.49
1986-06-01,1.59
1986-07-01,1.65
1986-08-01,1.61
1986-09-01,1.81
1986-10-01,1.94
1986-11-01,1.87
1986-12-01,2.06
1987-01-01,2.05
1987-02-01,2.23
1987-03-01,1.96
1987-04-01,2.01
1987-05-01,1.91
1987-06-01,2.13
1987-07-01,2.08
1987-08-01,2.03
1987-09-01,2.11
1987-10-01,1.97
1987-11-01,2.03
1987-12-01,1.96
1988-01-01,2.11
1988-02-01,2.09
1988-03-01,2.03
1988-04-01,1.71
1988-05-01,1.85
1988-06-01,1.64
1988-07-01,1.87
1988-08-01,2.24
1988-09-01,2.19
1988-10-01,1.96
1988-11-01,1.97
1988-12-01,1.83
1989-01-01,1.61
1989-02-01,1.52
1989-03-01,1.50
1989-04-01,1.31
1989-05-01,1.17
1989-06-01,1.23
1989-07-01,1.26
1989-08-01,1.26
1989-09-01,1.09
1989-10-01,1.11
1989-11-01,1.05
1989-12-01,1.38
1990-01-01,1.39
1990-02-01,1.11
1990-03-01,0.84
1990-04-01,0.86
1990-05-01,0.70
1990-06-01,0.28
1990-07-01,0.03
1990-08-01,-0.10
1990-09-01,-0.34
1990-10-01,-0.33
1990-11-01,-0.20
1990-12-01,-0.57
1991-01-01,-0.58
1991-02-01,-0.14
1991-03-01,0.49
1991-04-01,0.51
1991-05-01,1.02
1991-06-01,0.89
1991-07-01,1.03
1991-08-01,0.86
1991-09-01,0.76
1991-10-01,0.83
1991-11-01,0.92
1991-12-01,0.91
1992-01-01,1.24
1992-02-01,1.24
1992-03-01,1.33
1992-04-01,1.33
1992-05-01,1.15
1992-06-01,1.36
1992-07-01,1.38
1992-08-01,1.53
1992-09-01,1.69
1992-10-01,1.91
1992-11-01,1.92
1992-12-01,2.06
1993-01-01,1.59
1993-02-01,1.62
1993-03-01,1.66
1993-04-01,1.88
1993-05-01,1.73
1993-06-01,1.78
1993-07-01,1.64
1993-08-01,1.86
1993-09-01,2.43
1993-10-01,2.22
1993-11-01,2.38
1993-12-01,2.45
1994-01-01,2.31
1994-02-01,2.46
1994-03-01,2.41
1994-04-01,2.37
1994-05-01,2.26
1994-06-01,2.26
1994-07-01,2.12
1994-08-01,2.29
1994-09-01,2.26
1994-10-01,2.15
1994-11-01,1.89
1994-12-01,1.61
1995-01-01,1.43
1995-02-01,0.99
1995-03-01,1.06
1995-04-01,1.00
1995-05-01,1.32
1995-06-01,1.24
1995-07-01,1.51
1995-08-01,1.38
1995-09-01,1.31
1995-10-01,1.05
1995-11-01,0.92
1995-12-01,1.46
1996-01-01,1.63
1996-02-01,1.83
1996-03-01,2.11
1996-04-01,2.10
1996-05-01,1.87
1996-06-01,1.59
1996-07-01,1.73
1996-08-01,1.56
1996-09-01,1.69
1996-10-01,1.89
1996-11-01,2.01
1996-12-01,1.86
1997-01-01,2.11
1997-02-01,2.14
1997-03-01,1.78
1997-04-01,1.66
1997-05-01,1.72
1997-06-01,1.99
1997-07-01,2.12
1997-08-01,2.19
1997-09-01,2.19
1997-10-01,2.28
1997-11-01,1.85
1997-12-01,1.62
1998-01-01,1.55
1998-02-01,1.68
1998-03-01,1.68
1998-04-01,1.67
1998-05-01,1.35
1998-06-01,1.55
1998-07-01,1.67
1998-08-01,1.66
1998-09-01,1.60
1998-10-01,1.64
1998-11-01,1.72
1998-12-01,1.64
1999-01-01,1.74
1999-02-01,1.84
1999-03-01,1.89
1999-04-01,1.61
1999-05-01,1.76
1999-06-01,1.73
1999-07-01,1.67
1999-08-01,1.54
1999-09-01,1.62
1999-10-01,1.70
1999-11-01,1.94
1999-12-01,2.21
2000-01-01,1.63
2000-02-01,1.54
2000-03-01,1.57
2000-04-01,1.45
2000-05-01,1.38
2000-06-01,1.16
2000-07-01,0.80
2000-08-01,1.05
2000-09-01,0.74
2000-10-01,0.38
2000-11-01,0.09
2000-12-01,-0.20
2001-01-01,0.23
2001-02-01,0.13
2001-03-01,0.12
2001-04-01,0.00
2001-05-01,-0.06
2001-06-01,0.00
2001-07-01,-0.22
2001-08-01,-0.42
2001-09-01,-0.23
2001-10-01,0.05
2001-11-01,0.23
2001-12-01,0.13
2002-01-01,0.59
2002-02-01,0.69
2002-03-01,0.99
2002-04-01,1.00
2002-05-01,0.84
2002-06-01,0.46
2002-07-01,0.79
2002-08-01,0.75
2002-09-01,0.70
2002-10-01,0.60
2002-11-01,0.44
2002-12-01,0.20
2003-01-01,0.41
2003-02-01,0.41
2003-03-01,0.38
2003-04-01,0.75
2003-05-01,0.75
2003-06-01,0.76
2003-07-01,1.03
2003-08-01,1.68
2003-09-01,1.57
2003-10-01,1.59
2003-11-01,1.77
2003-12-01,1.99
2004-01-01,1.62
2004-02-01,1.43
2004-03-01,1.53
2004-04-01,1.42
2004-05-01,1.35
2004-06-01,1.33
2004-07-01,1.35
2004-08-01,1.07
2004-09-01,1.23
2004-10-01,1.40
2004-11-01,1.49
2004-12-01,1.31
2005-01-01,1.34
2005-02-01,1.12
2005-03-01,1.25
2005-04-01,0.99
2005-05-01,1.12
2005-06-01,1.51
2005-07-01,1.83
2005-08-01,1.84
2005-09-01,1.63
2005-10-01,1.59
2005-11-01,1.55
2005-12-01,1.65
2006-01-01,1.47
2006-02-01,1.61
2006-03-01,1.50
2006-04-01,1.36
2006-05-01,1.16
2006-06-01,1.13
2006-07-01,1.06
2006-08-01,0.88
2006-09-01,0.94
2006-10-01,0.98
2006-11-01,1.23
2006-12-01,0.89
2007-01-01,1.18
2007-02-01,1.03
2007-03-01,1.06
2007-04-01,0.98
2007-05-01,1.06
2007-06-01,0.87
2007-07-01,0.84
2007-08-01,0.67
2007-09-01,0.30
2007-10-01,0.50
2007-11-01,0.34
2007-12-01,0.43
2008-01-01,0.31
2008-02-01,0.29
2008-03-01,-0.06
2008-04-01,-0.32
2008-05-01,-0.30
2008-06-01,-0.63
2008-07-01,-1.07
2008-08-01,-1.46
2008-09-01,-1.85
2008-10-01,-2.50
2008-11-01,-2.67
2008-12-01,-2.55
2009-01-01,-2.71
2009-02-01,-2.42
2009-03-01,-1.85
2009-04-01,-1.45
2009-05-01,-0.98
2009-06-01,-0.67
2009-07-01,-0.09
2009-08-01,0.27
2009-09-01,0.66
2009-10-01,0.99
2009-11-01,1.08
2009-12-01,1.29
2010-01-01,1.30
2010-02-01,1.58
2010-03-01,1.50
2010-04-01,1.14
2010-05-01,1.17
2010-06-01,1.01
2010-07-01,1.06
2010-08-01,1.10
2010-09-01,1.42
2010-10-01,1.25
2010-11-01,1.23
2010-12-01,1.43
2011-01-01,1.46
2011-02-01,1.44
2011-03-01,1.39
2011-04-01,1.34
2011-05-01,1.20
2011-06-01,1.48
2011-07-01,1.49
2011-08-01,1.63
2011-09-01,1.58
2011-10-01,1.76
2011-11-01,1.92
2011-12-01,1.82
2012-01-01,1.55
2012-02-01,1.56
2012-03-01,1.56
2012-04-01,1.39
2012-05-01,1.44
2012-06-01,1.30
2012-07-01,1.21
2012-08-01,1.22
2012-09-01,1.25
2012-10-01,1.60
2012-11-01,1.74
2012-12-01,1.62
2013-01-01,1.77
2013-02-01,1.69
2013-03-01,1.47
2013-04-01,1.61
2013-05-01,1.72
2013-06-01,1.70
2013-07-01,1.66
2013-08-01,1.41
2013-09-01,1.44
2013-10-01,1.46
2013-11-01,1.40
2013-12-01,1.59
2014-01-01,1.97
2014-02-01,1.89
2014-03-01,1.75
2014-04-01,2.04
2014-05-01,1.88
2014-06-01,1.82
2014-07-01,1.86
2014-08-01,2.08
2014-09-01,1.98
2014-10-01,1.93
2014-11-01,1.66
2014-12-01,1.65
2015-01-01,1.39
2015-02-01,1.46
2015-03-01,1.43
2015-04-01,1.42
2015-05-01,1.51
2015-06-01,1.64
2015-07-01,1.73
2015-08-01,1.54
2015-09-01,1.61
2015-10-01,1.51
2015-11-01,1.54
2015-12-01,1.46
2016-01-01,1.49
2016-02-01,1.52
2016-03-01,1.44
2016-04-01,1.34
2016-05-01,1.35
2016-06-01,1.43
2016-07-01,1.11
2016-08-01,1.13
2016-09-01,1.15
