"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-01-01,"52","31","42","M","36","40","23"," 0","-","-","RA FZFG BR","M","0.05","29.78","29.92"," 3.6","20","4.6"
2,2012-01-01,"48","33","41","16","37","39","24"," 0","0716","1626","RA","0.0","0.07","28.82","29.91"," 9.1","23","11.3"
3,2012-01-01,"55","34","45"," 9","24","36","20"," 0","0735","1720"," ","0.0","0.00","29.77","30.47"," 9.9","31","10.0"
4,2012-01-01,"63","47","55"," 4","28","43","10"," 0","0728","1742"," ","0.0","0.00","29.79","30.48"," 8.0","35","8.2"
6,2012-01-01,"63","34","49"," 0","31","43","16"," 0","0727","1742"," ","0.0","0.00","29.95","30.47","14.0","36","13.8"
7,2012-01-01,"50","33","42","M","26","35","23"," 0","-","-"," ","0.0","0.00","29.15","30.54","10.3","32","10.2"
8,2012-01-01,"66","45","M","M","34","46","M","M","-","-","RA BR","M","0.00","30.05","M","11.0","36","10.9"
9,2012-01-01,"34","19","27","M","17","23","38"," 0","-","-","UP","M","  T","29.34","30.09","22.8","30","22.5"
10,2012-01-01,"73","53","63","M","55","58","2"," 0","0723","1738","FG+ FG BR","M","0.00","30.16","30.19"," 5.1","24","5.5"
11,2012-01-01,"72","48","60"," 7","54","56","5"," 0","0724","1737","FG+ FG BR","0.0","0.00","30.15","30.18"," 4.6","23","4.8"
12,2012-01-01,"72","48","60","M","54","57","5"," 0","-","-","FG+ FG BR","0.0","0.00","30.15","30.19"," 4.4","25","4.8"
13,2012-01-01,"38","18","28","M","12","21","37"," 0","-","-"," ","M","0.00","24.60","30.59"," 2.5","16","6.1"
14,2012-01-01,"50","34","42"," 5","25","35","23"," 0","0739","1729"," ","0.0","0.00","29.13","30.52","11.4","32","11.3"
15,2012-01-01,"48","26","37","16","35","38","28"," 0","0718","1621","RA FG+ FZFG BR","0.0","0.09","29.53","29.89"," 2.5","17","3.8"
16,2012-01-01,"50","30","40","M","37","40","25"," 0","-","-","RA MIFG BR","M","  T","29.80","29.89"," 4.2","21","6.8"
17,2012-01-01,"56","38","47","M","23","37","18"," 0","-","-"," ","0.0","0.00","29.83","30.50"," 5.4","32","5.8"
18,2012-01-01,"59","40","50"," 4","28","40","15"," 0","0730","1732"," ","0.0","0.00","29.98","30.49"," 9.0","33","8.9"
19,2012-01-01,"38","25","32","10","26","30","33"," 0","0723","1628","RA SN BR","0.5","0.12","29.06","29.79","14.6","29","15.6"
20,2012-01-01,"59","41","50","M","28","40","15"," 0","-","-"," ","0.0","0.00","29.78","30.48","10.9","33","10.8"
1,2012-01-02,"50","31","41","M","26","35","24"," 0","-","-"," ","M","0.01","29.44","29.62"," 9.8","24","10.3"
2,2012-01-02,"46","28","37","12","24","32","28"," 0","0716","1627"," ","  T","0.01","28.51","29.62","12.7","26","13.3"
3,2012-01-02,"45","24","35","-1","11","28","30"," 0","0735","1721"," ","0.0","0.00","29.89","30.63"," 7.7","32","8.2"
4,2012-01-02,"60","37","49","-2","26","39","16"," 0","0728","1742"," ","0.0","0.00","29.93","30.64"," 3.7","36","4.8"
6,2012-01-02,"60","30","45","-4","27","38","20"," 0","0727","1742"," ","0.0","0.00","30.09","30.63"," 9.0","01","9.3"
7,2012-01-02,"44","26","35","M","17","29","30"," 0","-","-"," ","0.0","0.00","29.23","30.66"," 5.7","34","6.9"
8,2012-01-02,"59","36","M","M","29","40","M","M","-","-"," ","M","0.00","30.25","M"," 6.2","36","6.7"
9,2012-01-02,"21","11","16","M","8","15","49"," 0","-","-","SN UP","M","  T","29.67","30.44","14.4","32","14.7"
10,2012-01-02,"65","45","55","M","33","46","10"," 0","0723","1738"," ","M","0.00","30.11","30.14","10.2","30","11.2"
11,2012-01-02,"63","40","52","-1","31","44","13"," 0","0724","1738"," ","0.0","0.00","30.10","30.14","10.2","29","11.1"
12,2012-01-02,"65","47","56","M","33","46","9"," 0","-","-"," ","0.0","0.00","30.09","30.14","11.7","30","12.7"
13,2012-01-02,"50","16","33","M","17","28","32"," 0","-","-"," ","M","0.00","24.55","30.54"," 6.1","16","6.8"
14,2012-01-02,"45","26","36","-1","16","29","29"," 0","0739","1729"," ","0.0","0.00","29.21","30.65"," 6.3","35","7.4"
15,2012-01-02,"43","29","36","15","24","32","29"," 0","0718","1622","BR","0.0","0.02","29.20","29.58"," 7.1","24","8.1"
16,2012-01-02,"50","30","40","M","26","35","25"," 0","-","-","RA","M","0.01","29.48","29.59"," 9.6","27","10.9"
17,2012-01-02,"45","22","34","M","10","28","31"," 0","-","-"," ","0.0","0.00","29.96","30.66"," 3.7","33","4.8"
18,2012-01-02,"53","35","44","-2","23","36","21"," 0","0730","1733"," ","0.0","0.00","30.11","30.63"," 6.7","35","6.9"
19,2012-01-02,"25","15","20","-2","9","17","45"," 0","0723","1629","SN","  T","  T","29.47","30.20","17.8","31","18.1"
20,2012-01-02,"53","33","43","M","21","35","22"," 0","-","-"," ","0.0","0.00","29.90","30.62"," 7.9","34","8.6"
1,2012-01-03,"32","11","22","M","4","18","43"," 0","-","-"," ","M","0.00","29.67","29.87","10.8","31","11.6"
2,2012-01-03,"28","9","19","-6","4","16","46"," 0","0716","1628"," ","0.0","0.00","28.69","29.85","12.3","31","12.8"
3,2012-01-03,"55","21","38"," 2","19","32","27"," 0","0735","1721"," ","0.0","0.00","29.55","30.34","11.6","17","11.8"
4,2012-01-03,"62","31","47","-4","26","39","18"," 0","0728","1743"," ","0.0","0.00","29.70","30.48"," 3.1","17","4.2"
6,2012-01-03,"62","25","44","-5","26","37","21"," 0","0727","1743"," ","0.0","0.00","29.88","30.48"," 5.4","18","5.8"
7,2012-01-03,"60","27","44","M","22","35","21"," 0","-","-"," ","0.0","0.00","28.84","30.30","15.7","19","15.9"
8,2012-01-03,"61","30","M","M","28","38","M","M","-","-"," ","M","0.00","30.12","M"," 3.9","16","3.9"
9,2012-01-03,"28","10","19","M","11","18","46"," 0","-","-"," ","M","0.00","29.26","30.12"," 8.9","16","9.2"
10,2012-01-03,"48","34","41","M","11","31","24"," 0","0723","1739"," ","M","0.00","30.27","30.33","11.8","31","12.1"
11,2012-01-03,"44","25","35","-18","12","28","30"," 0","0724","1738"," ","0.0","0.00","30.26","30.33"," 9.3","31","9.7"
12,2012-01-03,"47","34","41","M","12","30","24"," 0","-","-"," ","0.0","0.00","30.25","30.33","12.9","32","13.2"
13,2012-01-03,"55","31","43","M","16","33","22"," 0","-","-"," ","M","0.00","24.40","30.23"," 2.9","21","6.3"
14,2012-01-03,"60","24","42"," 5","23","33","23"," 0","0740","1730"," ","0.0","0.00","28.84","30.30","12.4","18","12.7"
15,2012-01-03,"30","5","18","-3","2","14","47"," 0","0718","1623"," ","0.0","0.00","29.44","29.87","13.1","31","13.7"
16,2012-01-03,"32","11","22","M","6","18","43"," 0","-","-"," ","M","0.00","29.70","29.84","10.2","31","10.9"
17,2012-01-03,"55","19","37","M","18","31","28"," 0","-","-"," ","0.0","0.00","29.61","30.36"," 6.9","18","7.0"
18,2012-01-03,"59","30","45"," 0","25","37","20"," 0","0730","1734"," ","0.0","0.00","29.84","30.41"," 8.8","17","9.1"
19,2012-01-03,"26","10","18","-3","5","15","47"," 0","0723","1630"," ","0.0","0.00","29.43","30.26"," 5.5","23","9.2"
20,2012-01-03,"59","30","45","M","23","37","20"," 0","-","-"," ","0.0","0.00","29.63","30.41"," 7.9","17","8.5"
1,2012-01-04,"28","9","19","M","-1","14","46"," 0","-","-"," ","M","0.00","29.86","30.03"," 6.3","27","8.3"
2,2012-01-04,"21","5","13","-11","0","11","52"," 0","0716","1629"," ","0.0","0.00","28.87","30.01","10.1","27","11.7"
3,2012-01-04,"63","31","47","11","26","37","18"," 0","0735","1722"," ","0.0","0.00","29.53","30.27"," 2.5","31","4.9"
4,2012-01-04,"73","41","57"," 6","39","47","8"," 0","0728","1744"," ","0.0","0.00","29.55","30.28"," 1.3","35","2.2"
6,2012-01-04,"71","31","51"," 2","41","45","14"," 0","0728","1744","BR","0.0","0.00","29.72","30.28"," 0.8","22","4.7"
7,2012-01-04,"58","32","45","M","28","37","20"," 0","-","-"," ","0.0","0.00","28.90","30.31"," 5.0","33","7.4"
8,2012-01-04,"72","37","M","M","45","49","M","M","-","-"," ","M","0.00","29.90","M"," 1.4","24","2.6"
9,2012-01-04,"39","20","30","M","22","26","35"," 0","-","-","BR","M","0.00","29.26","30.06"," 2.8","28","5.2"
10,2012-01-04,"53","32","43","M","16","33","22"," 0","0724","1740"," ","M","0.00","30.35","30.38"," 3.0","29","5.8"
11,2012-01-04,"54","22","38","-15","15","29","27"," 0","0724","1739"," ","0.0","0.00","30.34","30.37"," 2.3","27","3.1"
12,2012-01-04,"53","31","42","M","17","32","23"," 0","-","-"," ","0.0","0.00","30.34","30.38"," 2.7","32","4.2"
13,2012-01-04,"58","27","43","M","16","32","22"," 0","-","-"," ","M","0.00","24.49","30.36"," 5.5","19","6.1"
14,2012-01-04,"58","32","45"," 9","27","37","20"," 0","0740","1731"," ","0.0","0.00","28.89","30.29"," 6.1","34","7.6"
15,2012-01-04,"23","3","13","-8","-1","11","52"," 0","0718","1624"," ","0.0","0.00","29.63","30.02"," 5.1","30","6.4"
16,2012-01-04,"27","8","18","M","-1","14","47"," 0","-","-"," ","M","0.00","29.90","30.00"," 7.9","28","9.9"
17,2012-01-04,"63","28","46","M","25","36","19"," 0","-","-","RA","0.0","  T","29.59","30.29"," 2.1","36","3.3"
18,2012-01-04,"62","37","50"," 5","33","41","15"," 0","0730","1734"," ","0.0","0.00","29.75","30.28"," 0.8","15","5.5"
19,2012-01-04,"34","24","29"," 8","17","25","36"," 0","0723","1631"," ","0.0","0.00","29.21","30.00"," 7.9","27","9.7"
20,2012-01-04,"62","38","50","M","32","41","15"," 0","-","-"," ","0.0","0.00","29.54","30.27"," 1.1","32","4.9"
1,2012-01-05,"38","25","32","M","13","25","33"," 0","-","-"," ","M","0.00","29.67","29.84"," 6.9","25","7.8"
2,2012-01-05,"31","20","26"," 2","12","21","39"," 0","0716","1630"," ","0.0","0.00","28.70","29.84","10.9","26","11.3"
3,2012-01-05,"68","31","50","14","28","41","15"," 0","0735","1723"," ","0.0","0.00","29.35","30.11"," 7.3","19","7.6"
4,2012-01-05,"70","44","57"," 6","41","49","8"," 0","0728","1745"," ","0.0","0.00","29.51","30.24"," 0.4","31","1.8"
6,2012-01-05,"71","38","55"," 6","43","50","10"," 0","0728","1745"," ","0.0","0.00","29.68","30.24"," 0.3","25","2.3"
7,2012-01-05,"66","28","47","M","29","40","18"," 0","-","-"," ","0.0","0.00","28.71","30.13","12.2","20","12.4"
8,2012-01-05,"70","46","M","M","46","52","M","M","-","-"," ","M","0.00","29.87","M"," 0.9","33","1.0"
9,2012-01-05,"46","21","34","M","28","32","31"," 0","-","-","BR","0.0","0.00","28.95","29.73"," 0.9","17","2.1"
10,2012-01-05,"68","36","52","M","37","45","13"," 0","0724","1740"," ","M","0.00","30.20","30.21"," 8.0","27","8.3"
