StoreId,Name,PhoneNumber,Longitude,Latitude,Address,Amenities,AmenitiesCarto,StoreNameUrl,Url,CL,WA,WF,CD,DR,LB,GO,FZ,XO,LU,RW,PS,CS,MX,VS,NB,SQ,EM,BA,WT,hrs24,DT,AmeOther
11040,Church Street &amp; Murray,212-513-1451,-74.009126,40.71378,"""120 Church Street"",""New York, NY 10007""","{u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/11040/church-street-murray-120-church-street-new-york-ny-100072402-us"">Church Street &amp; Murray</a>",https://www.starbucks.com/store-locator/store/11040/church-street-murray-120-church-street-new-york-ny-100072402-us,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
8692,Chambers and West Broadway,212-791-6368,-74.009036,40.715536,"""125 Chambers Street"",""New York, NY 10007""","{u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/8692/chambers-and-west-broadway-125-chambers-street-new-york-ny-100071331-us"">Chambers and West Broadway</a>",https://www.starbucks.com/store-locator/store/8692/chambers-and-west-broadway-125-chambers-street-new-york-ny-100071331-us,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
13537,Broadway at Barclay Str,212-619-1529,-74.008192,40.712208,"""233 Broadway"",""New York, NY 10279""","{u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/13537/broadway-at-barclay-str-233-broadway-new-york-ny-102790001-us"">Broadway at Barclay Str</a>",https://www.starbucks.com/store-locator/store/13537/broadway-at-barclay-str-233-broadway-new-york-ny-102790001-us,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
16209,195 Broadway,212 3851104,-74.010283,40.710924,"""195 Broadway"",""New York, NY 10007""","{u'WF': u'Wireless Hotspot', u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'LU': u'Lunch', u'CD': u'Mobile Payment', u'VS': u'Verismo', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>Wireless Hotspot<li>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Lunch<li>Mobile Payment<li>Verismo<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/16209/195-broadway-195-broadway-new-york-ny-100073100-us"">195 Broadway</a>",https://www.starbucks.com/store-locator/store/16209/195-broadway-195-broadway-new-york-ny-100073100-us,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,
18526,Broadway &amp; Reade,212 406 5310,-74.005933,40.714855,"""291 Broadway"",""New York, NY 10007""","{u'WF': u'Wireless Hotspot', u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>Wireless Hotspot<li>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/18526/broadway-reade-291-broadway-new-york-ny-100071814-us"">Broadway &amp; Reade</a>",https://www.starbucks.com/store-locator/store/18526/broadway-reade-291-broadway-new-york-ny-100071814-us,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
1014357,222 Broadway,6466476873,-74.008646,40.710798,"""222 Broadway"",""New York, NY 10007""","{u'PS': u'Playbook Store System', u'RW': u'My Starbucks Rewards', u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>Playbook Store System<li>My Starbucks Rewards<li>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Lunch<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/1014357/222-broadway-222-broadway-new-york-ny-10007-us"">222 Broadway</a>",https://www.starbucks.com/store-locator/store/1014357/222-broadway-222-broadway-new-york-ny-10007-us,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,
1015738,Brookfield Place 2,6466185392,-74.015437,40.71417,"""250 Vesey Street"",""203"",""New York, NY 10281""","{u'WF': u'Wireless Hotspot', u'RW': u'My Starbucks Rewards', u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CL': u'Starbucks Reserve-Clover Brewed', u'PS': u'Playbook Store System', u'FZ': u'Fizzio Handcrafted Sodas', u'CD': u'Mobile Payment', u'CS': u'tbd - Coffee Scale', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards'}",<ul>Wireless Hotspot<li>My Starbucks Rewards<li>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Starbucks Reserve-Clover Brewed<li>Playbook Store System<li>Fizzio Handcrafted Sodas<li>Mobile Payment<li>tbd - Coffee Scale<li>Lunch<li>Google Wi-Fi<li>Digital Rewards</ul>,"<a href=""https://www.starbucks.com/store-locator/store/1015738/brookfield-place-2-250-vesey-street-new-york-ny-10281-us"">Brookfield Place 2</a>",https://www.starbucks.com/store-locator/store/1015738/brookfield-place-2-250-vesey-street-new-york-ny-10281-us,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
12020,Park Row at Beekman St,212-608-8073,-74.006667,40.711644,"""38 Park Row"",""#4"",""New York, NY 10038""","{u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/12020/park-row-at-beekman-st-38-park-row-new-york-ny-100381551-us"">Park Row at Beekman St</a>",https://www.starbucks.com/store-locator/store/12020/park-row-at-beekman-st-38-park-row-new-york-ny-100381551-us,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
10655,Nassau &amp; Fulton,212-962-0439,-74.007931,40.710171,"""130 Fulton Street"",""New York, NY 10038""","{u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'LU': u'Lunch', u'CD': u'Mobile Payment', u'VS': u'Verismo', u'GO': u'Google Wi-Fi', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Lunch<li>Mobile Payment<li>Verismo<li>Google Wi-Fi<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/10655/nassau-fulton-130-fulton-street-new-york-ny-100382504-us"">Nassau &amp; Fulton</a>",https://www.starbucks.com/store-locator/store/10655/nassau-fulton-130-fulton-street-new-york-ny-100382504-us,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,
14988,165 Broadway - 1 Liberty,212 6086481,-74.010424,40.709527,"""165 Broadway"",""New York, NY 10006""","{u'WF': u'Wireless Hotspot', u'LB': u'LaBoulange', u'XO': u'Mobile Order and Pay', u'WA': u'Oven-warmed Food', u'CD': u'Mobile Payment', u'LU': u'Lunch', u'DR': u'Digital Rewards', u'MX': u'Music Experience'}",<ul>Wireless Hotspot<li>LaBoulange<li>Mobile Order and Pay<li>Oven-warmed Food<li>Mobile Payment<li>Lunch<li>Digital Rewards<li>Music Experience</ul>,"<a href=""https://www.starbucks.com/store-locator/store/14988/165-broadway-1-liberty-165-broadway-liberty-plaza-new-york-ny-100061404-u"">165 Broadway - 1 Liberty</a>",https://www.starbucks.com/store-locator/store/14988/165-broadway-1-liberty-165-broadway-liberty-plaza-new-york-ny-100061404-u,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
