,Estimate,StdError,z_value,Pr(>|z|),
(Intercept),-2.856242,0.329042,-8.68,<2e-16,***
citychicago,-0.043169,0.033967,-1.271,0.203809,
cityla,0.061897,0.042524,1.456,0.145562,
citynyc,0.166924,0.02487,6.712,2.08E-11,***
cityphiladelphia,0.018239,0.031218,0.584,0.559081,
citysf,-0.047399,0.027739,-1.709,0.087544,.
citywashington,0.102401,0.033002,3.103,0.001925,**
categoryamerican_(traditional),-0.226379,0.036237,-6.247,4.44E-10,***
categoryasian_fusion,0.155454,0.084581,1.838,0.066119,.
categorybakeries,-0.53602,0.080458,-6.662,2.92E-11,***
categorybarbeque,0.122788,0.095623,1.284,0.199156,
categorybars,-0.210265,0.041823,-5.028,5.10E-07,***
categorychinese,-0.266647,0.040417,-6.597,4.52E-11,***
categorycoffee_&_tea,-0.573856,0.054413,-10.546,<2e-16,***
categorydiners,-0.290413,0.061352,-4.734,2.25E-06,***
categoryethiopian,-0.143439,0.122629,-1.17,0.242165,
categoryfast_food,-0.549233,0.047937,-11.457,<2e-16,***
categoryfrench,0.331963,0.046377,7.158,9.10E-13,***
categorygreek,-0.287144,0.134892,-2.129,0.033317,*
categoryindian,-0.319241,0.049826,-6.407,1.59E-10,***
categoryitalian,0.003328,0.034616,0.096,0.923404,
categorykorean,-0.070347,0.081356,-0.865,0.387249,
categorylatin_american,-0.332607,0.050576,-6.576,5.20E-11,***
categorymediterranean,-0.333472,0.075645,-4.408,1.06E-05,***
categorymexican,-0.489798,0.038614,-12.684,<2e-16,***
categorymiddle_eastern,-0.426998,0.056383,-7.573,4.15E-14,***
categoryother,-0.203001,0.046395,-4.375,1.23E-05,***
categoryotherasian,-0.372029,0.057198,-6.504,8.40E-11,***
categoryothereuropean,-0.289007,0.097082,-2.977,0.002922,**
categorypizza,-0.64579,0.034175,-18.897,<2e-16,***
categorysandwiches,-0.85918,0.044656,-19.24,<2e-16,***
categoryseafood,0.301452,0.061283,4.919,8.91E-07,***
categorysoul_food,-0.036079,0.154407,-0.234,0.815257,
categorysouthern,-0.1077,0.153362,-0.702,0.482544,
categoryspanish,0.110111,0.078953,1.395,0.163175,
categorysteakhouses,0.928564,0.065865,14.098,<2e-16,***
categorysushi_bars,0.205773,0.038764,5.308,1.14E-07,***
categorythai,-0.193253,0.04799,-4.027,5.71E-05,***
categoryvegetarian,-0.198101,0.099919,-1.983,0.047453,*
logwordlen,2.314061,0.160053,14.458,<2e-16,***
loglength,0.274683,0.016534,16.613,<2e-16,***
lognumitems,-0.082184,0.010498,-7.828,5.74E-15,***
adjectives,-0.228804,0.052673,-4.344,1.42E-05,***
plenty,-0.931954,0.305653,-3.049,0.002305,**
consumer choice,-0.595383,0.06144,-9.691,<2e-16,***
natural authenticity,2.308947,0.159477,14.478,<2e-16,***
traditional authenticity,-0.45395,0.134103,-3.385,0.000716,***
