Category,#,%,,Category,#,%
Pizza,730,11.20%,,Middle Eastern,121,1.90%
Chinese,615,9.40%,,Diners,105,1.60%
Italian,592,9.10%,,Seafood,96,1.50%
American (new),494,7.60%,,Steakhouses,81,1.20%
American (traditional),473,7.30%,,Mediterranean,59,0.90%
Japanese,462,7.10%,,Spanish,54,0.80%
Mexican,397,6.10%,,Korean,52,0.80%
Bars,276,4.20%,,Bakeries,52,0.80%
Sandwiches,226,3.50%,,Asian fusion,46,0.70%
Thai,220,3.40%,,Barbeque,36,0.60%
Other,200,3.10%,,Other European,34,0.50%
Fast food,199,3.10%,,Vegetarian,32,0.50%
French,197,3.00%,,Ethiopian,21,0.30%
Indian,178,2.70%,,Greek,17,0.30%
Latin American,165,2.50%,,Southern,13,0.20%
Coffee & Tea,132,2.00%,,Soul food,13,0.20%
Other Asian,123,1.90%,,,,
,,,,Total,6511,
