inidividual_customer,individual_merchant
1,1
1,2
1,3
1,5
1,6
1,7
1,8
2,1
2,2
2,3
2,4
2,6
2,7
2,8
3,2
3,3
3,4
3,5
4,2
4,3
4,4
4,6
5,3
5,2
5,5
5,6
5,7
6,1
6,3
6,5
6,6
6,7
33,6
48,8
51,5
14,1
10,7
11,9
56,3
10,4
47,4
54,3
14,9
43,6
41,5
49,9
56,10
13,8
40,5
43,4
54,4
11,8
29,4
55,8
28,7
9,9
50,2
48,7
42,1
25,3
45,5
49,3
35,7
46,1
51,9
25,8
49,10
50,3
27,7
15,4
55,2
29,5
54,8
27,6
26,1
49,2
13,5
9,6
11,4
47,3
17,1
32,3
48,4
15,1
31,3
40,9
23,6
14,7
9,8
48,5
57,8
30,1
11,3
18,2
36,3
28,5
16,7
7,3
26,5
14,6
32,9
9,7
45,3
37,10
23,4
53,6
10,5
15,3
20,3
21,6
18,8
50,8
27,5
57,4
37,6
45,2
37,8
47,2
19,1
30,5
56,5
36,4
15,10
24,2
47,7
25,4
51,3
20,8
17,4
44,8
36,5
43,9
20,4
43,8
35,2
8,4
50,6
32,5
40,6
26,8
28,9
38,9
52,9
48,10
24,10
26,3
46,10
22,4
23,2
19,6
13,7
12,5
31,8
53,2
28,6
56,8
25,7
13,6
19,7
46,9
57,6
56,1
14,4
21,9
54,10
29,10
51,10
56,6
7,9
52,8
30,4
9,5
22,10
12,7
29,6
51,2
29,9
23,7
35,8
12,4
33,4
17,7
39,3
30,9
33,8
20,9
40,4
55,5
51,8
46,7
53,1
19,4
43,2
14,8
34,7
23,10
37,4
15,9
9,4
31,7
28,10
16,4
38,5
35,5
53,7
15,7
38,1
36,8
29,8
54,1
42,7
39,5
44,2
46,6
18,5
46,8
46,4
55,10
47,10
39,7
21,8
35,1
54,6
34,3
15,2
26,6
34,5
22,6
42,2
8,2
11,5
30,2
34,8
27,9
43,1
33,9
22,9
14,5
38,10
40,3
44,10
25,6
24,4
39,8
13,4
49,5
41,6
14,2
11,7
21,7
22,3
38,7
32,4
24,8
31,5
49,8
50,4
20,10
53,10
49,7
24,7
49,4
12,3
16,2
45,10
56,9
32,10
16,5
45,9
56,7
25,2
44,6
29,3
11,10
17,5
44,3
37,1
30,8
17,3
22,7
31,1
20,6
18,3
45,7
52,7
36,2
54,5
45,1
57,7
20,7
34,10
8,1
24,3
37,7
51,7
23,1
8,5
36,6
47,6
31,2
31,9
34,9
45,4
42,10
32,2
57,5
44,7
53,9
8,3
42,8
10,9
43,3
48,9
50,7
36,9
10,3
21,4
30,6
48,2
52,2
48,3
41,9
12,8
26,4
26,7
10,2
42,6
26,2
31,4
32,6
13,9
55,1
10,6
40,10
16,8
54,7
21,5
57,2
47,5
23,9
8,8
16,10
19,2
33,3
40,8
7,2
52,6
38,3
39,6
20,5
26,9
21,3
55,3
44,4
52,5
9,2
50,9
30,7
