,Worse,Better,Categorization
United States,62,33,Advanced
Canada,64,27,Advanced
Britain,74,17,Advanced
France,90,9,Advanced
Germany,4,28,Advanced
Italy,73,14,Advanced
Greece,67,21,Advanced
Poland,61,26,Advanced
Czech Republic,58,28,Advanced
Russia,24,40,Emerging
Turkey,43,39,Emerging
Egypt,42,22,Developing
Jordan,43,31,Developing
Lebanon,47,26,Developing
Palest. ter.,38,23,Developing
Tunisia,39,49,Developing
Israel,27,41,Advanced
Australia,53,39,Advanced
China,7,82,Emerging
Indonesia,25,58,Emerging
Japan,76,15,Advanced
Malaysia,12,72,Emerging
Pakistan,30,40,Developing
Philippines,29,63,Developing
South Korea,37,56,Advanced
Argentina,38,44,Emerging
Bolivia,19,51,Developing
Brazil,18,79,Emerging
Chile,13,76,Emerging
El Salvador,42,40,Developing
Mexico,39,44,Emerging
Venezuela,21,66,Emerging
Ghana,22,65,Developing
Kenya,32,55,Developing
Nigeria,18,65,Developing
Senegal,36,51,Developing
South Africa,40,39,Emerging
Uganda,37,39,Developing
