 Year Q1 Q2 Q3 Q4 
 2016 0.42% 0.46% 6.51% N/A 
 2015 5.16% -1.12% -7.89% 2.94% 
 2014 4.60% 4.49% -2.35% 6.51% 
 2013 13.75% 2.99% 8.79% 11.05% 
 2012 14.18% -5.78% 6.54% 3.74% 
 2011 10.70% 0.94% -20.37% 13.70% 
 2010 7.13% -10.51% 11.26% 13.78% 
 2009 -13.14% 19.45% 19.41% 6.59% 
 2008 -9.97% 2.71% -13.26% -27.08% 
 2007 4.86% 5.57% -4.70% -6.96% 
 2006 9.12% -2.93% -0.69% 7.83% 
 2005 -1.87% 5.04% 5.39% 1.23% 
 2004 5.93% 0.76% -1.35% 14.44% 
 2003 -0.92% 18.95% 8.10% 12.89% 
 2002 4.46% -6.98% -15.07% 5.24% 
 2001 -3.70% 10.75% -14.02% 14.96% 
 2000 2.21% 0.00% 4.90% 0.23% 
 1999 -2.68% 12.52% -5.22% 14.90% 
 1998 9.79% -4.87% -20.66% 21.40% 
 1997 -0.80% 18.14% 14.47% -5.91% 
 1996 6.69% 4.88% 1.66% 9.91% 
 1995 3.64% N/A N/A N/A 
