 Year Q1 Q2 Q3 Q4 
 2016 2.86% 2.66% 0.81% N/A 
 2015 0.86% -1.54% -3.26% 6.83% 
 2014 1.88% 2.66% 1.36% 5.50% 
 2013 11.00% 3.81% 4.58% 9.15% 
 2012 7.65% -1.25% 4.26% -0.40% 
 2011 4.87% 3.16% -9.61% 11.91% 
 2010 3.19% -9.81% 10.80% 8.05% 
 2009 -8.30% 10.55% 11.81% 7.41% 
 2008 -5.98% -1.26% -3.29% -17.10% 
 2007 0.00% 7.08% 1.62% -1.66% 
 2006 5.23% -0.90% 6.94% 7.22% 
 2005 -1.15% 0.08% 3.28% 2.02% 
 2004 2.06% 1.32% -0.44% 7.83% 
 2003 -5.46% 17.79% 2.37% 13.33% 
 2002 3.12% -9.13% -18.74% 0.91% 
 2001 -6.83% -2.83% -12.45% 1.62% 
 2000 7.24% -3.60% 13.62% 1.12% 
 1999 -4.70% 7.18% -5.46% 0.49% 
 1998 8.70% -1.75% 4.12% 9.56% 
 1997 -1.36% 7.12% 4.64% 13.13% 
 1996 -1.58% 3.93% -3.08% 6.20% 
 1995 6.55% 7.49% 7.87% 8.49% 
 1994 -6.96% -2.29% 1.40% -0.79% 
 1993 9.88% 2.88% 5.63% -3.64% 
 1992 7.56% 3.55% N/A N/A 
