 Year Q1 Q2 Q3 Q4 
 2016 -1.89% 0.20% 5.06% N/A 
 2015 4.54% 1.40% -5.85% 6.96% 
 2014 0.90% 3.48% 1.23% 4.97% 
 2013 8.99% 2.95% 8.64% 10.55% 
 2012 17.17% -6.06% 5.62% -1.00% 
 2011 5.99% 0.63% -16.48% 9.40% 
 2010 5.11% -11.09% 12.40% 13.00% 
 2009 -4.42% 15.56% 14.74% 7.39% 
 2008 -11.11% 2.65% -15.03% -24.46% 
 2007 1.42% 7.06% 4.08% -1.59% 
 2006 5.25% -3.86% 2.34% 7.28% 
 2005 -3.86% 3.76% 4.67% 4.48% 
 2004 2.69% 1.38% -4.59% 11.22% 
 2003 -1.35% 16.64% 3.98% 11.78% 
 2002 -1.85% -14.28% -14.78% 6.67% 
 2001 -14.17% 9.92% -20.86% 15.70% 
 2000 7.02% -3.57% -1.74% -13.72% 
 1999 4.45% 9.40% -4.66% 23.09% 
 1998 13.17% 2.67% -16.41% 25.88% 
 1997 -0.97% 16.12% 13.94% -0.17% 
 1996 6.19% 5.68% 4.92% 4.71% 
 1995 8.20% 11.79% 10.26% 1.97% 
 1994 -4.05% -3.15% 6.68% -0.82% 
 1993 2.15% 0.31% 2.89% 1.79% 
 1992 -1.07% -1.91% 4.08% 8.45% 
 1991 16.44% -1.16% 4.35% 7.69% 
 1990 -1.62% 7.32% -16.15% 11.26% 
 1989 5.26% 6.01% 7.94% 1.83% 
 1988 12.89% 9.06% -0.70% 0.07% 
 1987 25.22% 3.33% 6.99% -24.14% 
 1986 11.29% 3.18% -9.73% 4.03% 
 1985 6.72% 5.74% -2.17% 18.02% 
 1984 -9.43% -2.54% 4.18% 2.14% 
 1983 15.38% 14.63% -2.17% -0.79% 
 1982 -7.73% 0.92% 11.53% 22.93% 
 1981 1.49% -0.25% -14.47% 9.95% 
 1980 -8.22% 10.45% 18.39% 12.26% 
 1979 5.33% 1.07% 7.55% 3.84% 
 1978 -2.06% 15.36% 10.27% -4.30% 
 1977 -4.60% 8.68% 1.01% 2.63% 
 1976 16.93% 4.98% -3.50% 0.52% 
 1975 31.43% 19.41% -12.81% 4.58% 
 1974 -2.90% -10.01% -27.50% 7.00% 
 1973 -10.32% -11.41% 16.17% -12.44% 
 1972 11.56% 3.21% 0.69% 5.03% 
 1971 17.69% 2.84% -1.31% 7.32% 
 1970 -6.79% -21.05% 20.20% 7.23% 
 1969 0.90% -6.84% -0.16% 10.06% 
