 Year Q1 Q2 Q3 Q4 
 2016 -8.84% 5.42% 0.71% N/A 
 2015 9.64% 3.80% -8.90% 8.65% 
 2014 8.84% 5.17% 3.90% 8.06% 
 2013 14.43% 5.00% 7.56% 10.80% 
 2012 7.93% 1.38% 5.27% -0.07% 
 2011 6.64% 8.01% -9.28% 6.66% 
 2010 2.94% -9.04% 8.78% 4.23% 
 2009 -7.98% 10.59% 11.29% 6.81% 
 2008 -10.04% 0.88% -1.00% -9.22% 
 2007 2.56% 3.03% 1.27% -2.41% 
 2006 2.85% -0.43% 7.35% 0.85% 
 2005 -0.12% 5.55% 6.26% 3.02% 
 2004 1.90% 2.76% -2.73% 7.52% 
 2003 -2.62% 15.98% 0.29% 11.76% 
 2002 3.12% -9.32% -10.01% 5.32% 
 2001 -12.60% 5.66% -1.38% 2.26% 
 2000 14.75% 16.25% 9.48% 9.94% 
 1999 1.96% 3.46% -7.21% 9.35% 
 1998 15.01% 5.63% -2.30% 18.64% 
 1997 2.60% 19.14% 4.21% 0.92% 
 1996 9.04% 2.39% 3.48% 5.04% 
 1995 10.38% 6.37% 11.58% 10.82% 
 1994 -5.29% 0.40% 14.66% 0.47% 
 1993 -7.85% 5.97% 3.94% 10.15% 
 1992 -7.11% -2.16% 1.94% 6.25% 
 1991 18.88% -0.26% 9.66% 12.54% 
 1990 -0.68% 12.31% -11.04% 17.69% 
 1989 9.84% 4.11% 11.46% 4.30% 
 1988 17.77% 5.20% 1.52% 2.09% 
 1987 23.68% 3.56% 4.40% -25.59% 
 1986 17.58% 8.00% -6.52% 2.28% 
 1985 14.34% 13.07% -4.42% 17.95% 
 1984 3.10% 3.39% N/A N/A 
