 Year Q1 Q2 Q3 Q4 
 2016 7.84% 12.38% 4.16% N/A 
 2015 -1.58% -1.00% -18.84% -0.72% 
 2014 2.48% 11.38% -10.16% -16.40% 
 2013 5.67% -2.29% 8.20% 5.75% 
 2012 4.41% -8.53% 8.74% -1.14% 
 2011 15.26% -4.58% -22.93% 15.92% 
 2010 -0.54% -13.83% 12.45% 17.70% 
 2009 -5.14% 20.94% 14.01% 5.78% 
 2008 -5.75% 21.05% -30.47% -27.99% 
 2007 3.05% 15.72% 7.36% 7.02% 
 2006 11.43% 4.54% -7.38% 10.92% 
 2005 14.50% 7.16% 22.01% -3.41% 
 2004 7.31% 7.13% 10.79% 7.28% 
 2003 0.99% 11.69% 1.64% 16.70% 
 2002 11.84% -4.40% -13.83% 7.86% 
 2001 -2.32% -0.29% -11.27% 12.76% 
 2000 12.14% 6.68% 8.48% 5.13% 
 1999 8.20% 15.36% -1.22% -1.88% 
 1998 4.80% -5.59% -14.20% -6.39% 
 1997 -4.14% 11.37% 16.13% -7.32% 
 1996 7.63% 6.98% 2.51% 13.53% 
 1995 7.85% 4.62% 1.68% 9.24% 
 1994 -2.70% 7.76% 0.00% -6.17% 
 1993 21.29% 7.82% 6.16% -8.93% 
 1992 -4.76% 6.38% 8.35% -3.26% 
 1991 5.20% -2.51% 6.35% -8.06% 
 1990 0.99% 1.43% 3.84% -7.27% 
 1989 13.35% 6.66% 7.77% 10.10% 
 1988 16.10% 1.16% -2.46% 5.95% 
 1987 26.19% 7.55% 2.29% -23.55% 
 1986 -8.07% 7.79% 6.10% 7.19% 
 1985 12.02% -1.17% 0.30% 3.05% 
 1984 7.96% -3.01% N/A N/A 
