 Year VGHCX Category 
 2016 N/A N/A 
 2015 12.65% 8.05% 
 2014 28.52% 27.25% 
 2013 43.19% 48.17% 
 2012 15.11% 21.55% 
 2011 11.45% 7.66% 
 2010 6.16% 8.38% 
 2009 20.96% 22.48% 
 2008 -18.45% -23.43% 
 2007 4.43% 9.27% 
 2006 10.87% 4.27% 
 2005 15.41% 9.64% 
 2004 9.51% 9.84% 
 2003 26.58% 32.51% 
 2002 -11.36% -28.13% 
 2001 -6.87% -11.26% 
 2000 60.56% 56.75% 
 1999 7.04% 18.58% 
 1998 40.80% 20.97% 
 1997 28.57% 22.11% 
 1996 21.36% 13.50% 
 1995 45.17% 48.57% 
 1994 9.54% 4.75% 
 1993 11.81% 4.30% 
 1992 -1.57% -4.13% 
 1991 46.32% 60.55% 
 1990 16.79% 16.93% 
 1989 32.95% 44.03% 
 1988 28.41% 10.51% 
 1987 -0.50% -1.71% 
 1986 21.42% 13.54% 
 1985 45.76% 47.18% 
 1984 N/A -2.55% 
