 Year Q1 Q2 Q3 Q4 
 2016 1.31% 2.42% 3.82% N/A 
 2015 0.91% 0.26% -6.48% 7.00% 
 2014 1.76% 5.19% 1.09% 4.89% 
 2013 10.57% 2.87% 5.20% 10.46% 
 2012 12.54% -2.78% 6.31% -0.42% 
 2011 5.88% 0.07% -13.90% 11.78% 
 2010 5.35% -11.45% 11.26% 10.71% 
 2009 -11.00% 15.97% 15.59% 6.03% 
 2008 -9.47% -2.75% -8.36% -21.94% 
 2007 0.60% 6.24% 2.03% -3.36% 
 2006 4.18% -1.48% 5.62% 6.67% 
 2005 -2.16% 1.32% 3.58% 2.05% 
 2004 1.66% 1.68% -1.91% 9.21% 
 2003 -3.19% 15.39% 2.60% 12.12% 
 2002 0.24% -13.43% -17.22% 8.39% 
 2001 -11.90% 5.82% -14.72% 10.65% 
 2000 2.25% -2.62% -0.93% -7.81% 
 1999 4.98% 7.00% -6.25% 14.96% 
 1998 13.91% 3.29% -9.95% 21.39% 
 1997 2.63% 17.41% 7.48% 2.84% 
 1996 5.36% 4.44% 3.05% 8.36% 
 1995 9.71% 9.49% 7.94% 6.01% 
 1994 -3.84% 0.40% 4.86% -0.05% 
 1993 4.33% 0.43% 2.52% 2.30% 
 1992 -2.57% 1.87% 3.08% 5.00% 
 1991 14.47% -0.29% 5.28% 8.36% 
 1990 -3.07% 6.24% -13.78% 8.88% 
 1989 7.04% 8.79% 10.58% 2.02% 
 1988 5.64% 6.47% 0.34% 2.98% 
 1987 21.13% 5.06% 6.45% -22.71% 
 1986 13.96% 5.77% -7.13% 5.47% 
 1985 9.07% 7.25% -4.01% 16.86% 
 1984 -2.24% -2.62% 9.57% 1.83% 
 1983 9.69% 10.65% -0.25% 0.18% 
 1982 -7.16% -0.43% 11.05% 17.83% 
 1981 1.24% -2.40% -10.19% 6.82% 
 1980 -4.08% 13.17% 10.87% 9.62% 
 1979 6.94% 2.67% 7.52% -0.00% 
 1978 -5.23% 8.20% 8.67% -4.99% 
 1977 -7.55% 2.97% -2.90% -0.30% 
 1976 2.91% N/A N/A N/A 
