 Year VGENX Category 
 2016 N/A N/A 
 2015 -21.50% -27.39% 
 2014 -14.26% -16.65% 
 2013 18.14% 22.85% 
 2012 2.67% 1.21% 
 2011 -1.74% -7.54% 
 2010 13.43% 17.14% 
 2009 38.36% 44.36% 
 2008 -42.87% -51.12% 
 2007 37.00% 42.09% 
 2006 19.68% 12.05% 
 2005 44.60% 46.33% 
 2004 36.65% 33.42% 
 2003 33.80% 32.28% 
 2002 -0.62% -11.49% 
 2001 -2.55% -13.13% 
 2000 36.43% 45.89% 
 1999 20.98% 32.83% 
 1998 -20.53% -27.41% 
 1997 14.89% 7.54% 
 1996 34.00% 46.64% 
 1995 25.32% 25.64% 
 1994 -1.63% -3.47% 
 1993 26.42% 26.48% 
 1992 6.18% 2.98% 
 1991 0.28% -6.84% 
 1990 -1.37% -5.18% 
 1989 43.45% 44.47% 
 1988 21.37% 13.59% 
 1987 6.13% -0.63% 
 1986 12.70% 2.92% 
 1985 14.43% 15.22% 
 1984 N/A 2.37% 
