 Year Q1 Q2 Q3 Q4 
 2016 6.27% 6.80% -1.47% N/A 
 2015 4.72% -10.46% 2.01% 7.04% 
 2014 9.98% 7.02% -3.13% 14.30% 
 2013 8.07% -1.61% -3.00% -0.71% 
 2012 10.72% 3.73% -0.02% 2.49% 
 2011 6.49% 3.58% -14.55% 15.24% 
 2010 10.07% -3.98% 13.15% 7.44% 
 2009 -32.03% 29.96% 34.63% 9.11% 
 2008 2.14% -5.33% 5.36% -38.15% 
 2007 3.39% -9.35% 2.40% -12.88% 
 2006 14.81% -1.38% 9.41% 9.10% 
 2005 -7.29% 14.65% 3.58% 1.74% 
 2004 11.81% -5.98% 8.21% 15.00% 
 2003 1.03% 12.36% 9.45% 9.28% 
 2002 8.07% 4.74% -8.46% 0.10% 
