Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United States,USA,19.3233681671961,20.2076147591466,19.2374604467856,18.4892337521751,17.1923671443447,17.4848031479796,17.0194385160343,16.28705288144,16.389757994879,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,United States,USA,44.9705879290779,48.1109906001446,49.2363512291896,49.623522666657,49.0549564735042,49.2740146541487,48.7332919464116,47.5436584672683,47.0879153075376,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,United States,USA,11.3546210788244,10.6143578183262,9.65254156803016,10.0890482290143,10.7657030354286,10.1742514209744,10.2103068763604,9.92632664701779,10.4088130163877,..,..,..
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,United States,USA,29.7110849670481,30.4408929153729,31.7658190669485,30.9905254716399,31.6877186334809,31.2832836645828,31.6975918942947,33.3851385325349,33.2201105533527,..,..,..
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,United States,USA,12.5827442243022,10.0483107198049,8.36460975120738,8.32531996037463,7.51386265666902,8.30999275508451,8.46554155553512,8.23205814371769,8.24501435630994,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,
