Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
South Asia, Communicable &amp; other Group I,3713371,1801911,1911460,5153933,2519317,2634616,LargeSubgroup
South Asia, Infectious and parasitic diseases,1862815,879733,983082,2530361,1181725,1348636,Subgroup
South Asia, Tuberculosis,417779,133253,284526,594457,201660,392797,Inf.Para
South Asia, STDs excluding HIV,19751,10259,9492,46777,24359,22418,Inf.Para
South Asia, Syphilis,19063,9571,9492,45973,23555,22418,Inf.Para
South Asia, Chlamydia,164,164,0,189,189,0,Inf.Para
South Asia, Gonorrhoea,120,120,0,141,141,0,Inf.Para
South Asia, Trichomoniasis,0,0,0,0,0,0,Inf.Para
South Asia, Other STDs,405,405,0,476,476,0,Inf.Para
South Asia, HIV/AIDS,143643,52715,90928,110842,35179,75663,Inf.Para
South Asia, Diarrhoeal diseases,690170,397586,292584,996303,539286,457017,Inf.Para
South Asia, Childhood-cluster diseases,99652,50742,48910,240826,119425,121401,Inf.Para
South Asia, Whooping cough,15108,7312,7796,20043,9838,10205,Inf.Para
South Asia, Diphtheria,524,266,258,1503,814,689,Inf.Para
South Asia, Measles,54993,29297,25696,128682,67091,61591,Inf.Para
South Asia, Tetanus,29025,13866,15159,90596,41680,48916,Inf.Para
South Asia, Meningitis,75990,38787,37203,110112,57059,53053,Inf.Para
South Asia, Encephalitis,50821,25783,25038,72320,37854,34466,Inf.Para
South Asia, Acute hepatitis B,72494,32373,40121,54506,25452,29054,Inf.Para
South Asia, Acute hepatitis C,8200,4779,3421,5706,3096,2610,Inf.Para
South Asia, Parasitic and vector diseases,89170,34192,54978,120847,47874,72973,Inf.Para
South Asia, Malaria,31826,12089,19737,43121,20784,22337,Inf.Para
South Asia, Trypanosomiasis,0,0,0,0,0,0,Inf.Para
South Asia, Chagas disease,0,0,0,0,0,0,Inf.Para
South Asia, Schistosomiasis,0,0,0,0,0,0,Inf.Para
South Asia, Leishmaniasis,26657,8090,18567,43106,12636,30470,Inf.Para
South Asia, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
South Asia, Onchocerciasis,0,0,0,0,0,0,Inf.Para
South Asia, Leprosy,6328,2402,3926,6350,2409,3941,Inf.Para
South Asia, Dengue,13169,7345,5824,8128,4274,3854,Inf.Para
South Asia, Trachoma,0,0,0,0,0,0,Inf.Para
South Asia, Rabies,11198,4268,6930,20144,7770,12374,Inf.Para
South Asia, Intestinal nematode infections,1745,836,909,1318,627,691,Inf.Para
South Asia, Ascariasis,1745,836,909,1318,627,691,Inf.Para
South Asia, Trichuriasis,0,0,0,0,0,0,Inf.Para
South Asia, Hookworm disease,0,0,0,0,0,0,Inf.Para
South Asia, Other infectious diseases,193410,98434,94976,176361,89862,86499,Inf.Para
South Asia, Respiratory infections,705823,341035,364788,1013588,501601,511987,Inf.Para
South Asia, Lower respiratory infections,704305,340282,364023,1011153,500390,510763,Inf.Para
South Asia, Upper respiratory infections,679,327,352,987,489,498,Inf.Para
South Asia, Otitis media,841,427,414,1447,724,723,Inf.Para
South Asia, Maternal conditions,70881,70881,0,136926,136926,0,Maternal
South Asia, Neonatal conditions,991965,458392,533573,1333661,618327,715334,Subgroup
South Asia, Preterm birth complications,502934,232901,270033,539075,252863,286212,Neonatal
South Asia, Birth asphyxia and birth trauma,243039,109290,133749,434157,189523,244634,Neonatal
South Asia, Neonatal sepsis and infections,180585,83740,96845,283403,139167,144236,Neonatal
South Asia, Other neonatal conditions,65408,32460,32948,77027,36774,40253,Neonatal
South Asia, Nutritional deficiencies,81887,51870,30017,139402,80738,58664,Subgroup
South Asia, Protein-energy malnutrition,76647,48243,28404,137408,79426,57982,NutritionalDeficiency
South Asia, Iodine deficiency,231,152,79,19,13,6,NutritionalDeficiency
South Asia, Vitamin A deficiency,0,0,0,0,0,0,NutritionalDeficiency
South Asia, Iron-deficiency anaemia,4576,3210,1366,1910,1264,646,NutritionalDeficiency
South Asia, Other nutritional deficiencies,434,265,169,65,37,28,NutritionalDeficiency
South Asia, Noncommunicable diseases,7373382,3323693,4049689,5719789,2607536,3112253,LargeSubgroup
South Asia, Malignant neoplasms,919920,443036,476884,639005,329960,309045,Subgroup
South Asia, Mouth and oropharynx cancers,116820,31284,85536,79357,24305,55052,Cancer
South Asia, Oesophagus cancer,59289,22331,36958,43473,19477,23996,Cancer
South Asia, Stomach cancer,72805,23584,49221,48449,16350,32099,Cancer
South Asia, Colon and rectum cancers,57356,24400,32956,36231,15501,20730,Cancer
South Asia, Liver cancer,35475,13203,22272,22907,8924,13983,Cancer
South Asia, Pancreas cancer,12660,5648,7012,9109,3705,5404,Cancer
South Asia," Trachea, bronchus, lung cancers",83963,19567,64396,45053,10226,34827,Cancer
South Asia, Melanoma and other skin cancers,2252,960,1292,1817,842,975,Cancer
South Asia, Breast cancer,97371,97371,0,80524,80524,0,Cancer
South Asia, Cervix uteri cancer,79589,79589,0,65568,65568,0,Cancer
