Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],AVG.GDP.P.CAP
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,372.9326411,386.0906174,373.6879246,400.1229365,409.2036876,452.9482239,457.785873,540.1982851,569.9407288,587.0050478,651.001852,643.081146,632.0548057,498.1579823
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Albania,ALB,2256.050962,2458.149986,2569.858295,2728.418101,2896.277872,3077.679737,3265.365622,3484.254111,3775.478444,3928.340828,4094.358832,4210.67708,4277.14331,4329.986834,4421.162421,3451.546829
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Algeria,DZA,3541.493532,3600.781025,3754.872206,3974.962026,4092.530209,4275.279289,4285.934521,4365.347862,4399.607377,4395.412544,4473.486446,4517.84414,4581.327517,4617.511065,4700.870115,4238.483992
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Andorra,ADO,39862.64324,40801.77925,41421.7215,44083.45831,45479.40394,47302.20248,48195.40683,47377.78256,42932.72181,41362.15846,39639.38602,38695.00014,39456.57386,41205.10537,..,42701.09598
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Angola,AGO,2293.391402,2312.764853,2079.18203,2112.024683,2260.00846,2580.592718,3010.065391,3566.554196,3924.665428,3886.588649,3886.479354,3905.818053,3972.60095,4105.2799,4164.118736,3204.008987
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,12227.03171,11638.02715,11819.998,12383.74739,12908.52765,13553.30405,15200.19032,16460.64139,16288.41999,14170.21971,13017.31039,12650.5794,13023.59694,12846.38713,13330.29017,13434.55143
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Argentina,ARG,8204.58194,7756.187018,6834.962261,7357.408446,7934.90233,8548.282637,9147.756746,9869.912412,10169.16265,9460.017963,10332.03237,10853.25953,10626.83915,10758.28242,10375.29608,9215.25893
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Armenia,ARM,1401.349472,1543.329992,1754.168282,2007.601864,2225.404505,2543.272562,2891.166179,3304.135079,3547.659203,3054.826111,3124.784018,3266.701684,3489.728889,3588.200325,3696.538753,2762.591128
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,24289.14152,..,..,..,..,24289.14152
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Australia,AUS,44176.31173,44425.57111,45579.19408,46402.68426,47771.04777,48656.47502,49374.05554,50910.3423,51749.89514,51616.69451,51845.65486,52346.90249,53321.87934,53703.57473,54232.65836,49740.86275
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Austria,AUT,41944.76233,42348.81142,42838.76864,42952.94798,43842.29552,44476.77969,45740.23904,47243.34045,47824.37489,45887.13062,46659.84082,47808.62349,47951.55678,47825.43384,47644.98568,45532.65941
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,1633.394435,1781.246395,1955.41315,2158.007171,2357.396026,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,4143.066305
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,24747.39418,24957.57019,25132.48063,24296.9617,23996.07504,24305.61772,24430.7354,24316.4858,23320.2202,21956.46185,21920.51659,21701.17073,21844.18691,21533.67454,21457.86788,23327.82796
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bahrain,BHR,22877.95174,22501.75995,22335.56224,22554.50948,22743.5608,22629.90486,22203.89926,22036.40178,21540.71055,20592.90584,20386.01756,20101.84984,20392.86115,21244.21961,21992.39071,21742.30036
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,510.4592167,526.3716652,536.7091544,552.5274228,572.2144678,600.7162184,632.348303,668.8858212,701.172232,728.4236133,760.3319352,800.0434793,842.0532832,881.8984796,924.0611644,682.5477637
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Barbados,BRB,14959.26734,14553.42862,14630.22621,14900.49035,15062.76133,15617.88045,16442.79295,16655.02418,16658.29534,15920.62882,15901.43294,15958.15354,15945.86254,15893.76387,15873.15063,15664.87727
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belarus,BLR,2704.899426,2854.684285,3017.861147,3252.83691,3650.24175,4021.053124,4450.331109,4855.303792,5368.514702,5391.133954,5818.854859,6152.456644,6264.931853,6330.85433,6428.395632,4704.156901
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belgium,BEL,40242.31367,40429.56817,40965.35016,41110.17658,42420.46099,43071.27065,43857.59931,45015.86684,44995.3215,43614.89205,44382.87977,44558.1095,44305.95815,44091.09703,44469.83286,43168.71315
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belize,BLZ,3835.770818,3906.883609,3993.882829,4254.047594,4339.664612,4338.49261,4420.661986,4354.923117,4381.575324,4307.417963,4344.136669,4333.275093,4395.055842,4355.927356,4436.884927,4266.573357
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Benin,BEN,685.9105653,699.7613277,708.5762269,708.9857234,716.3635734,705.5108043,710.6580936,730.3729389,743.4128273,738.6390319,732.9536227,733.8648932,747.2761597,777.6012497,806.8738707,729.7840606
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bermuda,BMU,79988.35001,84844.73838,83048.80311,85321.24327,86733.37007,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,..,86630.70793
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bhutan,BTN,1220.753536,1283.154142,1378.933996,1441.144066,1483.382625,1547.727926,1614.66541,1863.450356,1914.329855,2004.733455,2201.293078,2336.073951,2416.713618,2432.751606,2530.770612,1844.658549
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bolivia,BOL,1616.539178,1613.410246,1623.519169,1637.808504,1676.228147,1720.099773,1771.944778,1821.789888,1901.887717,1933.729996,1981.160105,2051.173662,2122.434728,2231.548691,2317.316862,1868.039429
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,2981.898543,3107.474348,3264.78129,3387.397585,3585.988495,3892.422081,4096.296448,4328.804839,4566.884171,4438.151362,4475.08813,4519.20675,4481.58429,4594.746039,4651.729572,4024.830263
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Botswana,BWA,4931.269889,4870.835024,5096.663972,5262.430352,5330.298647,5488.707841,5848.416125,6218.645322,6481.137952,5867.85777,6244.002574,6488.970127,6641.125424,7149.511662,7234.234274,5943.60713
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,8730.147298,8743.909691,8880.166124,8855.152078,9240.040324,9416.363871,9675.389006,10151.84272,10560.21145,10443.31981,11121.42095,11446.60091,11557.26737,11797.44941,11705.43116,10154.98081
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,32683.65641,32930.96372,33577.6119,33942.40877,33524.43909,33078.79433,33946.2077,33425.86202,32232.87692,31149.25129,31453.2244,32031.86872,31851.70062,30838.37208,29691.40488,32423.90952
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,3957.92662,4203.171748,4542.100084,4800.123983,5142.667517,5544.199977,5950.033647,6537.210434,6955.014958,6704.589878,6752.552178,6903.637338,6960.202455,7088.98676,7239.900143,5952.154515
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,422.4437358,437.7192334,443.8684476,464.8621674,471.6472322,497.4604337,512.8158473,525.4894664,546.7633377,546.0004005,574.4580893,593.8851421,613.7648474,617.7779857,624.3425326,526.2199266
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burundi,BDI,215.890324,214.6307618,217.4992105,207.8334009,210.4742121,205.0720225,208.6497274,211.0216893,213.9545574,213.7200958,214.2309908,215.7089345,216.967683,219.5329395,222.3115636,213.8332076
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,2161.805932,2167.465122,2241.005515,2297.866863,2498.11255,2641.28788,2828.06297,3236.708784,3433.801674,3370.332313,3393.927492,3494.561678,3492.093332,3484.157946,3535.375263,2951.771021
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cambodia,KHM,426.9030306,451.9217505,473.2835908,504.8139141,548.0460532,610.9834979,666.5199931,723.7086048,760.7782337,750.0963453,782.6927899,824.8457512,870.4748652,920.303572,969.3391109,685.6474069
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1071.0084,1090.488353,1105.135918,1120.361397,1132.309887,1128.960195,1135.899219,1143.310001,1146.692726,1139.493508,1147.242347,1164.852451,1187.906733,1222.828351,1263.347639,1146.655808
