Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Low-income, Communicable &amp; other Group I,3949946,1933806,2016140,5268810,2617370,2651440,LargeSubgroup
Low-income, Infectious and parasitic diseases,2097700,1002270,1095430,3146472,1538578,1607894,Subgroup
Low-income, Tuberculosis,262737,91614,171123,304255,110344,193911,Inf.Para
Low-income, STDs excluding HIV,35724,18201,17523,48313,24667,23646,Inf.Para
Low-income, Syphilis,34331,16808,17523,47008,23362,23646,Inf.Para
Low-income, Chlamydia,327,327,0,306,306,0,Inf.Para
Low-income, Gonorrhoea,242,242,0,226,226,0,Inf.Para
Low-income, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Low-income, Other STDs,824,824,0,774,774,0,Inf.Para
Low-income, HIV/AIDS,548649,284508,264141,878147,471105,407042,Inf.Para
Low-income, Diarrhoeal diseases,445921,223294,222627,689425,344910,344515,Inf.Para
Low-income, Childhood-cluster diseases,103028,50904,52124,319347,155728,163619,Inf.Para
Low-income, Whooping cough,26748,12723,14025,26543,12527,14016,Inf.Para
Low-income, Diphtheria,959,467,492,2016,996,1020,Inf.Para
Low-income, Measles,56271,29135,27136,239578,119926,119652,Inf.Para
Low-income, Tetanus,19051,8578,10473,51213,22280,28933,Inf.Para
Low-income, Meningitis,150486,70040,80446,203855,96186,107669,Inf.Para
Low-income, Encephalitis,16846,7668,9178,23841,10879,12962,Inf.Para
Low-income, Acute hepatitis B,16685,7508,9177,11217,4749,6468,Inf.Para
Low-income, Acute hepatitis C,1760,1042,718,1215,656,559,Inf.Para
Low-income, Parasitic and vector diseases,356190,174271,181919,528739,256388,272351,Inf.Para
Low-income, Malaria,296286,147880,148406,440167,217561,222606,Inf.Para
Low-income, Trypanosomiasis,17186,7925,9261,34345,14940,19405,Inf.Para
Low-income, Chagas disease,0,0,0,0,0,0,Inf.Para
Low-income, Schistosomiasis,11749,5970,5779,10174,4857,5317,Inf.Para
Low-income, Leishmaniasis,14425,4231,10194,16781,4899,11882,Inf.Para
Low-income, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
Low-income, Onchocerciasis,0,0,0,0,0,0,Inf.Para
Low-income, Leprosy,0,0,0,0,0,0,Inf.Para
Low-income, Dengue,2519,1206,1313,2890,1473,1417,Inf.Para
Low-income, Trachoma,0,0,0,0,0,0,Inf.Para
Low-income, Rabies,14030,7064,6966,24386,12661,11725,Inf.Para
Low-income, Intestinal nematode infections,559,263,296,607,287,320,Inf.Para
Low-income, Ascariasis,559,263,296,607,287,320,Inf.Para
Low-income, Trichuriasis,0,0,0,0,0,0,Inf.Para
Low-income, Hookworm disease,0,0,0,0,0,0,Inf.Para
Low-income, Other infectious diseases,159124,72961,86163,137514,62681,74833,Inf.Para
Low-income, Respiratory infections,775740,365591,410149,882049,410810,471239,Inf.Para
Low-income, Lower respiratory infections,773698,364616,409082,879762,409716,470046,Inf.Para
Low-income, Upper respiratory infections,1060,490,570,1202,564,638,Inf.Para
Low-income, Otitis media,982,485,497,1087,531,556,Inf.Para
Low-income, Maternal conditions,127294,127294,0,177687,177687,0,Maternal
Low-income, Neonatal conditions,692091,302962,389129,789546,350533,439013,Subgroup
Low-income, Preterm birth complications,279146,126641,152505,324362,147458,176904,Neonatal
Low-income, Birth asphyxia and birth trauma,244567,101763,142804,278707,118440,160267,Neonatal
Low-income, Neonatal sepsis and infections,138034,60503,77531,149394,67773,81621,Neonatal
Low-income, Other neonatal conditions,30345,14056,16289,37083,16862,20221,Neonatal
Low-income, Nutritional deficiencies,257118,135688,121430,273056,139763,133293,Subgroup
Low-income, Protein-energy malnutrition,224686,118354,106332,250113,127993,122120,NutritionalDeficiency
Low-income, Iodine deficiency,1795,889,906,496,222,274,NutritionalDeficiency
Low-income, Vitamin A deficiency,0,0,0,0,0,0,NutritionalDeficiency
Low-income, Iron-deficiency anaemia,29795,15984,13811,22089,11363,10726,NutritionalDeficiency
Low-income, Other nutritional deficiencies,845,465,380,360,186,174,NutritionalDeficiency
Low-income, Noncommunicable diseases,2745548,1350559,1394989,2155328,1056069,1099259,LargeSubgroup
Low-income, Malignant neoplasms,479393,252067,227326,365084,196664,168420,Subgroup
Low-income, Mouth and oropharynx cancers,33237,10150,23087,25069,8528,16541,Cancer
Low-income, Oesophagus cancer,37004,14504,22500,30667,13326,17341,Cancer
