Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Latin America and Caribbean, Communicable &amp; other Group I,493812,229779,264033,586055,264107,321948,LargeSubgroup
Latin America and Caribbean, Infectious and parasitic diseases,162278,66020,96258,212032,87190,124842,Subgroup
Latin America and Caribbean, Tuberculosis,19015,6244,12771,28123,9884,18239,Inf.Para
Latin America and Caribbean, STDs excluding HIV,2591,1455,1136,4351,2325,2026,Inf.Para
Latin America and Caribbean, Syphilis,2062,931,1131,3832,1807,2025,Inf.Para
Latin America and Caribbean, Chlamydia,61,57,4,54,54,0,Inf.Para
Latin America and Caribbean, Gonorrhoea,43,42,1,39,38,1,Inf.Para
Latin America and Caribbean, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Latin America and Caribbean, Other STDs,426,426,0,427,427,0,Inf.Para
Latin America and Caribbean, HIV/AIDS,51796,17277,34519,61513,22041,39472,Inf.Para
Latin America and Caribbean, Diarrhoeal diseases,24815,11965,12850,50259,23032,27227,Inf.Para
Latin America and Caribbean, Childhood-cluster diseases,2256,958,1298,3329,1416,1913,Inf.Para
Latin America and Caribbean, Whooping cough,1464,640,824,1533,690,843,Inf.Para
Latin America and Caribbean, Diphtheria,37,16,21,70,31,39,Inf.Para
Latin America and Caribbean, Measles,111,54,57,114,54,60,Inf.Para
Latin America and Caribbean, Tetanus,646,249,397,1614,641,973,Inf.Para
Latin America and Caribbean, Meningitis,8434,3440,4994,14291,6071,8220,Inf.Para
Latin America and Caribbean, Encephalitis,610,236,374,1128,471,657,Inf.Para
Latin America and Caribbean, Acute hepatitis B,2129,835,1294,2522,1103,1419,Inf.Para
Latin America and Caribbean, Acute hepatitis C,3795,1726,2069,1628,778,850,Inf.Para
Latin America and Caribbean, Parasitic and vector diseases,13251,5688,7563,13142,5350,7792,Inf.Para
Latin America and Caribbean, Malaria,733,283,450,1655,681,974,Inf.Para
Latin America and Caribbean, Trypanosomiasis,1,0,1,2,1,1,Inf.Para
Latin America and Caribbean, Chagas disease,7469,3233,4236,8703,3616,5087,Inf.Para
Latin America and Caribbean, Schistosomiasis,616,297,319,655,279,376,Inf.Para
Latin America and Caribbean, Leishmaniasis,764,242,522,742,255,487,Inf.Para
Latin America and Caribbean, Lymphatic filariasis,0,0,0,1,1,0,Inf.Para
Latin America and Caribbean, Onchocerciasis,0,0,0,2,0,2,Inf.Para
Latin America and Caribbean, Leprosy,239,68,171,384,123,261,Inf.Para
Latin America and Caribbean, Dengue,3082,1427,1655,491,219,272,Inf.Para
Latin America and Caribbean, Trachoma,0,0,0,0,0,0,Inf.Para
Latin America and Caribbean, Rabies,355,140,215,507,175,332,Inf.Para
Latin America and Caribbean, Intestinal nematode infections,135,62,73,340,168,172,Inf.Para
Latin America and Caribbean, Ascariasis,134,61,73,333,165,168,Inf.Para
Latin America and Caribbean, Trichuriasis,0,0,0,0,0,0,Inf.Para
Latin America and Caribbean, Hookworm disease,1,1,0,6,1,5,Inf.Para
Latin America and Caribbean, Other infectious diseases,33458,16140,17318,31419,14555,16864,Inf.Para
Latin America and Caribbean, Respiratory infections,198271,98392,99879,162983,76759,86224,Inf.Para
Latin America and Caribbean, Lower respiratory infections,197082,97850,99232,161279,75972,85307,Inf.Para
Latin America and Caribbean, Upper respiratory infections,1017,463,554,1412,639,773,Inf.Para
Latin America and Caribbean, Otitis media,175,80,95,289,148,141,Inf.Para
Latin America and Caribbean, Maternal conditions,9548,9548,0,12582,12582,0,Maternal
Latin America and Caribbean, Neonatal conditions,82719,34883,47836,149049,63092,85957,Subgroup
Latin America and Caribbean, Preterm birth complications,40144,16872,23272,77045,32355,44690,Neonatal
Latin America and Caribbean, Birth asphyxia and birth trauma,19406,8273,11133,34159,14717,19442,Neonatal
Latin America and Caribbean, Neonatal sepsis and infections,14434,6105,8329,24021,10190,13831,Neonatal
Latin America and Caribbean, Other neonatal conditions,8735,3632,5103,13825,5830,7995,Neonatal
Latin America and Caribbean, Nutritional deficiencies,41001,20940,20061,49412,24486,24926,Subgroup
Latin America and Caribbean, Protein-energy malnutrition,26049,13122,12927,31121,15144,15977,NutritionalDeficiency
Latin America and Caribbean, Iodine deficiency,251,139,112,256,127,129,NutritionalDeficiency
Latin America and Caribbean, Vitamin A deficiency,11,9,2,1,0,1,NutritionalDeficiency
Latin America and Caribbean, Iron-deficiency anaemia,11487,5953,5534,13936,7090,6846,NutritionalDeficiency
Latin America and Caribbean, Other nutritional deficiencies,3203,1717,1486,4105,2128,1977,NutritionalDeficiency
Latin America and Caribbean, Noncommunicable diseases,2450795,1182735,1268060,1909963,909612,1000351,LargeSubgroup
Latin America and Caribbean, Malignant neoplasms,544600,264896,279704,412957,201616,211341,Subgroup
Latin America and Caribbean, Mouth and oropharynx cancers,14498,3756,10742,10780,2678,8102,Cancer
Latin America and Caribbean, Oesophagus cancer,16288,4184,12104,12700,3329,9371,Cancer
Latin America and Caribbean, Stomach cancer,47375,19431,27944,43838,17814,26024,Cancer
Latin America and Caribbean, Colon and rectum cancers,44923,23159,21764,29387,15418,13969,Cancer
Latin America and Caribbean, Liver cancer,28591,13748,14843,21044,10411,10633,Cancer
Latin America and Caribbean, Pancreas cancer,25047,13134,11913,16769,8702,8067,Cancer
Latin America and Caribbean," Trachea, bronchus, lung cancers",65955,24893,41062,50841,16472,34369,Cancer
Latin America and Caribbean, Melanoma and other skin cancers,9901,4391,5510,6694,3013,3681,Cancer
Latin America and Caribbean, Breast cancer,41494,41494,0,29632,29632,0,Cancer
Latin America and Caribbean, Cervix uteri cancer,27504,27504,0,26465,26465,0,Cancer
Latin America and Caribbean, Corpus uteri cancer,5400,5400,0,4548,4548,0,Cancer
Latin America and Caribbean, Ovary cancer,10687,10687,0,7127,7127,0,Cancer
Latin America and Caribbean, Prostate cancer,46116,0,46116,30621,0,30621,Cancer
Latin America and Caribbean, Bladder cancer,9324,2866,6458,6623,1995,4628,Cancer
Latin America and Caribbean," Lymphomas, multiple myeloma",23249,10677,12572,17481,7767,9714,Cancer
Latin America and Caribbean, Leukaemia,22337,10311,12026,18877,8715,10162,Cancer
Latin America and Caribbean, Other malignant neoplasms,105922,49264,56658,79540,37532,42008,Cancer
Latin America and Caribbean, Other neoplasms,20957,10356,10601,10869,5365,5504,Cancer
Latin America and Caribbean, Diabetes mellitus,219684,120735,98949,142499,80995,61504,Diabetes
Latin America and Caribbean," Endocrine, blood, immune disorders",37695,20380,17315,24573,12989,11584,Endocrine.blood.immunedisorders
Latin America and Caribbean, Mental and behavioral disorders,28445,5825,22620,19986,3642,16344,Subgroup
Latin America and Caribbean, Unipolar depressive disorders,1025,597,428,141,77,64,Men.Behav
Latin America and Caribbean, Bipolar disorder,89,49,40,34,23,11,Men.Behav
Latin America and Caribbean, Schizophrenia,845,378,467,491,227,264,Men.Behav
Latin America and Caribbean, Alcohol use disorders,17594,1556,16038,14096,1375,12721,Men.Behav
Latin America and Caribbean, Drug use disorders,5001,1535,3466,3321,1057,2264,Men.Behav
Latin America and Caribbean, Anxiety disorders,14,6,8,4,2,2,Men.Behav
Latin America and Caribbean, Eating disorders,1061,591,470,550,320,230,Men.Behav
Latin America and Caribbean, Pervasive developmental disorders,0,0,0,0,0,0,Men.Behav
Latin America and Caribbean, Childhood behavioural disorders,0,0,0,0,0,0,Men.Behav
Latin America and Caribbean, Idiopathic intellectual disability,347,159,188,119,62,57,Men.Behav
Latin America and Caribbean, Other mental and behavioural disorders,2474,954,1520,1231,499,732,Men.Behav
Latin America and Caribbean, Neurological conditions,76264,40203,36061,36780,17301,19479,Subgroup
Latin America and Caribbean, Alzheimer's disease and other dementias,36909,23094,13815,9892,5795,4097,Neurological
Latin America and Caribbean, Parkinson's disease,7968,3593,4375,4260,1865,2395,Neurological
Latin America and Caribbean, Epilepsy,9099,3698,5401,7898,3121,4777,Neurological
Latin America and Caribbean, Multiple sclerosis,1215,710,505,874,485,389,Neurological
Latin America and Caribbean, Migraine,3,3,0,1,0,1,Neurological
Latin America and Caribbean, Non-migraine headache,0,0,0,0,0,0,Neurological
Latin America and Caribbean, Other neurological conditions,21073,9108,11965,13854,6032,7822,Neurological
Latin America and Caribbean, Sense organ diseases,21,12,9,5,2,3,Neurological
Latin America and Caribbean, Glaucoma,10,6,4,4,2,2,Neurological
Latin America and Caribbean, Cataracts,7,4,3,1,0,1,Neurological
Latin America and Caribbean, Refractive errors,0,0,0,0,0,0,Neurological
Latin America and Caribbean, Macular degeneration,0,0,0,0,0,0,Neurological
Latin America and Caribbean, Other vision loss,0,0,0,0,0,0,Neurological
Latin America and Caribbean, Other hearing loss,0,0,0,0,0,0,Neurological
Latin America and Caribbean, other sense organ disorders,0,0,0,0,0,0,Neurological
Latin America and Caribbean, Cardiovascular diseases,968220,470549,497671,802926,390642,412284,Subgroup
Latin America and Caribbean, Rheumatic heart disease,11078,7182,3896,11628,7139,4489,Cardiovascular
Latin America and Caribbean, Hypertensive heart disease,118878,63739,55139,70399,38860,31539,Cardiovascular
Latin America and Caribbean, Ischaemic heart disease,409156,181747,227409,331112,146733,184379,Cardiovascular
Latin America and Caribbean, Stroke,276745,140680,136065,247083,125795,121288,Cardiovascular
Latin America and Caribbean," Cardiomyopathy, myocarditis, endocarditis",35053,14833,20220,33999,14855,19144,Cardiovascular
Latin America and Caribbean, Other circulatory diseases,117312,62370,54942,108710,57261,51449,Cardiovascular
Latin America and Caribbean, Respiratory diseases,171600,78398,93202,157036,69137,87899,Subgroup
Latin America and Caribbean, Chronic obstructive pulmonary disease,109366,48086,61280,90341,36898,53443,Respiratory
Latin America and Caribbean, Asthma,8593,4851,3742,10777,6059,4718,Respiratory
Latin America and Caribbean, Other respiratory diseases,53646,25462,28184,55914,26178,29736,Respiratory
Latin America and Caribbean, Digestive diseases,204705,80939,123766,164644,60571,104073,Subgroup
Latin America and Caribbean, Peptic ulcer disease,11933,5237,6696,13752,5679,8073,Digestive
Latin America and Caribbean, Cirrhosis of the liver,81482,21681,59801,72114,18017,54097,Digestive
Latin America and Caribbean, Appendicitis,3819,1801,2018,3301,1462,1839,Digestive
Latin America and Caribbean, Other digestive diseases,107468,52220,55248,75480,35412,40068,Digestive
Latin America and Caribbean, Genitourinary diseases,98383,47852,50531,60369,27951,32418,Subgroup
Latin America and Caribbean, Kidney diseases,67144,31263,35881,46104,21342,24762,Genitourinary
Latin America and Caribbean, Hyperplasia of prostate,1676,0,1676,1310,0,1310,Genitourinary
Latin America and Caribbean, Urolithiasis,723,337,386,464,186,278,Genitourinary
Latin America and Caribbean, Other genitourinary diseases,27980,15392,12588,12128,6060,6068,Genitourinary
Latin America and Caribbean, Infertility,0,0,0,0,0,0,Infertility
Latin America and Caribbean, Gynecological diseases,859,859,0,365,365,0,
Latin America and Caribbean, Skin diseases,10728,6062,4666,6289,3628,2661,
Latin America and Caribbean, Musculoskeletal diseases,20756,13813,6943,10719,7352,3367,Subgroup
Latin America and Caribbean, Rheumatoid arthritis,3783,2846,937,2359,1728,631,musc.skelet
Latin America and Caribbean, Osteoarthritis,1084,682,402,485,309,176,musc.skelet
Latin America and Caribbean, Gout,173,10,163,84,6,78,musc.skelet
Latin America and Caribbean, Back and neck pain,412,176,236,132,55,77,musc.skelet
Latin America and Caribbean, Other musculoskeletal disorders,15304,10098,5206,7657,5254,2403,musc.skelet
Latin America and Caribbean, Congenital anomalies,48547,22624,25923,60174,28362,31812,Subgroup
Latin America and Caribbean, Neural tube defects,3266,1661,1605,5762,3077,2685,Congenital
Latin America and Caribbean, Cleft lip and cleft palate,196,100,96,391,179,212,Congenital
Latin America and Caribbean, Down's syndrome,1917,910,1007,2632,1289,1343,Congenital
Latin America and Caribbean, Congenital heart anomalies,23988,11097,12891,27131,12636,14495,Congenital
Latin America and Caribbean, Other chromosomal anomalies,1051,625,426,1056,621,435,Congenital
Latin America and Caribbean, Other congenital anomalies,18129,8232,9897,23204,10565,12639,Congenital
Latin America and Caribbean, Oral conditions,194,93,101,144,63,81,Subgroup
Latin America and Caribbean, Dental caries,181,87,94,124,56,68,Oral
Latin America and Caribbean, Periodontal disease,14,6,8,18,7,11,Oral
Latin America and Caribbean, Edentulism,0,0,0,0,0,0,Oral
Latin America and Caribbean, Injuries,426478,84829,341649,373325,72036,301289,LargeSubgroup
Latin America and Caribbean, Unintentional injuries,225990,59837,166153,202043,50588,151455,Subgroup
Latin America and Caribbean, Road injury,114940,24538,90402,87332,19307,68025,Accident
Latin America and Caribbean, Poisonings,3141,1133,2008,3335,1319,2016,Accident
Latin America and Caribbean, Falls,27089,10558,16531,16266,5579,10687,Accident
Latin America and Caribbean," Fire, heat and hot substances",6204,2471,3733,6746,2702,4044,Accident
Latin America and Caribbean, Drowning,17562,3025,14537,20684,3887,16797,Accident
Latin America and Caribbean, Exposure to forces of nature,0,0,0,19,8,11,Accident
Latin America and Caribbean, Other unintentional injuries,57057,18112,38945,67664,17788,49876,Accident
Latin America and Caribbean, Intentional injuries,200487,24993,175494,171285,21449,149836,Subgroup
Latin America and Caribbean, Self-harm,34586,7992,26594,29863,7009,22854,Intentional
Latin America and Caribbean, Interpersonal violence,164437,16933,147504,138056,14053,124003,Intentional
Latin America and Caribbean, Collective violence and legal intervention,1465,68,1397,3367,387,2980,Intentional
