"Year.","party","Selection","variable","value"
1960,"Republican","E","Murder.Ratio",0.003
1961,"Democratic","PostE","Murder.Ratio",0.003
1962,"Democratic",NA,"Murder.Ratio",0.002
1963,"Democratic","PREE","Murder.Ratio",0.002
1964,"Democratic","E","Murder.Ratio",0.002
1965,"Democratic","PostE","Murder.Ratio",0.002
1966,"Democratic",NA,"Murder.Ratio",0.002
1967,"Democratic","PREE","Murder.Ratio",0.002
1968,"Democratic","E","Murder.Ratio",0.002
1969,"Republican","PostE","Murder.Ratio",0.002
1970,"Republican",NA,"Murder.Ratio",0.002
1971,"Republican","PREE","Murder.Ratio",0.002
1972,"Republican","E","Murder.Ratio",0.002
1973,"Republican","PostE","Murder.Ratio",0.002
1974,"Republican",NA,"Murder.Ratio",0.002
1975,"Republican","PREE","Murder.Ratio",0.002
1976,"Republican","E","Murder.Ratio",0.002
1977,"Democratic","PostE","Murder.Ratio",0.002
1978,"Democratic",NA,"Murder.Ratio",0.002
1979,"Democratic","PREE","Murder.Ratio",0.002
1980,"Democratic","E","Murder.Ratio",0.002
1981,"Republican","PostE","Murder.Ratio",0.002
1982,"Republican",NA,"Murder.Ratio",0.002
1983,"Republican","PREE","Murder.Ratio",0.002
1984,"Republican","E","Murder.Ratio",0.002
1985,"Republican","PostE","Murder.Ratio",0.002
1986,"Republican",NA,"Murder.Ratio",0.002
1987,"Republican","PREE","Murder.Ratio",0.001
1988,"Republican","E","Murder.Ratio",0.001
1989,"Republican","PostE","Murder.Ratio",0.002
1990,"Republican",NA,"Murder.Ratio",0.002
1991,"Republican","PREE","Murder.Ratio",0.002
1992,"Republican","E","Murder.Ratio",0.002
1993,"Democratic","PostE","Murder.Ratio",0.002
1994,"Democratic",NA,"Murder.Ratio",0.002
1995,"Democratic","PREE","Murder.Ratio",0.002
1996,"Democratic","E","Murder.Ratio",0.001
1997,"Democratic","PostE","Murder.Ratio",0.001
1998,"Democratic",NA,"Murder.Ratio",0.001
1999,"Democratic","PREE","Murder.Ratio",0.001
2000,"Democratic","E","Murder.Ratio",0.001
2001,"Republican","PostE","Murder.Ratio",0.001
2002,"Republican",NA,"Murder.Ratio",0.001
2003,"Republican","PREE","Murder.Ratio",0.001
2004,"Republican","E","Murder.Ratio",0.001
2005,"Republican","PostE","Murder.Ratio",0.001
2006,"Republican",NA,"Murder.Ratio",0.001
2007,"Republican","PREE","Murder.Ratio",0.002
2008,"Republican","E","Murder.Ratio",0.001
2009,"Democratic","PostE","Murder.Ratio",0.001
2010,"Democratic",NA,"Murder.Ratio",0.001
2011,"Democratic","PREE","Murder.Ratio",0.001
2012,"Democratic","E","Murder.Ratio",0.001
2013,"Democratic","PostE","Murder.Ratio",0.001
2014,"Democratic",NA,"Murder.Ratio",0.002
2015,"Democratic","PREE","Murder.Ratio",0.002
1960,"Republican","E","Forcible.Rape.Ratio",0.005
1961,"Democratic","PostE","Forcible.Rape.Ratio",0.005
1962,"Democratic",NA,"Forcible.Rape.Ratio",0.005
1963,"Democratic","PREE","Forcible.Rape.Ratio",0.004
1964,"Democratic","E","Forcible.Rape.Ratio",0.005
1965,"Democratic","PostE","Forcible.Rape.Ratio",0.005
1966,"Democratic",NA,"Forcible.Rape.Ratio",0.005
1967,"Democratic","PREE","Forcible.Rape.Ratio",0.005
1968,"Democratic","E","Forcible.Rape.Ratio",0.005
