DATE,DCOILBRENTEU
1987-06-01,19.08
1987-07-01,20.03
1987-08-01,18.63
1987-09-01,18.48
1987-10-01,18.80
1987-11-01,17.70
1987-12-01,17.60
1988-01-01,16.28
1988-02-01,14.73
1988-03-01,15.65
1988-04-01,16.60
1988-05-01,16.20
1988-06-01,14.18
1988-07-01,15.75
1988-08-01,14.40
1988-09-01,11.93
1988-10-01,12.60
1988-11-01,14.35
1988-12-01,16.23
1989-01-01,16.38
1989-02-01,17.23
1989-03-01,20.45
1989-04-01,20.15
1989-05-01,18.25
1989-06-01,18.28
1989-07-01,16.30
1989-08-01,17.20
1989-09-01,18.23
1989-10-01,18.93
1989-11-01,18.48
1989-12-01,21.05
1990-01-01,20.50
1990-02-01,19.20
1990-03-01,17.95
1990-04-01,16.35
1990-05-01,15.30
1990-06-01,15.73
1990-07-01,19.23
1990-08-01,27.80
1990-09-01,41.00
1990-10-01,34.30
1990-11-01,31.20
1990-12-01,28.35
1991-01-01,20.70
1991-02-01,19.50
1991-03-01,18.00
1991-04-01,19.70
1991-05-01,19.00
1991-06-01,18.48
1991-07-01,19.65
1991-08-01,20.53
1991-09-01,21.43
1991-10-01,22.00
1991-11-01,20.08
1991-12-01,17.75
1992-01-01,18.15
1992-02-01,17.45
1992-03-01,19.09
1992-04-01,19.65
1992-05-01,20.70
1992-06-01,20.60
1992-07-01,20.38
1992-08-01,19.65
1992-09-01,20.18
1992-10-01,19.13
1992-11-01,19.25
1992-12-01,17.85
1993-01-01,18.48
1993-02-01,18.83
1993-03-01,18.70
1993-04-01,18.85
1993-05-01,18.43
1993-06-01,17.43
1993-07-01,16.85
1993-08-01,16.73
1993-09-01,17.23
1993-10-01,15.43
1993-11-01,14.23
1993-12-01,13.18
1994-01-01,14.83
1994-02-01,13.59
1994-03-01,13.25
1994-04-01,15.35
1994-05-01,16.18
1994-06-01,17.45
1994-07-01,18.48
1994-08-01,16.03
1994-09-01,16.73
1994-10-01,17.18
1994-11-01,16.95
1994-12-01,16.23
1995-01-01,16.80
1995-02-01,17.23
1995-03-01,17.98
1995-04-01,18.98
1995-05-01,17.58
1995-06-01,16.58
1995-07-01,15.78
1995-08-01,16.20
1995-09-01,16.58
1995-10-01,16.58
1995-11-01,17.13
1995-12-01,18.65
1996-01-01,16.63
1996-02-01,18.80
1996-03-01,20.33
1996-04-01,19.50
1996-05-01,18.10
1996-06-01,19.28
1996-07-01,19.00
1996-08-01,20.98
1996-09-01,24.15
1996-10-01,22.80
1996-11-01,23.17
1996-12-01,23.90
1997-01-01,23.28
1997-02-01,19.44
1997-03-01,18.53
1997-04-01,18.25
1997-05-01,18.99
1997-06-01,18.22
1997-07-01,18.94
1997-08-01,17.98
1997-09-01,19.96
1997-10-01,19.42
1997-11-01,18.96
1997-12-01,15.86
1998-01-01,15.59
1998-02-01,13.53
1998-03-01,13.87
1998-04-01,13.79
1998-05-01,14.03
1998-06-01,11.84
1998-07-01,12.63
1998-08-01,12.06
1998-09-01,14.71
1998-10-01,12.00
1998-11-01,9.91
1998-12-01,10.54
1999-01-01,11.34
1999-02-01,10.58
1999-03-01,15.02
1999-04-01,16.45
1999-05-01,14.75
1999-06-01,16.97
1999-07-01,19.97
1999-08-01,21.08
1999-09-01,22.98
1999-10-01,21.11
1999-11-01,25.20
1999-12-01,24.93
2000-01-01,27.08
2000-02-01,29.01
2000-03-01,23.98
2000-04-01,23.79
2000-05-01,29.64
2000-06-01,31.58
2000-07-01,25.30
2000-08-01,35.08
2000-09-01,28.42
2000-10-01,30.15
2000-11-01,32.53
2000-12-01,22.58
2001-01-01,26.59
2001-02-01,25.16
2001-03-01,23.50
2001-04-01,27.21
2001-05-01,28.55
2001-06-01,26.21
2001-07-01,24.35
2001-08-01,26.80
2001-09-01,21.87
2001-10-01,19.63
2001-11-01,18.92
2001-12-01,19.35
2002-01-01,19.07
2002-02-01,20.73
2002-03-01,25.34
2002-04-01,26.98
2002-05-01,23.87
2002-06-01,25.33
2002-07-01,26.28
2002-08-01,27.56
2002-09-01,29.11
2002-10-01,25.51
2002-11-01,25.74
2002-12-01,30.12
2003-01-01,31.57
2003-02-01,34.00
2003-03-01,28.05
2003-04-01,23.60
2003-05-01,26.58
2003-06-01,28.88
2003-07-01,28.68
2003-08-01,30.38
2003-09-01,28.09
2003-10-01,27.88
2003-11-01,28.95
2003-12-01,30.30
2004-01-01,29.53
2004-02-01,32.94
2004-03-01,32.29
2004-04-01,35.23
2004-05-01,37.00
2004-06-01,33.22
2004-07-01,41.47
2004-08-01,39.80
2004-09-01,47.76
2004-10-01,48.16
2004-11-01,44.23
2004-12-01,40.38
2005-01-01,44.51
2005-02-01,50.13
2005-03-01,53.22
2005-04-01,50.61
2005-05-01,49.30
2005-06-01,55.36
2005-07-01,59.77
2005-08-01,66.80
2005-09-01,61.70
2005-10-01,58.47
2005-11-01,53.25
2005-12-01,58.34
2006-01-01,63.19
2006-02-01,59.78
2006-03-01,66.06
2006-04-01,72.15
2006-05-01,67.57
2006-06-01,73.20
2006-07-01,74.75
2006-08-01,67.66
2006-09-01,59.09
2006-10-01,56.13
2006-11-01,64.36
2006-12-01,58.96
2007-01-01,56.52
2007-02-01,59.39
2007-03-01,68.47
2007-04-01,67.23
2007-05-01,68.18
2007-06-01,72.22
2007-07-01,77.01
2007-08-01,72.29
2007-09-01,80.97
2007-10-01,89.87
2007-11-01,88.71
2007-12-01,93.68
2008-01-01,91.58
2008-02-01,100.90
2008-03-01,102.33
2008-04-01,111.12
2008-05-01,127.85
2008-06-01,138.40
2008-07-01,124.10
2008-08-01,113.49
2008-09-01,93.52
2008-10-01,60.00
2008-11-01,47.72
2008-12-01,35.82
2009-01-01,44.17
2009-02-01,44.41
2009-03-01,46.13
2009-04-01,50.30
2009-05-01,64.98
2009-06-01,68.11
2009-07-01,70.08
2009-08-01,69.02
2009-09-01,65.82
2009-10-01,74.91
2009-11-01,77.77
2009-12-01,77.91
2010-01-01,71.20
2010-02-01,76.36
2010-03-01,80.37
2010-04-01,86.19
2010-05-01,73.00
2010-06-01,74.94
2010-07-01,77.50
