DATE,TWEXMMTH
2009-05-01,79.0858
2009-06-01,77.1640
2009-07-01,76.5519
2009-08-01,75.3568
2009-09-01,74.0810
2009-10-01,72.8487
2009-11-01,72.4243
2009-12-01,73.3033
2010-01-01,73.8477
2010-02-01,75.5324
2010-03-01,75.2275
2010-04-01,75.4103
2010-05-01,78.5081
2010-06-01,79.0760
2010-07-01,76.7774
2010-08-01,75.9559
2010-09-01,74.9957
2010-10-01,72.3077
2010-11-01,72.8347
2010-12-01,73.8001
2011-01-01,72.9340
2011-02-01,71.9828
2011-03-01,70.7869
2011-04-01,69.5184
2011-05-01,69.6199
2011-06-01,69.5337
2011-07-01,69.0969
2011-08-01,69.0639
2011-09-01,71.2014
2011-10-01,71.6351
2011-11-01,72.2715
2011-12-01,73.2907
2012-01-01,73.4294
2012-02-01,72.3519
2012-03-01,73.0254
2012-04-01,72.8970
2012-05-01,74.0110
2012-06-01,75.1201
2012-07-01,75.3222
2012-08-01,74.3525
2012-09-01,72.6826
2012-10-01,72.8462
2012-11-01,73.7080
2012-12-01,73.2222
2013-01-01,73.6645
2013-02-01,74.6602
2013-03-01,76.3131
2013-04-01,76.2700
2013-05-01,76.9685
2013-06-01,76.2444
2013-07-01,77.2193
2013-08-01,76.3121
2013-09-01,76.0090
2013-10-01,75.0518
2013-11-01,76.0347
2013-12-01,76.1827
2014-01-01,77.0833
2014-02-01,76.9370
2014-03-01,76.5927
2014-04-01,76.3484
2014-05-01,76.2218
2014-06-01,76.4479
2014-07-01,76.3288
2014-08-01,77.5510
2014-09-01,79.5888
2014-10-01,80.8279
2014-11-01,82.7173
2014-12-01,84.1344
2015-01-01,87.4571
2015-02-01,89.0739
2015-03-01,91.6675
2015-04-01,90.8953
2015-05-01,89.1140
2015-06-01,89.6070
2015-07-01,91.5565
2015-08-01,91.7229
2015-09-01,91.5210
2015-10-01,91.0665
2015-11-01,93.7763
2015-12-01,93.9241
2016-01-01,95.0619
2016-02-01,92.9841
2016-03-01,91.3889
2016-04-01,89.3014
2016-05-01,89.6563
2016-06-01,89.5114
2016-07-01,90.9010
2016-08-01,89.8449
2016-09-01,90.0988
2016-10-01,91.9193
2016-11-01,91.7698
