Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,AverageGINI
Aruba,ABW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Andorra,AND,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Angola,AGO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96,,,,,,,,42.72,,,,,,,,,47.34
Albania,ALB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01,,,,,,31.74,,,30.6,,,29.98,,,,28.96,,,,,30.32
Arab World,ARB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
United Arab Emirates,ARE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Argentina,ARG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,42.79,45.28,,,,46.76,45.47,44.86,45.92,48.9,49.52,49.11,50.73,49.79,51.06,53.34,53.79,53.54,50.18,49.27,48.26,47.37,46.27,45.27,44.5,43.57,42.49,42.28,42.67,,,47.59066667
Armenia,ARM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.42,,,36.22,,35.36,34.78,33.03,37.51,35.99,32.49,29.83,30.71,29.58,31.07,31.32,30.48,31.54,31.48,,,32.51214286
American Samoa,ASM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Antigua and Barbuda,ATG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Australia,AUS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,31.33,,,,32.5,,,,33.15,,,,,,33.72,,,,,,34.14,,34.01,,,,,35.63,,34.94,,,,,,,34.68
Austria,AUT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.87,28.72,29.59,30.58,30.45,31.5,30.25,30.8,30.48,,,,,30.24888889
Azerbaijan,AZE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65,,,,,,36.45,17.36,18.81,16.23,16.64,,,31.79,,,,,,,,,22.88
Burundi,BDI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,42.35,,,,,,,,33.36,,,,,,,,,,,33.36
Belgium,BEL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.63,29.88,28.26,29.57,29,28.7,28.53,28.43,27.59,,,,,28.95444444
Benin,BEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58,,,,,,,,43.44,,,,,,41.01
Burkina Faso,BFA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.07,,,,49.94,,,,,43.25,,,,,,39.76,,,,,35.3,,,39.43666667
Bangladesh,BGD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,25.88,,26.92,,,28.85,,,27.57,,,,32.94,,,,,33.41,,,,,33.2,,,,,32.13,,,,,,,32.91333333
Bulgaria,BGR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43,,,30.71,,24.32,35.4,,26.38,,,,32.68,,28.92,,,35.73,28.14,33.57,33.82,35.65,34.28,36.01,,,,,33.2
Bahrain,BHR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Bahamas, The",BHS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bosnia and Herzegovina,BIH,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,,,34.04,,,33.06,,,,33.83,,,,,,32.725
Belarus,BLR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.76,,,,,21.6,,28.76,,,32.25,32,31.17,30.58,30.34,28.82,26.48,27.55,28.28,29.61,27.83,27.69,28.57,27.15,26.53,26.58,27.18,,,28.29066667
Belize,BLZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.25,60.91,57.55,56.59,60.43,54.91,53.26,,,,,,,,,,,,,,,,,,#DIV/0!
Bermuda,BMU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bolivia,BOL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.04,,49.11,,,,,58.16,,58.1,63,58.88,60.16,,55.01,58.47,56.87,55.44,51.43,49.65,,46.26,46.7,48.06,48.4,,,53.71769231
Brazil,BRA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,57.93,58.42,58.99,58.38,55.59,58.46,59.69,61.43,63.3,60.49,,53.17,60.12,,59.57,59.89,59.8,59.61,58.99,,59.33,58.62,58.01,56.88,56.64,55.93,55.23,54.37,53.87,,53.09,52.67,52.87,51.48,,,55.30692308
Barbados,BRB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Brunei Darussalam,BRN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bhutan,BTN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78,,,,38.09,,,,,38.81,,,,,41.22666667
Botswana,BWA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,54.21,,,,,,,,60.79,,,,,,,,,64.73,,,,,,,60.46,,,,,,,,62.595
