Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Sub-Saharan Africa, Communicable &amp; other Group I,5926852,2934580,2992272,7193420,3585028,3608392,LargeSubgroup
Sub-Saharan Africa, Infectious and parasitic diseases,3319124,1640076,1679048,4547681,2258837,2288844,Subgroup
Sub-Saharan Africa, Tuberculosis,229559,96919,132640,246207,107561,138646,Inf.Para
Sub-Saharan Africa, STDs excluding HIV,50292,25606,24686,60859,30963,29896,Inf.Para
Sub-Saharan Africa, Syphilis,48603,23917,24686,59337,29441,29896,Inf.Para
Sub-Saharan Africa, Chlamydia,399,399,0,356,356,0,Inf.Para
Sub-Saharan Africa, Gonorrhoea,295,295,0,266,266,0,Inf.Para
Sub-Saharan Africa, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Other STDs,996,996,0,899,899,0,Inf.Para
Sub-Saharan Africa, HIV/AIDS,1108084,582628,525456,1362568,724776,637792,Inf.Para
Sub-Saharan Africa, Diarrhoeal diseases,644065,318599,325466,888500,437422,451078,Inf.Para
Sub-Saharan Africa, Childhood-cluster diseases,135559,70946,64613,550537,275214,275323,Inf.Para
Sub-Saharan Africa, Whooping cough,39760,18802,20958,36587,17126,19461,Inf.Para
Sub-Saharan Africa, Diphtheria,1860,917,943,3739,1856,1883,Inf.Para
Sub-Saharan Africa, Measles,61959,32431,29528,443960,220585,223375,Inf.Para
Sub-Saharan Africa, Tetanus,31980,18797,13183,66256,35648,30608,Inf.Para
Sub-Saharan Africa, Meningitis,260062,119130,140932,310120,143288,166832,Inf.Para
Sub-Saharan Africa, Encephalitis,19781,8848,10933,21736,9785,11951,Inf.Para
Sub-Saharan Africa, Acute hepatitis B,19376,8145,11231,13330,5341,7989,Inf.Para
Sub-Saharan Africa, Acute hepatitis C,2442,1155,1287,1729,785,944,Inf.Para
Sub-Saharan Africa, Parasitic and vector diseases,640397,316225,324172,926895,453235,473660,Inf.Para
Sub-Saharan Africa, Malaria,567713,283532,284181,811752,401513,410239,Inf.Para
Sub-Saharan Africa, Trypanosomiasis,17954,8301,9653,53098,23730,29368,Inf.Para
Sub-Saharan Africa, Chagas disease,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Schistosomiasis,19351,9777,9574,17184,8239,8945,Inf.Para
Sub-Saharan Africa, Leishmaniasis,16708,4896,11812,17554,5056,12498,Inf.Para
Sub-Saharan Africa, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Onchocerciasis,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Leprosy,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Dengue,2004,854,1150,1684,730,954,Inf.Para
Sub-Saharan Africa, Trachoma,0,0,0,0,0,0,Inf.Para
Sub-Saharan Africa, Rabies,16673,8869,7804,25626,13968,11658,Inf.Para
Sub-Saharan Africa, Intestinal nematode infections,750,356,394,527,251,276,Inf.Para
Sub-Saharan Africa, Ascariasis,750,356,394,527,251,276,Inf.Para
Sub-Saharan Africa, Trichuriasis,0,0,0,0,0,0,Inf.Para
