Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Europe and Central Asia, Communicable &amp; other Group I,158 313,62 755,95 558,219 215,85 996,133 219,LargeSubgroup
Europe and Central Asia, Infectious and parasitic diseases,67 875,24 295,43 580,85 521,29 169,56 352,Subgroup
Europe and Central Asia, Tuberculosis,14 252,2 995,11 257,33 101,6 975,26 126,Inf.Para
Europe and Central Asia, STDs excluding HIV,732,380,352,1 429,640,789,Inf.Para
Europe and Central Asia, Syphilis,568,216,352,1 233,444,789,Inf.Para
Europe and Central Asia, Chlamydia,32,32,0,41,41,0,Inf.Para
Europe and Central Asia, Gonorrhoea,24,24,0,28,28,0,Inf.Para
Europe and Central Asia, Trichomoniasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Other STDs,106,106,0,127,127,0,Inf.Para
Europe and Central Asia, HIV/AIDS,26 815,9 119,17 696,8 612,3 070,5 542,Inf.Para
Europe and Central Asia, Diarrhoeal diseases,8 914,4 086,4 828,17 268,7 607,9 661,Inf.Para
Europe and Central Asia, Childhood-cluster diseases,1 062,483,579,2 347,1 093,1 254,Inf.Para
Europe and Central Asia, Whooping cough,668,292,376,694,309,385,Inf.Para
Europe and Central Asia, Diphtheria,30,13,17,101,45,56,Inf.Para
Europe and Central Asia, Measles,92,47,45,346,170,176,Inf.Para
Europe and Central Asia, Tetanus,274,132,142,1 208,571,637,Inf.Para
Europe and Central Asia, Meningitis,7 717,3 557,4 160,11 129,4 792,6 337,Inf.Para
Europe and Central Asia, Encephalitis,1 646,739,907,2 684,1 136,1 548,Inf.Para
Europe and Central Asia, Acute hepatitis B,587,219,368,750,282,468,Inf.Para
Europe and Central Asia, Acute hepatitis C,123,58,65,109,39,70,Inf.Para
Europe and Central Asia, Parasitic and vector diseases,830,284,546,1 454,515,939,Inf.Para
Europe and Central Asia, Malaria,5,0,5,5,0,5,Inf.Para
Europe and Central Asia, Trypanosomiasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Chagas disease,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Schistosomiasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Leishmaniasis,278,95,183,517,166,351,Inf.Para
Europe and Central Asia, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Onchocerciasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Leprosy,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Dengue,306,87,219,388,114,274,Inf.Para
Europe and Central Asia, Trachoma,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Rabies,239,101,138,539,231,308,Inf.Para
Europe and Central Asia, Intestinal nematode infections,38,17,21,65,31,34,Inf.Para
Europe and Central Asia, Ascariasis,38,17,21,65,31,34,Inf.Para
Europe and Central Asia, Trichuriasis,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Hookworm disease,0,0,0,0,0,0,Inf.Para
Europe and Central Asia, Other infectious diseases,5 170,2 362,2 808,6 582,2 994,3 588,Inf.Para
Europe and Central Asia, Respiratory infections,48 340,19 699,28 641,66 320,27 210,39 110,Inf.Para
Europe and Central Asia, Lower respiratory infections,48 089,19 590,28 499,65 899,27 009,38 890,Inf.Para
Europe and Central Asia, Upper respiratory infections,169,68,101,295,135,160,Inf.Para
Europe and Central Asia, Otitis media,85,42,43,129,67,62,Inf.Para
Europe and Central Asia, Maternal conditions,1 250,1 250,0,1 776,1 776,0,Maternal
Europe and Central Asia, Neonatal conditions,38 371,16 256,22 115,61 705,26 015,35 690,Subgroup
Europe and Central Asia, Preterm birth complications,18 215,7 860,10 355,30 625,12 972,17 653,Neonatal
Europe and Central Asia, Birth asphyxia and birth trauma,10 237,4 218,6 019,15 519,6 468,9 051,Neonatal
Europe and Central Asia, Neonatal sepsis and infections,4 856,2 017,2 839,5 882,2 447,3 435,Neonatal
Europe and Central Asia, Other neonatal conditions,5 062,2 160,2 902,9 681,4 128,5 553,Neonatal
Europe and Central Asia, Nutritional deficiencies,2 477,1 255,1 222,3 894,1 829,2 065,Subgroup
Europe and Central Asia, Protein-energy malnutrition,1 757,859,898,3 030,1 393,1 637,NutritionalDeficiency
Europe and Central Asia, Iodine deficiency,93,48,45,110,55,55,NutritionalDeficiency
Europe and Central Asia, Vitamin A deficiency,0,0,0,0,0,0,NutritionalDeficiency
