Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
High-income, Communicable &amp; other Group I,765748,356422,409326,709220,334646,374574,LargeSubgroup
High-income, Infectious and parasitic diseases,302947,129064,173883,223607,86773,136834,Subgroup
High-income, Tuberculosis,32704,8429,24275,50602,10500,40102,Inf.Para
High-income, STDs excluding HIV,845,656,189,1031,707,324,Inf.Para
High-income, Syphilis,270,83,187,470,154,316,Inf.Para
High-income, Chlamydia,16,16,0,24,24,0,Inf.Para
High-income, Gonorrhoea,15,14,1,32,24,8,Inf.Para
High-income, Trichomoniasis,0,0,0,0,0,0,Inf.Para
High-income, Other STDs,546,546,0,506,506,0,Inf.Para
High-income, HIV/AIDS,77140,19268,57872,41417,9068,32349,Inf.Para
High-income, Diarrhoeal diseases,38281,23055,15226,13317,6977,6340,Inf.Para
High-income, Childhood-cluster diseases,731,329,402,1033,470,563,Inf.Para
High-income, Whooping cough,427,177,250,411,171,240,Inf.Para
High-income, Diphtheria,15,6,9,41,16,25,Inf.Para
High-income, Measles,150,73,77,326,167,159,Inf.Para
High-income, Tetanus,137,71,66,253,115,138,Inf.Para
High-income, Meningitis,4560,1970,2590,6919,3026,3893,Inf.Para
High-income, Encephalitis,990,409,581,1782,724,1058,Inf.Para
High-income, Acute hepatitis B,4825,1892,2933,5404,1971,3433,Inf.Para
High-income, Acute hepatitis C,20861,9058,11803,12022,5256,6766,Inf.Para
High-income, Parasitic and vector diseases,1980,986,994,2583,1230,1353,Inf.Para
High-income, Malaria,576,289,287,874,424,450,Inf.Para
High-income, Trypanosomiasis,17,9,8,63,29,34,Inf.Para
High-income, Chagas disease,79,38,41,56,26,30,Inf.Para
High-income, Schistosomiasis,106,55,51,92,47,45,Inf.Para
High-income, Leishmaniasis,57,15,42,154,45,109,Inf.Para
High-income, Lymphatic filariasis,0,0,0,0,0,0,Inf.Para
High-income, Onchocerciasis,1,1,0,0,0,0,Inf.Para
High-income, Leprosy,13,5,8,35,20,15,Inf.Para
High-income, Dengue,489,246,243,522,249,273,Inf.Para
High-income, Trachoma,0,0,0,0,0,0,Inf.Para
