body,tags,author
Honor has not to be won; it must only not be lost.,"Honor,Lost,Must",Arthur Schopenhauer
Suffering by nature or chance never seems so painful as suffering inflicted on us by the arbitrary will of another.,"Nature,Suffering,Chance",Arthur Schopenhauer
It is in the treatment of trifles that a person shows what they are.,"Person,Treatment,Shows",Arthur Schopenhauer
"There is no doubt that life is given us, not to be enjoyed, but to be overcome; to be got over.","Life,Doubt,Overcome",Arthur Schopenhauer
The greatest achievements of the human mind are generally received with distrust.,"Greatest,Mind,Human Mind",Arthur Schopenhauer
"To find out your real opinion of someone, judge the impression you have when you first see a letter from them.","Opinion,Judge,Find",Arthur Schopenhauer
"Journalists are like dogs, when ever anything moves they begin to bark.","Like,Anything,Dogs",Arthur Schopenhauer
"Every nation ridicules other nations, and all are right.","Nation,Right,Nations",Arthur Schopenhauer
Reading is equivalent to thinking with someone else's head instead of with one's own.,"Thinking,Reading,Someone",Arthur Schopenhauer
"Change alone is eternal, perpetual, immortal.","Change,Alone,Immortal",Arthur Schopenhauer
The man never feels the want of what it never occurs to him to ask for.,"Man,Want,Never",Arthur Schopenhauer
The first forty years of life give us the text; the next thirty supply the commentary on it.,"Life,Forty,Years",Arthur Schopenhauer
"Boredom is just the reverse side of fascination: both depend on being outside rather than inside a situation, and one leads to the other.","Situation,Boredom,Depend",Arthur Schopenhauer
"The brain may be regarded as a kind of parasite of the organism, a pensioner, as it were, who dwells with the body.","Brain,Body,Kind",Arthur Schopenhauer
"We can come to look upon the deaths of our enemies with as much regret as we feel for those of our friends, namely, when we miss their existence as witnesses to our success.","Success,Regret,Friends",Arthur Schopenhauer
After your death you will be what you were before your birth.,"Death,Will,You",Arthur Schopenhauer
"For an author to write as he speaks is just as reprehensible as the opposite fault, to speak as he writes; for this gives a pedantic effect to what he says, and at the same time makes him hardly intelligible.","Time,Speak,Fault",Arthur Schopenhauer
Talent hits a target no one else can hit; Genius hits a target no one else can see.,"Intelligence,Talent,Genius",Arthur Schopenhauer
Music is the melody whose text is the world.,"Music,World,Text",Arthur Schopenhauer
"To free a person from error is to give, and not to take away.","Free,Away,Person",Arthur Schopenhauer
Compassion is the basis of morality.,"Compassion,Morality,Basis",Arthur Schopenhauer
"A man can be himself only so long as he is alone, and if he does not love solitude, he will not love freedom, for it is only when he is alone that he is really free.","Love,Freedom,Alone",Arthur Schopenhauer
They tell us that suicide is the greatest piece of cowardice... that suicide is wrong; when it is quite obvious that there is nothing in the world to which every man has a more unassailable title than to his own life and person.,"Life,Death,Greatest",Arthur Schopenhauer
"Just remember, once you're over the hill you begin to pick up speed.","Age,Remember,Speed",Arthur Schopenhauer
"The Hillary Clinton foreign policy has cost America thousands of lives and trillions of dollars - and unleashed ISIS across the world. No Secretary of State has been more wrong, more often, and in more places than Hillary Clinton.","America,World,Wrong",Donald Tump
The alchemists in their search for gold discovered many other things of greater value.,"Gold,Value,Search",Arthur Schopenhauer
"Because people have no thoughts to deal in, they deal cards, and try and win one another's money. Idiots!","Money,Thoughts,People",Arthur Schopenhauer
The fundament upon which all our knowledge and learning rests is the inexplicable.,"Learning,Knowledge,Our",Arthur Schopenhauer
"If you want to know your true opinion of someone, watch the effect produced in you by the first sight of a letter from him.","Know,Opinion,Sight",Arthur Schopenhauer
"Satisfaction consists in freedom from pain, which is the positive element of life.","Life,Positive,Freedom",Arthur Schopenhauer
"Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think.","Art,Religion,Training",Arthur Schopenhauer
The most basic duty of government is to defend the lives of its own citizens. Any government that fails to do so is a government unworthy to lead.,"Government,Duty,Lead",Donald Tump
"We need intelligence in this country. We need a certain toughness in this country, or we're going to end up like a lot of the other places, and we're not going to have a country left.","Intelligence,End,Toughness",Donald Tump
"China gets their oil from Libya. Why isn't China involved? They're going out spending billions of dollars a day on trying to take over the world economically. And we're spending billions and billions and billions of dollars on policing the world. Why isn't China involved with Libya? That - we don't get oil from Libya, China does.","Day,World,Trying",Donald Tump
"My opponent asks her supporters to recite a three-word loyalty pledge. It reads, 'I'm With Her.' I choose to recite a different pledge. My pledge reads, 'I'm with you - the American people.'","Loyalty,American,People",Donald Tump
"The wise have always said the same things, and fools, who are the majority have always done just the opposite.","Wise,Said,Fools",Arthur Schopenhauer
Will power is to the mind like a strong blind man who carries on his shoulders a lame man who can see.,"Power,Strong,Man",Arthur Schopenhauer
Hatred is an affair of the heart; contempt that of the head.,"Anger,Heart,Hatred",Arthur Schopenhauer
Men are by nature merely indifferent to one another; but women are by nature enemies.,"Nature,Women,Men",Arthur Schopenhauer
"The more unintelligent a man is, the less mysterious existence seems to him.","Man,Mysterious,Him",Arthur Schopenhauer
"Money is human happiness in the abstract; he, then, who is no longer capable of enjoying human happiness in the concrete devotes himself utterly to money.","Happiness,Money,Abstract",Arthur Schopenhauer
Martyrdom is the only way a man can become famous without ability.,"Man,Famous,Way",Arthur Schopenhauer
"Wealth is like sea-water; the more we drink, the thirstier we become; and the same is true of fame.","Wealth,True,Fame",Arthur Schopenhauer
"'You're fired' was not a part of the deal. And when I went into the first board room, the very first one, I'm looking at these people, and I had to fire somebody, but we never thought in terms of the expression 'You're fired.'","Fire,Thought,People",Donald Tump
"I'm competitive, and I love to create challenges for myself. Maybe that's not always a good thing. It can make life complicated.","Life,Love,Good",Donald Tump
"I've met some great people that deal with me in the press. I've also met some people that were very dishonorable, frankly.","Great,People,Me",Donald Tump
My big focus is China and OPEC and all of these countries that are just absolutely destroying the United States.,"Focus,China,Big",Donald Tump
Owning great landmarks such as the Empire State Building or Trump Tower or the General Motors Building or the Plaza Hotel - there are certain just spectacular landmarks - it's an honor; it's really an honor.,"Great,Honor,Building",Donald Tump
Politicians can't manage. All they can do is talk.,"Talk,Politicians,Manage",Donald Tump
"Saudi Arabia makes a billion dollars a day, okay? They make a billion dollars a day.","Day,Okay,Dollars",Donald Tump
"We have to go see Bill Gates and a lot of different people that really understand what's happening. We have to talk to them, maybe in certain areas, closing that Internet up in some way. Somebody will say, 'Oh, freedom of speech, freedom of speech.' These are foolish people. We have a lot of foolish people.","Freedom,People,Internet",Donald Tump
"If people can just pour into the country illegally, you don't have a country.","People,Country,You",Donald Tump
"It is only a man's own fundamental thoughts that have truth and life in them. For it is these that he really and completely understands. To read the thoughts of others is like taking the remains of someone else's meal, like putting on the discarded clothes of a stranger.","Life,Truth,Man",Arthur Schopenhauer
Almost all of our sorrows spring out of our relations with other people.,"Sympathy,People,Spring",Arthur Schopenhauer
To live alone is the fate of all great souls.,"Alone,Great,Fate",Arthur Schopenhauer
Treat a work of art like a prince. Let it speak to you first.,"Work,Art,Treat",Arthur Schopenhauer
With people of limited ability modesty is merely honesty. But with those who possess great talent it is hypocrisy.,"Great,Honesty,People",Arthur Schopenhauer
"The discovery of truth is prevented more effectively, not by the false appearance things present and which mislead into error, not directly by weakness of the reasoning powers, but by preconceived opinion, by prejudice.","Truth,Discovery,Prejudice",Arthur Schopenhauer
Friends and acquaintances are the surest passport to fortune.,"Money,Friends,Fortune",Arthur Schopenhauer
"The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity.","Medical,Stupidity,Doctor",Arthur Schopenhauer
I'm the Ernest Hemingway of 140 characters.,"Characters,Hemingway",Donald Tump
"My father was a successful real estate developer, and he was a very tough man but a good man. My father would always praise me. He always thought I was the smartest person.","Good,Father,Real Estate",Donald Tump
"As far as single payer, it works in Canada. It works incredibly well in Scotland.","Canada,Scotland,Single",Donald Tump
I have made really some significant deals because I play golf.,"Golf,Play,Made",Donald Tump
The U.S. has become a dumping ground for everybody else's problems.,"Problems,Become,Everybody",Donald Tump
"Well, I am a Republican, and I would run as a Republican. And I have a lot of confidence in the Republican Party. I don't have a lot of confidence in the president. I think what's happening to this country is unbelievably bad. We're no longer a respected country.","Confidence,Country,Party",Donald Tump
"A lot of people don't like to win. They actually don't know how to win, and they don't like to win because down deep inside they don't want to win.","Deep,People,Win",Donald Tump
I have a Bible near my bed.,"Bible,Bed,Near",Donald Tump
"The American People will come first once again. My plan will begin with safety at home - which means safe neighborhoods, secure borders, and protection from terrorism. There can be no prosperity without law and order.","Home,Safety,American",Donald Tump
"The early versions of 'Shell's Wonderful World of Golf' were great. It's sort of interesting: as it progressed, it became worse and worse, but the early versions were really fantastic with Jimmy Demaret and Gene Sarazen. They were classics.","Great,World,Golf",Donald Tump
"To me, I love real estate because you can feel it.","Love,Real Estate,Me",Donald Tump
"What I hate about Halle Berry is there's always drama around her. It's always fighting, automobile accidents, fistfights, boyfriends fighting ex-husbands for the child.","Child,Hate,Drama",Donald Tump
I was a Democrat for a period of time early on. And then I was also an independent. And then I became a Republican.,"Time,Republican,Early",Donald Tump
"If you get good ratings, they'll cover you even if you have nothing to say.","Good,Nothing,You",Donald Tump
"People might not think that, but the Republicans have all of the cards. And this is the time to get rid of Obamacare. This is the time to make the great deal.","Time,Great,People",Donald Tump
"In the sphere of thought, absurdity and perversity remain the masters of the world, and their dominion is suspended only for brief periods.","World,Thought,Absurdity",Arthur Schopenhauer
"The longer a man's fame is likely to last, the longer it will be in coming.","Man,Fame,Will",Arthur Schopenhauer
I've never known any trouble than an hour's reading didn't assuage.,"Education,Reading,Trouble",Arthur Schopenhauer
Will minus intellect constitutes vulgarity.,"Will,Intellect,Vulgarity",Arthur Schopenhauer
"Every possession and every happiness is but lent by chance for an uncertain time, and may therefore be demanded back the next hour.","Happiness,Time,Chance",Arthur Schopenhauer
"It's the niceties that make the difference fate gives us the hand, and we play the cards.","Fate,Play,Cards",Arthur Schopenhauer
"I have had lobbyists, and I have had some very good ones. They could do anything.","Good,Anything,Lobbyists",Donald Tump
"I'll drink water. Sometimes tomato juice, which I like. Sometimes orange juice, which I like. I'll drink different things. But the Coke or Pepsi boosts you up a little.","Water,Sometimes,Orange",Donald Tump
