,neighborhoods,price,sqft,title,,,,
1205, (Hempstead),"$5,700 ","
                    19000ft2 -
                ",Suites for Lease,,,,
1165, (Glen Cove),"$8,100 ","
                    8651ft2 -
                ",Prime Office & Medical - Glen Street,,,,
2404, (Chelsea),"$53,700 ",NA,179/night Furnished Hi-floor Studio in Great Location,,,,
1741, (BRONX),"$61,800 ",NA,***MUST SEE 2 BEDROOM CONDO!!! PARKCHESTER,,,,
820, (67-12 Yellowstone blvd),"$75,000 ","
                    400ft2 -
                ",Studio apartment for sale (Forest Hills),,,,
1202, (Westbury (Poet Section)),"$95,700 ","
                    4br -
                ",House 4 Sale By Owner,,,,
211, (cortlandt manor 10567),"$110,700 ","
                    4br -
                ","FOR SALE 4 bedroom house ,FINISHED BASEMENT . very good condition .",,,,
2096, (shorehaven),"$118,500 ","
                    3br -
                ",395K SHOREHAVEN 3BR 2BA DUPLEX,,,,
1307, (NORTH EAST BRONX),"$122,700 ","
                    4br -
                ",GUT RENOVATED 1& 2 FAMILY FOR SALE..BY OWNER!!!>=++,,,,
613,NA,"$130,500 ","
                    3br -
                ",HOUSE FOR SALE (Throgs Neck),,,,
906, (fair lawn),"$143,700 ","
                    7br -
                ","2family home,large,7Br,2Bath,large yard,near train to city,more",,,,
659," (CANARSIE, BROOKLYN)","$149,700 ","
                    3br -
                ",BEST BUY!! FULLY RENOVATED 1 FAMILY FOR SALE..BY OWNER..NO FEE,,,,
616,NA,"$165,000 ","
                    4br -
                ",HOUSE FOR SALE 2 FAMILY M1 ZONING,,,,
636, (EAST 233RD STREET),"$173,700 ","
                    5br -
                    1900ft2 -
                ",BEST BUY!! HUGE 2 FAMILY BRICK..SMART HOME TECH...FOR SALE BY OWNER..NO FEES<,,,,
716, (EAST 233RD STREET),"$173,700 ","
                    5br -
                    1900ft2 -
                ",BEST BUY!! HUGE 2 FAMILY BRICK..SMART HOME TECH...FOR SALE BY OWNER..NO FEES<,,,,
1168, (EAST 233RD STREET),"$173,700 ","
                    5br -
                    1900ft2 -
                ",BEST BUY!! HUGE 2 FAMILY BRICK..SMART HOME TECH...FOR SALE BY OWNER..NO FEES<,,,,
1279, (EAST 233RD STREET),"$173,700 ","
                    5br -
                    1900ft2 -
                ",BEST BUY!! HUGE 2 FAMILY BRICK..SMART HOME TECH...FOR SALE BY OWNER..NO FEES<,,,,
785, (BRONX),"$179,700 ","
                    7br -
                ",$599000 / 5br - 1600ft2 - 2 Bath Town house (Soundview),,,,
4, (Jersey city),"$180,000 ","
                    2600ft2 -
                ",Medical dental office space,,,,
203, (213th street north east),"$187,500 ","
                    7br -
                    10469ft2 -
                ",ALL BRICK 2 FAM. HOUSE FOR SALE...BY OWNER,,,,
1745, (Harbor Heights),"$188,700 ","
                    3br -
                    1150ft2 -
                ",One of a kind Home Huntington NY,,,,
1299, (Brooklyn),"$208,500 ","
                    1br -
                    100ft2 -
                ",1 Room,,,,
80,NA,"$239,700 ",NA,💙💙💙💙MODERN APARTMENTS WITH LOTS OF LIGHT,,,,
76,NA,"$240,000 ","
                    1000ft2 -
                ",🔼1 Month's rent & security. Valid I.D. & proof of income,,,,
79,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
84,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
88,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
89,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
90,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
98,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
101,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
102,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
103,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
111,NA,"$240,000 ","
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
138,NA,"$253,500 ",NA,⚁⚂⚁■ OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL O,,,,
148,NA,"$253,500 ",NA,⚁⚂⚁■ OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL O,,,,
151,NA,"$253,500 ",NA,⚁⚂⚁■ OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL O,,,,
93,NA,"$270,000 ","
                    1br -
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
106,NA,"$270,000 ","
                    1br -
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
222, (plainview),"$270,000 ",NA,furnished beautiful need ONE lady to share with another person safe qu,,,,
996, (East flatbush),"$300,000 ","
                    1br -
                ",l=Large furnished room,,,,
1396, (westchester),"$300,000 ",NA,realtor wanted,,,,
1810,NA,"$315,000 ","
                    2br -
                ",🔺🔻🔺2000+ Rent Stabilized apartments available✸,,,,
485,NA,"$330,000 ","
                    2br -
                ",🔳🔲🔳 WE CAN HELP YOU FIND YOUR HOLIDAY APARTMENT,,,,
