text,userId,stars,restaurant
"I wound up at Paowalla under slightly unusual circumstances, during a small bachelor party for a British friend. He already had a proper stag-do in England, but four of us decided to take him out for a low-key evening of festivities. <br><br>After drinks on Stone Street, there was much discussion of where to go. Steak wasn't an option, so I wound up suggesting we try this relatively new Indian space in SoHo.<br><br>I say the circumstances were unusual in that we had a couple of diners who wouldn't normally be eating this ambitious Indian fare, along with the celebrant and I who very much did want to try some things on offer. <br><br>I was worried we were headed for a straight up disaster when one diner declared they wanted chicken tikka masala and not to share food, but once we cleaved him off from the main group we were free to order on our own. <br><br>We went to town, getting several small plates and three mains to share around a group of three. It was probably about 40% too much food, but at least it gave a chance to go through a good chunk of the menu. <br><br>What worked was pretty varied. A tomato dish marinated in spices was surprising for how much it let us take in the flavor of the raw vegetable. Usually Indian food is so much about the long simmer that this was great change of pace. Elsewhere the gooey fried cheese inside the kulcha was a greasy late night snack transported to the beginning of the meal. Chili chicken was every bit the revelation I had the first time I sampled it on the streets of Calcutta. <br><br>Not everything was a hit. The burrata in dal was far too much of a mash-up without a point. It was just a dish from India with some Italian cheese floating on top. And the roganjosh had an off-putting flavor just seemed to leech into a very nicely cooked plate of meat. <br><br>Even though we ate at the bar, I found the experience more relaxed and refined than either of my two meals at Babu Ji. And while the price point isn't cheap, I got far more out of this take on Indian food than that one a mile to the northeast.  And even the person who got the chicken tikka masala seemed satisfied.",Ja9gBg4CYOne-MXqHUrcYA,4,Paowalla
"I live up in North Brooklyn, so sampling these Caribbean places with no seating and great take out can be difficult. That's why I love that this Gloria's has a single, table-cloth covered elevated table in the restaurant. <br><br>This allowed me to stop in and enjoy a nice dinner enroute to feeding my friend's cats who live around the block. (The cats were so hungry I wouldn't have been able to eat in the apartment in piece.)<br><br>I got the curry chicken with some great pigeon peas and daal mixed in. It was, somewhat predictably, excellent. The flavor is nice and spicy, with the freshness that comes from a busy kitchen and high neighborhood expectations. I couldn't finish more than half the meal, but certainly got my $10 worth. <br><br>There was friendly service, an nice explanation of the sides on offer, and a generally well run operation. Probably my favorite of the six Caribbean restaurants I've eaten at in this section of Prospect Heights.",Ja9gBg4CYOne-MXqHUrcYA,5,Gloria’s West Indian Food
"Can't say I detected too much of a difference between the coal oven and other pizza ovens. Does this make me a pizza philistine? Perhaps. <br><br>But I did put this place to the standard slice test - I had a slice or two after a couple of after work beers in the neighborhood. The margarita slice is relatively standard; I wasn't blown away by any of the ingredients or the general presentation. It looks and tastes thin - which is nice, but really the whole thing just melts away pretty quickly. <br><br>I probably won't wander back over to this place, but certainly there's nothing wrong the pie here. Whether or not it should be a frozen pizza empire, I really can't say.",Ja9gBg4CYOne-MXqHUrcYA,3,Table 87 Coal Oven Pizza
"Buffalo's Famous  seems designed to annoy the very upstaters it invokes with its name. There's a very specific city here - Buffalo - yet the menu wanders all over the western part of the state, to Syracuse and Rochester and even further east. <br><br>It seems odd that in this era of hyper-specific restaurant themes that a single city wouldn't be enough for a menu, but who knows. I didn't write the business plan. If I did I certain wouldn't pull any punches in calling a garbage plate a garbage plate, or offer so many different ways to change it up. <br><br>Fortunately the actual food here is solid, no matter the theme. There are just a few seats and an open door - this place is punching above its size in press coverage - so come on a nice night or be ready to wait. The majority of my meal was an impressively spicy set of buffalo wings, a generous portion that left me going for not one but two seltzers during the course of the meal. Milk shakes, in a bewildering combination of flavors are also available, but seemed a bit heavy considering the spicy meat. <br><br>So let's make an already small menu smaller and really celebrate what makes Buffalo great.",Ja9gBg4CYOne-MXqHUrcYA,4,Buffalo’s Famous
"I took the plunge earlier this year and decided to take some Russian classes through Fluent City. I had signed up through another company and found the class cancelled due to low enrollment. <br><br>Fluent City's been a great experience. I've taken Russian 1 and 2 through the company, in addition to a private lesson for a week I've missed. I really like our instructor, who I think provides a nice mix of encouragement while also ensuring we make progress. Lessons are quite varied, with individual activities and discussion, dialogues and Russian cultural materials. <br><br>We have homework but it's not too intense - it's definitely set up for different types of learners. If you need a strictly academic environment you might want to look elsewhere, but for people looking to start or add to written and speaking skills in a language, I definitely recommend Fluent City.",Ja9gBg4CYOne-MXqHUrcYA,5,Fluent City
"A review of Ed and Bev's, which is inside Berg'n. <br><br>I needed something to eat in between a couple of beers at an afternoon hang at Berg'n. I went with a hot dog and some fries. It's a perfectly serviceable dog, which doesn't seem to measure up to some of the best I've had down on Coney Island or out in the great hot dog states of the northeast and midwest. <br><br>I still say that the best default place in Berg'n is Lumpia Shack, especially now that Bklyn Burro  has moved out to its own space. The beer here is better than the food.",Ja9gBg4CYOne-MXqHUrcYA,3,Berg’n
"An old standby in the theater district, the Russian Vodka Room might be good for a meeting with Bruce Vilanch on an upcoming awards show, but as a place to actually eat and drink things it comes up short. <br><br>The Russian menu is relatively standard, along with the inclusion of several American and European dishes for people who come to a place called the Russian Vodka room and are afraid to order actual Russian food. Not that my dish of pelmeni were any better than the ones you get frozen at Russian markets for a dollar or two, they just cost far more. <br><br>They have two beers on draft, neither of which are Russian or particularly good. There's a large selection of infused vodka. They tend towards the sweet and really don't measure up to some of the more ambitious creations at a place like Masha &amp; the Bear in Williamsburg. <br><br>As they say, this is one of those places you don't come for the food. A man starts playing the piano around 7. There's a faded elegance to the dark features of the bar. As the alcohol sinks in, this seems like a perfectly fine place to the pass the evening.",Ja9gBg4CYOne-MXqHUrcYA,3,Russian Vodka Room
"I take classes in this part of town, which means there are many Thursdays where it's 9 p.m. and I'm hungry. I'm not with anyone, nor do I want to wait very long for food. <br><br>Woorijip fits the bill nicely. There's a consistently strong buffet, of which I like the noodle options and a chance for a couple pieces of spicy rice cake. There's also a large section of prepackaged meals, from bentos to rice bowls and larger versions of what is on the buffet. Signs inform diners that the food is strictly regulated about the time it can spend outside. <br><br>Even after 9 p.m. (or during the middle of the day) this place is always crowded, so the food turns over quickly and is very dependable. Bonus points to the sides of rice that are available at the counter for just over a $1 - there's no reason to waste buffet money on this heavy staple. <br><br>The whole place feels like the fullest realization of the concept. It's a perfect place for quick and budget Korean food that will satisfy.",Ja9gBg4CYOne-MXqHUrcYA,5,Woorijip Authentic Korean Food
"Much like Danny's a few blocks to the south, Carmine's is a slice shop that has sprouted a full service restaurant off to one side. Unlike Danny's, the slices here are actually worth eating. <br><br>It's crowded on the Saturday afternoon when I come, grabbing a couple slices of the vodka pizza while waiting for a matte to placed in a photo frame around the corner. There are children with parents, a few people carbing up after a night out, and even what appears to be an entire rock band, all waiting for slices. <br><br>There's a strict separation between the restaurant/sports bar and the slice joint. Only waiters are allowed to cut between the spaces. <br><br>I didn't test out a plain slice, but the square vodka slices had the perfect amount of kick to go with the extra dough of the Silican-style pie. They were filling and nicely cooked. A good alternative when I'm in this area.",Ja9gBg4CYOne-MXqHUrcYA,4,Carmine’s Pizzeria
"Cafe China has a Michelin star. It hangs over every bite at this midtown eatery. Is this truly the best Chinese restaurant in Manhattan? Why is it honored and not other places?<br><br>The inside is a few hints of Chinoiserie mixed with antique store finds - old light fixtures, middle school desks - and warm, yellow light. On a Tuesday night when I visit with my uncle it's packed. He's able to snag the last two seats at the bar, which mean we don't have to wait for nearly 45 minutes for the next available table. <br><br>The menu is long, with plenty of choices designed to make sure even the pickiest Chinese food eater won't be challenged. There is wonton soup and veggie pot stickers, bok chop with garlic and kung pao chicken. I am being uncharitable, as there are also some interesting selection from Sichuan and elsewhere. Few neighborhood takeout joints serve pickle fish stew or mung bean jelly, let alone sautéed loofah. <br><br>I ordered for the table, and we wound up with pork dumplings in chili oil, double cooked pork and the cumin lamb. The dumplings carried a profound sense of missing flavor. I missed the ""ma"" and the ""la"" that would be actually present in true Sichuan preparations. The cumin lamb and pork fared better - the obviously quality and skill in the meat bases really helped. <br><br>None of the dishes here match up to the best the found in Flushing. And while I appreciate the surroundings and the long beer menu, it's ultimately hard to justify paying these prices (and dealing with the pretension here) to have food that's just not operating on the level it pretends to be.",Ja9gBg4CYOne-MXqHUrcYA,3,Café China
